time,replication
24928319355782,1
24928837237523,1
24929340826274,1
24929844264163,1
24930347578802,1
24930850054380,1
24931351295165,1
24931852519447,1
24932353763596,1
24932855673508,1
24933358603686,1
24933861278114,1
24934362643881,1
24934865055173,1
24935368146849,1
24935870004444,1
24936372220794,1
24936875718435,1
24937378323259,1
24937879511284,2
24938382174326,2
24938885153194,2
24939387792085,2
24939889124990,2
24940391871467,2
24940894667952,2
24941397241542,2
24941899378431,2
24942401127242,2
24942903170930,2
24943404376699,2
24943906269156,2
24944408887127,4
24944911203303,4
24945413944127,4
24945916286327,4
24946418896283,4
24946920860659,4
24947422668064,4
24947924529370,4
24948425748076,4
24948928472769,4
24949431252826,4
24949933085301,4
24950434832892,4
24950936669007,6
24951439495230,6
24951942067781,6
24952443249457,6
24952945838626,6
24953447118074,6
24953949833125,6
24954451057802,6
24954953815289,6
24955456280843,6
24955957458314,6
24956459933072,6
24956961237779,6
24957463474891,6
24957966009688,7
24958468844580,7
24958970153088,7
24959471631299,7
24959974621152,7
24960476925835,8
24960979681696,8
24961481592539,8
24961982934417,8
24962484836625,8
24962986293679,8
24963488844500,8
24963990940004,8
24964492309078,8
24964994471211,8
24965496443272,8
24965997862769,8
24966500523357,8
24967002906566,8
24967505515906,8
24968006948912,8
24968508946283,8
24969011306537,8
24969513952821,10
24970015865082,10
24970517614479,10
24971020416252,10
24971521690346,10
24972024177986,10
24972526842809,10
24973028449255,10
24973531030407,10
24974033046538,10
24974535587073,10
24975037213074,10
24975539712983,10
24976042470164,12
24976545132642,12
24977046618029,12
24977549451187,12
24978052064682,12
25028202285148,14
25028705037563,14
25029207553164,14
25029709915953,14
25030212618526,14
25030715392249,14
25031217867236,14
25031720228830,14
25032222774551,14
25032725374075,14
25033227717824,14
25033729042974,14
25034231536719,14
25034733683435,14
25035237624284,14
25035739735364,14
25036240939772,14
25036743573645,14
25037244764725,14
25037747394281,14
25038249797891,14
25038751805458,14
25039253480387,14
25039754523477,14
25040256977281,14
25040757892381,14
25041260309332,14
25041761145189,14
25042261999759,14
25042762769556,14
25043264786996,14
25043766450803,14
25044267573982,14
25044770047179,14
25045272400294,14
25045774564621,14
25046276638258,14
25046779011559,14
25047281200101,14
25047782584059,14
25048284420588,14
25048786551766,14
25049288621128,14
25049790679792,14
25050291695690,14
25050794185429,14
25051296400542,14
25051798635349,14
25052300907881,14
25052803056427,14
25053305061068,14
25053807374197,14
25054311636219,14
25054813883559,14
25055315990592,14
25055818332722,14
25056320452929,14
25056821750336,14
25057322768406,14
25057825155157,14
25058327530397,14
25058829698864,14
25059341396353,14
25059844118259,14
25060346106081,14
25060848217488,14
25061350352369,14
25061852460318,14
25062354434620,14
25062856115291,14
25063358050998,14
25063860379524,14
25064362499862,14
25064864467217,14
25065366590777,14
25065868788365,14
25066371043107,14
25066873180754,14
25067375377098,14
25067877247996,14
25068379151692,14
25068880525417,14
25069382418219,14
25069884489957,14
25070386279549,14
25070888123200,14
25071389895358,14
25071891702701,14
25072393627927,14
25072895450770,14
25073397241646,14
25073899126058,14
25074400984307,14
25074902794126,14
25075404458900,14
25075905522889,14
25076407283115,14
25076908948993,14
25077410733188,14
25077912882847,14
25078415803254,14
25078917272530,14
25079419071474,14
25079921131580,14
25080422824158,14
25080924618056,14
25081426406396,14
25081928173778,14
25082429918249,14
25082931559345,14
25083433455304,14
25083935172257,14
25084437032671,14
25084938884876,14
25085440663669,14
25085942460593,14
25086444195497,14
25086945926668,14
25087447557526,14
25087949384253,14
25088451130598,14
25088952966155,14
25089454629857,14
25089956394514,14
25090458084982,14
25090960167814,14
25091461053529,14
25091962778295,14
25092464567271,14
25092966381675,14
25093468175869,14
25093969860223,14
25094471578103,14
25094973259020,14
25095474975557,14
25095976735017,14
25096478489655,14
25096980194571,14
25097482046470,14
25097983792920,14
25098485333238,14
25098987109812,14
25099488741617,14
25099990465526,14
25100492150858,14
25100993841180,14
25101495661563,14
25101997394808,14
25102499028798,14
25103000792262,14
25103502598287,14
25104004352099,14
25104506099637,14
25105007877618,14
25105509579036,14
25106011317483,14
25106513117294,14
25107014807001,14
25107516646817,14
25108018393653,14
25108520162740,14
25109021950954,14
25109523645086,14
25110025514354,14
25110527250687,14
25111029053540,14
25111530525282,14
25112033074602,14
