VIR,RES (kB),RES (MB),SHR,time (s)
5989452,73776,73.776,61032,0
5989452,73776,73.776,61032,1
5989452,73776,73.776,61032,2
5989452,73776,73.776,61032,3
5989452,73776,73.776,61032,4
5989452,73776,73.776,61032,5
5989452,73776,73.776,61032,6
5989452,73776,73.776,61032,7
5989452,73776,73.776,61032,8
5989452,73776,73.776,61032,9
5989452,73776,73.776,61032,10
5989452,73776,73.776,61032,11
5989452,73776,73.776,61032,12
5989452,73776,73.776,61032,13
5989452,73776,73.776,61032,14
5989452,73776,73.776,61032,15
5989452,73776,73.776,61032,16
5989452,73776,73.776,61032,17
6056056,76096,76.096,63336,18
8787288,129732,129.732,116772,19
8787288,129712,129.712,116752,20
8787288,129712,129.712,116752,21
8787288,129712,129.712,116752,22
8787288,129712,129.712,116752,23
8787288,129712,129.712,116752,24
8787288,129712,129.712,116752,25
8787288,129712,129.712,116752,26
8787288,129712,129.712,116752,27
8893172,141044,141.044,128060,28
8900368,141736,141.736,128752,29
8903452,141792,141.792,128808,30
8906536,142104,142.104,129120,31
8909620,142396,142.396,129412,32
8912704,142692,142.692,129708,33
8915788,143004,143.004,130020,34
8918872,143292,143.292,130308,35
8921956,143596,143.596,130612,36
8925040,143900,143.9,130916,37
8928268,144248,144.248,131264,38
8932236,144608,144.608,131620,39
8935320,144904,144.904,131916,40
8938404,145196,145.196,132200,41
8941488,145488,145.488,132492,42
8944572,145772,145.772,132776,43
8947656,146064,146.064,133076,44
8950740,146360,146.36,133372,45
8953824,146648,146.648,133660,46
8956908,146952,146.952,133964,47
8959992,147248,147.248,134260,48
8963076,147556,147.556,134568,49
8966160,147864,147.864,134872,50
8969244,148176,148.176,135184,51
8972328,148472,148.472,135480,52
8975412,148764,148.764,135772,53
8978496,149052,149.052,136060,54
8981732,149392,149.392,136400,55
8986720,149816,149.816,136824,56
8989804,150128,150.128,137136,57
8992888,151568,151.568,138576,58
8995972,150720,150.72,137728,59
8999056,151028,151.028,138036,60
9002140,151332,151.332,138340,61
9005224,151636,151.636,138644,62
9008308,151940,151.94,138944,63
9011392,152244,152.244,139248,64
9014476,152540,152.54,139544,65
9017560,152844,152.844,139840,66
9020644,153148,153.148,140144,67
9023728,153452,153.452,140448,68
9026812,153756,153.756,140752,69
9029896,154064,154.064,141052,70
9032980,154376,154.376,141364,71
9037092,154776,154.776,141764,72
9040176,155076,155.076,142072,73
9043260,155352,155.352,142348,74
9046344,155652,155.652,142648,75
9049428,155940,155.94,142936,76
9050456,156036,156.036,143032,77
9051484,156140,156.14,143136,78
9052512,156236,156.236,143232,79
9053540,156336,156.336,143332,80
9054568,156440,156.44,143436,81
9055596,156544,156.544,143540,82
9056624,156640,156.64,143636,83
9057652,156744,156.744,143740,84
9058680,156848,156.848,143844,85
9059708,156780,156.78,143776,86
9059708,156628,156.628,143624,87
9059708,156500,156.5,143496,88
9059708,156308,156.308,143304,89
9059708,156112,156.112,143108,90
9059708,159000,159,145996,91
9059708,158824,158.824,145820,92
9059708,158628,158.628,145624,93
9059708,158364,158.364,145360,94
9059708,158168,158.168,145164,95
9059708,157976,157.976,144972,96
9059708,157780,157.78,144776,97
9059708,157456,157.456,144452,98
9058680,157232,157.232,144220,99
9055596,156960,156.96,143956,100
9051484,156596,156.596,143592,101
9048400,154816,154.816,141812,102
9045316,154544,154.544,141540,103
9042232,154276,154.276,141272,104
9039148,154012,154.012,141008,105
9036064,153740,153.74,140736,106
9032980,153472,153.472,140468,107
9029896,153204,153.204,140200,108
9026812,152932,152.932,139928,109
9023728,152660,152.66,139656,110
9020644,152392,152.392,139388,111
9017560,151216,151.216,138212,112
9014476,150944,150.944,137940,113
9011392,150672,150.672,137668,114
9008308,150400,150.4,137396,115
9005224,150128,150.128,137124,116
9002140,149856,149.856,136852,117
8997000,149400,149.4,136396,118
8993916,149192,149.192,136188,119
8990832,148924,148.924,135920,120
8987748,148652,148.652,135648,121
8984664,148380,148.38,135376,122
8981580,148108,148.108,135104,123
8978496,147836,147.836,134832,124
9021656,165188,165.188,152192,125
9022684,165212,165.212,152216,126
9023712,165308,165.308,152312,127
9024740,165460,165.46,152456,128
9025768,165556,165.556,152552,129
9026796,165648,165.648,152648,130
9027824,165736,165.736,152736,131
9028852,165828,165.828,152828,132
9029880,165924,165.924,152924,133
9030908,166012,166.012,153012,134
9031936,166112,166.112,153112,135
9032964,166212,166.212,153212,136
9033992,166312,166.312,153312,137
9035020,166416,166.416,153416,138
9036048,166528,166.528,153528,139
9037076,166628,166.628,153628,140
9038104,164232,164.232,151232,141
9039132,164332,164.332,151332,142
9040160,164436,164.436,151436,143
9042216,164636,164.636,151636,144
9043244,164740,164.74,151740,145
9044272,164840,164.84,151840,146
9045300,164948,164.948,151948,147
9046328,164980,164.98,151980,148
9047356,165076,165.076,152076,149
9048384,165248,165.248,152248,150
9049412,165352,165.352,152352,151
9050440,165456,165.456,152456,152
9051468,165556,165.556,152556,153
9052496,165660,165.66,152660,154
