VIR,RES (kB),RES (MB),SHR,time (s)
5031372,56560,56.56,43064,1
5031372,56560,56.56,43064,2
5031372,56560,56.56,43064,3
5031372,56564,56.564,43068,4
5031372,56564,56.564,43068,5
6165072,66552,66.552,52988,6
7500484,76012,76.012,62404,7
7500484,76024,76.024,62416,8
7500484,76048,76.048,62440,9
7500484,76052,76.052,62444,10
7500484,76092,76.092,62484,11
7500484,76204,76.204,62596,12
7500484,76204,76.204,62596,13
7741472,90216,90.216,76592,14
8128232,128084,128.084,114360,15
8526332,156624,156.624,142576,16
8959360,186712,186.712,162856,17
9346524,204604,204.604,180980,18
9511268,214748,214.748,190912,19
9683244,223184,223.184,199268,20
9872644,231976,231.976,207980,21
10392564,284800,284.8,258804,22
10208636,269852,269.852,245932,23
10316856,272748,272.748,248712,24
10437280,276344,276.344,252308,25
10552416,280364,280.364,256328,26
10675664,284056,284.056,259944,27
11126516,308808,308.808,282816,28
10852664,277860,277.86,264124,29
10857560,280620,280.62,266896,30
10857560,282272,282.272,268548,31
10857560,286656,286.656,272928,32
10857560,289412,289.412,275684,33
10857560,305140,305.14,291412,34
10857560,314576,314.576,300848,35
10857560,323232,323.232,309504,36
10857560,329300,329.3,315572,37
10857560,333956,333.956,320224,38
10857560,335644,335.644,321916,39
10857704,338200,338.2,324472,40
10859608,338728,338.728,325000,41
10859608,339348,339.348,325620,42
10859608,339676,339.676,325940,43
10859608,339836,339.836,326108,44
10859608,340420,340.42,326692,45
10859608,345944,345.944,332216,46
10859608,346460,346.46,332732,47
10859608,346728,346.728,333000,48
10859608,347268,347.268,333540,49
10859608,348776,348.776,335048,50
10859608,349140,349.14,335412,51
10859608,349440,349.44,335712,52
10859608,349588,349.588,335860,53
10859608,349828,349.828,336100,54
10859608,350052,350.052,336324,55
10859608,351164,351.164,337436,56
10859608,351408,351.408,337680,57
10859608,353284,353.284,339552,58
10859608,353768,353.768,340040,59
10859608,353772,353.772,340044,60
10859608,353708,353.708,339980,61
10859608,353712,353.712,339984,62
10859608,353720,353.72,339984,63
10859608,353728,353.728,339996,64
10859608,353792,353.792,340064,65
10859608,353792,353.792,340064,66
10859608,353792,353.792,340064,67
10859608,353792,353.792,340064,68
10859608,353904,353.904,340176,69
10859608,355532,355.532,341780,70
10859608,355532,355.532,341780,71
10859608,355556,355.556,341804,72
10859608,355560,355.56,341808,73
10859608,355560,355.56,341808,74
10859608,355568,355.568,341816,75
10859608,355136,355.136,341384,76
10859608,355452,355.452,341700,77
10859608,355480,355.48,341720,78
10859608,355492,355.492,341732,79
10859608,395752,395.752,382000,80
10859608,395752,395.752,382000,81
10859608,395764,395.764,382012,82
10859608,395800,395.8,382048,83
10859608,395804,395.804,382052,84
10859608,395808,395.808,382056,85
10859608,395812,395.812,382060,86
10859608,395812,395.812,382060,87
10859608,395840,395.84,382088,88
10859608,357944,357.944,344192,89
10859608,358012,358.012,344260,90
10859608,358052,358.052,344300,91
10859608,355492,355.492,341740,92
10859608,355500,355.5,341748,93
10859608,355500,355.5,341740,94
10859608,355504,355.504,341748,95
10859608,355504,355.504,341748,96
10859608,355504,355.504,341748,97
10859608,355508,355.508,341752,98
10859608,355508,355.508,341752,99
10859608,355512,355.512,341756,100
10859608,355520,355.52,341764,101
10859608,355556,355.556,341804,102
10859608,358116,358.116,344364,103
10859608,358148,358.148,344396,104
10859608,358216,358.216,344464,105
10859608,358216,358.216,344464,106
10859608,358216,358.216,344464,107
10859608,358216,358.216,344464,108
10859608,358220,358.22,344460,109
10859608,358228,358.228,344468,110
10859608,358480,358.48,344716,111
10859608,358296,358.296,344536,112
10859608,356804,356.804,343040,113
10859608,356804,356.804,343040,114
10859608,356872,356.872,343108,115
10859608,356908,356.908,343144,116
10859608,356908,356.908,343144,117
10859608,356908,356.908,343144,118
10859608,356916,356.916,343152,119
10859608,356928,356.928,343164,120
10859608,358200,358.2,344432,121
10859608,357972,357.972,344200,122
10859608,357484,357.484,343716,123
10859608,357508,357.508,343740,124
10859608,357568,357.568,343800,125
10859608,357580,357.58,343812,126
10859608,357588,357.588,343820,127
10859608,357588,357.588,343820,128
10859608,357588,357.588,343820,129
10859608,357588,357.588,343820,130
10859608,357648,357.648,343880,131
10859608,353764,353.764,339996,132
10859608,353764,353.764,339996,133
10859608,353764,353.764,339996,134
10859608,353764,353.764,339996,135
10859608,353776,353.776,340008,136
10859608,353196,353.196,339420,137
10859608,353196,353.196,339420,138
10859608,353196,353.196,339420,139
10859608,353216,353.216,339444,140
10859608,353220,353.22,339452,141
10859608,353224,353.224,339456,142
10859608,353224,353.224,339456,143
10859608,353268,353.268,339500,144
10859608,353272,353.272,339504,145
10859608,353272,353.272,339504,146
10859608,353272,353.272,339504,147
10859608,353340,353.34,339572,148
10859608,392044,392.044,378276,149
10859608,392044,392.044,378276,150
10859608,392044,392.044,378276,151
10859608,392048,392.048,378280,152
10859608,391952,391.952,378176,153
10859608,391952,391.952,378180,154
10859608,351052,351.052,337280,155
10859608,351052,351.052,337280,156
10859608,351072,351.072,337304,157
10859608,351072,351.072,337304,158
10859608,351072,351.072,337304,159
10859608,351076,351.076,337300,160
10859608,351076,351.076,337300,161
10859608,351076,351.076,337304,162
10859608,351076,351.076,337304,163
10859608,351076,351.076,337304,164
10859608,347500,347.5,333732,165
10859608,347508,347.508,333740,166
10859608,347524,347.524,333756,167
10859608,347524,347.524,333756,168
10859608,347524,347.524,333756,169
10859608,347524,347.524,333756,170
10859608,347528,347.528,333760,171
10859608,347764,347.764,333996,172
10859608,347764,347.764,333996,173
10859608,347764,347.764,333996,174
10859608,347764,347.764,333996,175
10859608,347764,347.764,333988,176
10859608,347772,347.772,334000,177
10859608,347772,347.772,334000,178
10859608,347772,347.772,334000,179
10859608,344184,344.184,330416,180
10859608,344184,344.184,330416,181
10859608,344184,344.184,330416,182
10859608,344252,344.252,330484,183
10859608,344252,344.252,330484,184
10859608,344252,344.252,330484,185
10859608,344252,344.252,330484,186
10859608,344256,344.256,330488,187
10859608,344256,344.256,330488,188
10859608,344260,344.26,330492,189
10859608,344260,344.26,330492,190
10859608,344260,344.26,330484,191
10859608,344268,344.268,330496,192
10859608,344276,344.276,330508,193
10859608,341216,341.216,327448,194
10859608,341224,341.224,327456,195
10859608,341224,341.224,327456,196
10859608,341224,341.224,327456,197
10859608,341228,341.228,327460,198
10859608,341228,341.228,327460,199
10859608,341236,341.236,327468,200
10859608,341244,341.244,327476,201
10859608,341244,341.244,327476,202
10859608,341244,341.244,327476,203
10859608,341248,341.248,327480,204
10859608,341248,341.248,327480,205
10859608,341256,341.256,327480,206
10859608,341272,341.272,327500,207
10859608,338200,338.2,324428,208
10859608,338200,338.2,324432,209
10859608,338200,338.2,324432,210
10859608,338200,338.2,324432,211
10859608,338264,338.264,324496,212
10859608,379200,379.2,365432,213
10859608,379200,379.2,365432,214
10859608,379208,379.208,365440,215
10859608,379208,379.208,365440,216
10859608,379208,379.208,365440,217
10859608,379268,379.268,365500,218
10859608,379296,379.296,365528,219
10859608,378272,378.272,364504,220
10859608,378272,378.272,364504,221
10859608,378272,378.272,364496,222
10859608,378272,378.272,364500,223
10859608,378272,378.272,364500,224
10859608,378276,378.276,364508,225
10859608,377768,377.768,364000,226
10859608,377768,377.768,364000,227
10859608,377768,377.768,364000,228
10859608,377768,377.768,364000,229
10859608,377776,377.776,364008,230
10859608,376236,376.236,362468,231
10859608,376236,376.236,362468,232
10859608,376236,376.236,362468,233
10859608,376260,376.26,362492,234
10859608,376280,376.28,362512,235
10859608,376376,376.376,362608,236
10859608,375864,375.864,362088,237
10859608,375864,375.864,362092,238
10859608,375876,375.876,362104,239
10859608,375876,375.876,362104,240
10859608,375924,375.924,362156,241
10859608,375412,375.412,361644,242
10859608,375416,375.416,361648,243
10859608,375420,375.42,361652,244
10859608,334512,334.512,320744,245
10859608,334024,334.024,320256,246
10859608,334032,334.032,320264,247
10859608,334032,334.032,320264,248
10859608,334040,334.04,320272,249
10859608,334052,334.052,320284,250
10859608,332516,332.516,318748,251
10859608,332516,332.516,318740,252
10859608,332520,332.52,318744,253
10859608,332520,332.52,318744,254
10859608,332040,332.04,318264,255
10859608,332040,332.04,318264,256
10859608,332040,332.04,318264,257
10859608,332040,332.04,318268,258
10859608,331544,331.544,317776,259
10859608,331548,331.548,317772,260
10859608,331548,331.548,317772,261
