# time,value
5,0
10,74
15,162
20,205
25,325
30,371
35,495
40,537
45,635
50,637
55,628
60,732
65,925
70,887
75,932
80,994
85,1173
90,1187
95,1191
100,1311
105,1478
110,1462
115,1407
120,1422
125,1540
130,1432
135,1391
140,1371
145,1388
150,1395
155,1347
160,1387
165,1386
170,1356
175,1352
180,1332
185,1378
190,1380
195,1362
200,1348
205,1366
210,1367
215,1190
220,1113
225,1126
230,1195
235,1187
240,1177
245,1185
250,1140
255,1134
260,1152
265,1130
270,1130
275,1145
280,1110
285,1189
290,1188
295,1189
300,1187
305,1192
310,1201
315,1151
320,1133
325,1154
330,1122
335,1136
340,1165
345,1135
350,1150
355,1139
360,1134
365,1143
370,1178
375,1184
380,1140
385,1146
390,1137
395,1134
400,1140
405,1145
410,1140
415,1146
420,1183
425,1137
430,1182
435,1184
440,1164
445,1125
450,1133
455,1140
460,1129
465,1131
470,1109
475,1181
480,1191
485,1187
490,1199
495,1154
500,1137
505,1156
510,1134
515,1141
520,1161
525,1144
530,1143
535,1178
540,1156
545,1155
550,1144
555,1135
560,1120
565,1137
570,1131
575,1125
580,1146
585,1140
590,1142
595,1116
600,1156
605,1128
610,1152
615,1123
620,1123
625,1152
630,1149
635,1170
640,1124
645,1145
650,1148
655,1128
660,1170
665,1162
670,1142
675,1149
680,1135
685,1137
690,1150
695,1195
700,1167
705,1114
710,1139
715,1140
720,1175
725,1187
730,1184
735,1187
740,1185
745,1181
750,1138
755,1149
760,1147
765,1131
770,1148
775,1158
780,1196
785,1196
790,1191
795,1193
800,1168
805,1146
810,1140
815,1139
820,1138
825,1151
830,1194
835,1197
840,1186
845,1190
850,1168
855,1131
860,1141
865,1155
870,1185
875,1202
880,1192
885,1196
890,1189
895,1189
900,1160
905,1146
