# time,value
10,0
15,559
20,1028
25,1512
30,1999
35,2975
40,3951
45,5417
50,6887
55,8360
60,9836
65,11309
70,12764
75,14234
80,15707
85,17180
90,18650
95,20117
100,21587
105,22977
110,24176
115,25371
120,26569
125,27765
130,28961
135,30160
140,31359
145,32557
150,33757
155,34956
160,36152
165,37349
170,38549
175,39749
180,40945
185,42142
190,43343
195,44543
200,45742
205,46941
210,48138
215,49336
220,50536
225,51730
230,52932
235,54132
240,55332
245,56531
250,57730
255,58927
260,60127
265,61325
270,62531
275,63733
280,64938
285,66143
290,67351
295,68555
300,69759
305,70968
310,72179
315,73390
320,74594
325,75798
330,77003
335,78207
340,79408
345,80614
350,81819
355,83023
360,84226
365,85431
370,86636
375,87842
380,89050
385,90252
390,91459
395,92663
400,93869
405,95072
410,96276
415,97482
420,98688
425,99892
430,101095
435,102301
440,103506
445,104709
450,105913
455,107118
460,108322
465,109526
470,110726
475,111929
480,113135
485,114342
490,115547
495,116753
500,117957
505,119163
510,120367
515,121574
520,122776
525,123983
530,125187
535,126394
540,127600
545,128802
550,130009
555,131214
560,132415
565,133617
570,134819
575,136023
580,137229
585,138434
590,139637
595,140844
600,142047
605,143254
610,144457
615,145662
620,146868
625,148073
630,149278
635,150482
640,151687
645,152891
650,154096
655,155300
660,156507
665,157713
670,158917
675,160123
680,161328
685,162534
690,163739
695,164946
700,166150
705,167355
710,168562
715,169767
720,170975
725,172177
730,173385
735,174591
740,175799
745,177003
750,178209
755,179412
760,180619
765,181824
770,183030
775,184235
780,185443
785,186649
790,187854
795,189061
800,190268
805,191473
810,192681
815,193884
820,195089
825,196294
830,197501
835,198708
840,199912
845,201119
850,202327
855,203534
860,204737
865,205943
870,207147
875,208355
880,209560
885,210767
890,211974
895,213182
900,214388
905,215593
