# time,value
10,0
15,193
20,163
25,322
30,326
35,494
40,495
45,656
50,656
55,658
60,660
65,987
70,971
75,981
80,986
85,1309
90,1316
95,1316
100,1312
105,1648
110,1555
115,1555
120,1555
125,1555
130,1555
135,1555
140,1555
145,1555
150,1555
155,1555
160,1555
165,1555
170,1555
175,1555
180,1555
185,1555
190,1555
195,1555
200,1555
205,1555
210,1645
215,1645
220,1645
225,1645
230,1645
235,1645
240,1645
245,1645
250,1645
255,1645
260,1645
265,1645
270,1645
275,1645
280,1645
285,1645
290,1645
295,1645
300,1645
305,1645
310,1645
315,1645
320,1645
325,1645
330,1645
335,1645
340,1645
345,1645
350,1645
355,1645
360,1645
365,1645
370,1645
375,1645
380,1645
385,1645
390,1645
395,1645
400,1645
405,1645
410,1645
415,1645
420,1645
425,1645
430,1645
435,1645
440,1645
445,1645
450,1645
455,1645
460,1645
465,1645
470,1645
475,1645
480,1645
485,1645
490,1645
495,1645
500,1645
505,1645
510,1645
515,1645
520,1645
525,1645
530,1645
535,1645
540,1645
545,1645
550,1645
555,1645
560,1645
565,1645
570,1645
575,1645
580,1645
585,1645
590,1645
595,1645
600,1645
605,1645
610,1645
615,1645
620,1645
625,1645
630,1645
635,1645
640,1645
645,1645
650,1645
655,1645
660,1645
665,1645
670,1645
675,1645
680,1645
685,1645
690,1645
695,1645
700,1645
705,1645
710,1645
715,1645
720,1645
725,1645
730,1645
735,1645
740,1645
745,1645
750,1645
755,1645
760,1645
765,1645
770,1645
775,1645
780,1645
785,1645
790,1645
795,1645
800,1645
805,1645
810,1645
815,1645
820,1645
825,1645
830,1645
835,1645
840,1645
845,1645
850,1645
855,1645
860,1645
865,1645
870,1645
875,1645
880,1645
885,1645
890,1645
895,1645
900,1645
905,1645
