# time,value
10,0
15,194
20,162
25,324
30,327
35,493
40,496
45,659
50,664
55,826
60,828
65,995
70,989
75,1154
80,1160
85,1321
90,1325
95,1487
100,1494
105,1491
110,1494
115,1494
120,1494
125,1494
130,1494
135,1494
140,1494
145,1494
150,1494
155,1494
160,1494
165,1494
170,1494
175,1494
180,1494
185,1494
190,1494
195,1494
200,1494
205,1494
210,1494
215,1494
220,1494
225,1494
230,1494
235,1494
240,1494
245,1494
250,1494
255,1494
260,1494
265,1494
270,1494
275,1494
280,1494
285,1494
290,1494
295,1494
300,1494
305,1494
310,1494
315,1494
320,1494
325,1494
330,1494
335,1494
340,1494
345,1494
350,1494
355,1494
360,1494
365,1494
370,1494
375,1494
380,1494
385,1494
390,1494
395,1494
400,1494
405,1494
410,1494
415,1494
420,1494
425,1494
430,1494
435,1494
440,1494
445,1494
450,1494
455,1494
460,1494
465,1494
470,1494
475,1494
480,1494
485,1494
490,1494
495,1494
500,1494
505,1494
510,1494
515,1494
520,1494
525,1494
530,1494
535,1494
540,1494
545,1494
550,1494
555,1494
560,1494
565,1494
570,1494
575,1494
580,1494
585,1494
590,1494
595,1494
600,1494
605,1494
610,1494
615,1494
620,1494
625,1494
630,1494
635,1494
640,1494
645,1494
650,1494
655,1494
660,1494
665,1494
670,1494
675,1494
680,1494
685,1494
690,1494
695,1494
700,1494
705,1494
710,1494
715,1494
720,1494
725,1494
730,1494
735,1494
740,1494
745,1494
750,1494
755,1494
760,1494
765,1494
770,1494
775,1494
780,1494
785,1494
790,1494
795,1494
800,1494
805,1494
810,1494
815,1494
820,1494
825,1494
830,1494
835,1494
840,1494
845,1494
850,1494
855,1494
860,1494
865,1494
870,1494
875,1494
880,1494
885,1494
890,1494
895,1494
900,1494
905,1494
