VIR,RES (kB),RES (MB),SHR,time (s)
5989452,72028,72.028,59308,0
5989452,72028,72.028,59308,1
5989452,72028,72.028,59308,2
5989452,72028,72.028,59308,3
5989452,72028,72.028,59308,4
5989452,72028,72.028,59308,5
5989452,72028,72.028,59308,6
5989452,72028,72.028,59308,7
5989452,72028,72.028,59308,8
5989452,72028,72.028,59308,9
5989452,72028,72.028,59308,10
5989452,72028,72.028,59308,11
5989452,72028,72.028,59308,12
5989452,72028,72.028,59308,13
5989452,72028,72.028,59308,14
5989452,72028,72.028,59308,15
5989452,72028,72.028,59308,16
5989452,72028,72.028,59308,17
5989452,72028,72.028,59308,18
5989452,72028,72.028,59308,19
5989452,72028,72.028,59284,20
5989452,72028,72.028,59284,21
5989452,72028,72.028,59284,22
5989452,72028,72.028,59284,23
5989452,72028,72.028,59284,24
5989452,72028,72.028,59284,25
5989452,72028,72.028,59284,26
5989452,72028,72.028,59284,27
5989452,72028,72.028,59284,28
5989452,72028,72.028,59284,29
5989452,72028,72.028,59284,30
5989452,72028,72.028,59284,31
5989452,72028,72.028,59284,32
5989452,72028,72.028,59284,33
5989452,72028,72.028,59284,34
5989452,72028,72.028,59284,35
5989452,72028,72.028,59284,36
7121104,117204,117.204,104304,37
8790372,128216,128.216,115256,38
8790372,128228,128.228,115268,39
8790372,128228,128.228,115268,40
8790372,128228,128.228,115268,41
8790372,128064,128.064,115104,42
8790372,128064,128.064,115104,43
8790372,128064,128.064,115104,44
8790372,128064,128.064,115104,45
8790372,128064,128.064,115104,46
8896256,139324,139.324,126340,47
8903452,140016,140.016,127032,48
8906536,140304,140.304,127316,49
8909620,140604,140.604,127620,50
8913732,141004,141.004,128020,51
8916816,141216,141.216,128232,52
8919900,141512,141.512,128528,53
8922984,141808,141.808,128824,54
8926068,142104,142.104,129120,55
8929152,142404,142.404,129420,56
8932236,142720,142.72,129732,57
8935320,143024,143.024,130036,58
8942516,143716,143.716,130728,59
8945600,144024,144.024,131036,60
8948684,145928,145.928,132940,61
8951768,146232,146.232,133244,62
8954852,146516,146.516,133528,63
8957936,146812,146.812,133824,64
8961020,147100,147.1,134112,65
8964104,147408,147.408,134420,66
8967188,147696,147.696,134708,67
8970272,148000,148,135012,68
8974384,148408,148.408,135416,69
8978496,148812,148.812,135820,70
8981580,149112,149.112,136120,71
8984664,149408,149.408,136416,72
8987748,151052,151.052,138060,73
8990832,151340,151.34,138348,74
8993916,151628,151.628,138636,75
8997000,149292,149.292,136300,76
9000084,149588,149.588,136596,77
9003168,149892,149.892,136892,78
9006252,150196,150.196,137200,79
9009336,150500,150.5,137504,80
9012420,150804,150.804,137808,81
9015504,151100,151.1,138104,82
9018588,151400,151.4,138404,83
