time,replication
26208570909092,1
26209089879240,1
26209591740617,1
26210093202900,1
26210594756334,1
26211097985619,1
26211599367230,1
26212102074295,1
26212605805387,1
26213108025743,1
26213610437145,1
26214112736474,1
26214613844733,1
26215114843062,1
26215615937830,1
26216116894207,1
26216618585297,1
26217120051730,1
26217621149624,1
26218122808189,1
26218624057682,1
26219126043365,1
26219627174166,1
26220128832045,1
26220631624065,1
26221134532794,1
26221637459745,1
26222140393967,1
26222643237448,1
26223146052170,1
26223648979221,1
26224151951043,1
26224655472807,1
26225158279660,1
26225661296690,1
26226164269004,1
26226667216992,1
26227170126584,1
26227673180151,1
26228176107478,1
26228678809654,1
26229181707709,1
26229684640017,1
26230187454508,1
26230690408660,1
26231193254833,1
26231696129480,1
26232198846720,1
26232701816674,1
26233204605947,1
26233707485009,1
26234210377141,1
26234713293698,1
26235215861691,1
26235717255952,1
26236219974190,1
26236722975469,1
26237225766833,1
26237728601058,1
26238231325490,1
26238734144340,1
26239236985472,1
26239739766316,1
26240242668175,1
26240745376280,1
26241248145167,1
26241750869604,1
26242253738262,1
26242756500991,1
26243259309062,1
26243762323411,1
26244265132394,1
26244767764863,1
26245270605412,1
26245773368161,1
26246276234229,1
26246779022961,1
26247281851759,1
26247784492812,1
26248287324101,1
26248790119679,1
26249292908266,1
26249795638195,1
26250298480329,1
26250801179678,1
26251303800332,1
26251805567728,1
26252309273513,1
26252811932557,1
26253314657390,1
26253817428382,1
26254320171671,1
26254822940423,1
26255325753757,1
26255828547941,1
26256331243733,1
26256834068577,1
26257336871457,1
26257839697930,1
26258342505645,1
26308477166500,1
26308979969104,1
26309482668143,1
26309985421861,1
26310488118891,1
26310990802129,1
26311493463667,1
26311995188976,1
26312497868967,1
26313000570832,1
26313503172997,1
26314005814956,1
26314508385790,1
26315010993397,1
26315513712717,1
26316016421258,1
26316519007682,1
26317021670223,1
26317524285883,1
26318026884720,1
26318529477844,1
26319032116512,1
26319534797440,1
26320037464361,1
26320540191173,1
26321042771714,1
26321545543172,1
26322048203989,1
26322550884737,1
26323053479034,1
26323556103654,1
26324058722652,1
26324561247456,1
26325063914974,1
26325566601440,1
26326069364775,1
26326571946553,1
26327074718668,1
26327577397105,1
26328080411805,1
26328582945730,1
26329085685927,1
26329588301307,1
26330089864020,1
26330592489883,1
26331095204919,1
26331597803956,1
26332100515599,1
26332603105481,1
26333105785476,1
26333607734942,1
26334110212880,1
26334612661276,1
