# time,value
5,0
10,0
15,0
20,30
25,78
30,85
35,131
40,178
45,207
50,222
55,302
60,344
65,358
70,385
75,443
80,435
85,452
90,456
95,426
100,481
105,415
110,462
115,433
120,462
125,416
130,414
135,473
140,437
145,465
150,408
155,456
160,461
165,430
170,457
175,433
180,442
185,438
190,462
195,442
200,497
205,462
210,445
215,445
220,484
225,479
230,485
235,423
240,460
245,428
250,419
255,443
260,443
265,456
270,462
275,442
280,469
285,432
290,467
295,490
300,470
305,460
310,436
315,446
320,431
325,436
330,397
335,459
340,445
345,420
350,466
355,434
360,444
365,471
370,453
375,444
380,465
385,454
390,431
395,418
400,451
405,430
410,436
415,411
420,433
425,435
430,402
435,448
440,474
445,458
450,446
455,449
460,490
465,519
470,488
475,479
480,476
485,446
490,518
495,481
500,457
505,517
510,452
515,507
520,487
525,433
530,454
535,425
540,436
545,440
550,501
555,444
560,513
565,461
570,461
575,425
580,459
585,444
590,448
595,427
600,475
605,461
610,479
615,431
620,479
625,444
630,432
635,489
640,452
645,455
650,467
655,471
660,406
665,443
670,423
675,458
680,471
685,427
690,424
695,438
700,419
705,412
710,472
715,416
720,431
725,447
730,438
735,425
740,439
745,432
750,434
755,433
760,433
765,453
770,424
775,416
780,400
785,439
790,478
795,428
800,476
805,475
810,441
815,449
820,390
825,477
830,443
835,460
840,472
845,475
850,459
855,430
860,462
865,453
870,441
875,510
880,458
885,503
890,469
895,490
900,496
905,478
910,482
915,453
920,452
925,439
930,451
935,479
940,448
945,440
950,485
955,469
960,482
965,485
970,459
975,497
980,464
985,466
990,495
995,488
1000,479
1005,479
1010,476
1015,487
1020,488
1025,419
1030,422
1035,412
1040,498
1045,459
1050,480
1055,436
1060,475
1065,450
1070,442
1075,419
1080,447
1085,453
1090,466
1095,422
1100,444
1105,426
1110,451
1115,396
1120,481
1125,435
1130,497
1135,474
1140,499
1145,536
1150,485
1155,503
1160,503
1165,473
1170,475
1175,463
1180,443
1185,423
1190,443
1195,434
1200,376
1205,447
1210,464
1215,441
1220,456
1225,406
1230,444
1235,427
1240,456
1245,424
1250,391
1255,414
1260,448
1265,471
1270,407
1275,441
1280,456
1285,414
1290,514
1295,455
1300,432
1305,475
1310,431
1315,419
1320,457
1325,466
1330,428
1335,444
1340,508
1345,449
1350,494
1355,505
1360,481
1365,477
1370,467
1375,461
1380,443
1385,435
1390,511
1395,455
1400,519
1405,466
1410,459
1415,486
1420,462
1425,460
1430,479
1435,455
1440,463
1445,455
1450,536
1455,477
1460,457
1465,429
1470,452
1475,450
1480,418
1485,437
1490,468
1495,463
1500,420
1505,443
1510,458
1515,449
1520,403
1525,433
1530,434
1535,431
1540,416
