# time,value
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,Infinity
18,Infinity
19,Infinity
20,Infinity
21,Infinity
22,Infinity
23,Infinity
24,Infinity
25,Infinity
26,Infinity
27,-34.00000000000003
28,-34.00000000000003
29,-34.00000000000003
30,-34.00000000000003
31,-34.00000000000003
32,-34.00000000000003
33,-34.00000000000003
34,-34.00000000000003
35,-34.00000000000003
36,-34.00000000000003
37,-6.000000000000001
38,-6.000000000000001
39,-6.000000000000001
40,-6.000000000000001
41,-6.000000000000001
42,-6.000000000000001
43,-6.000000000000001
44,-6.000000000000001
45,-6.000000000000001
46,-6.000000000000001
47,-3.3809523809523814
48,-3.3809523809523814
49,-3.3809523809523814
50,-3.3809523809523814
51,-3.3809523809523814
52,-3.3809523809523814
53,-3.3809523809523814
54,-3.3809523809523814
