# time,value
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,Infinity
18,Infinity
19,Infinity
20,Infinity
21,Infinity
22,Infinity
23,Infinity
24,Infinity
25,Infinity
26,Infinity
27,-2.0303030303030303
28,-2.0303030303030303
29,-2.0303030303030303
30,-2.0303030303030303
31,-2.0303030303030303
32,-2.0303030303030303
33,-2.0303030303030303
34,-2.0303030303030303
35,-2.0303030303030303
36,-2.0303030303030303
37,-0.275
38,-0.275
39,-0.275
40,-0.275
41,-0.275
42,-0.275
43,-0.275
44,-0.275
45,-0.275
46,-0.275
47,-0.11523809523809524
48,-0.11523809523809524
49,-0.11523809523809524
50,-0.11523809523809524
51,-0.11523809523809524
52,-0.11523809523809524
53,-0.11523809523809524
54,-0.11523809523809524
