# time,value
1,0
2,0
3,0
4,37
5,30
6,28
7,28
8,28
9,25
10,27
11,1
12,11
13,13
14,14
15,15
16,25
17,16
18,22
19,21
20,21
21,7
22,7
23,7
24,8
25,16
26,8
27,18
28,10
29,17
30,12
31,11
32,8
33,8
34,9
35,16
36,8
37,14
38,13
39,7
40,7
41,9
42,11
43,11
44,10
45,8
46,6
47,6
48,8
49,8
50,8
51,11
52,9
53,6
54,10
55,7
56,10
57,7
58,4
59,5
60,4
61,9
62,4
63,4
64,5
65,4
66,6
67,4
68,6
69,7
70,7
71,3
72,5
73,3
74,6
75,5
76,4
77,4
78,5
79,3
80,2
81,4
82,2
83,2
84,5
85,2
86,2
87,2
88,4
89,2
90,2
91,4
92,2
93,4
94,2
95,3
96,1
97,1
98,1
99,3
100,1
101,2
102,1
103,4
104,2
105,1
106,3
107,1
108,2
109,1
110,1
111,1
112,1
113,1
114,2
115,1
116,1
117,1
118,1
119,2
120,1
121,3
122,2
123,1
124,1
125,1
126,2
127,2
128,1
129,1
130,1
131,2
132,2
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,0
141,2
142,1
143,0
144,0
145,0
146,0
147,1
148,1
149,1
150,1
151,0
152,0
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,1
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
