# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
20,86,1.3432538342273688,4.294206750515402,0.2776795757968262,0.09307455351773496
25,427,6.704815226964601,17.05779794205861,1.4036424947068384,0.4715053028094341
30,802,12.149405586417036,26.69843739614975,2.616777579058148,0.8832964609990973
35,1293,19.013640117175612,36.89636377027059,4.193323575485615,1.421337759868546
40,1488,20.643643455184115,37.147705007164134,4.7752387525555715,1.6317453212495636
45,1640,21.407727536735766,36.39562460237714,5.1954730929083075,1.7900177944046611
50,1796,22.190674413645215,35.8738797115562,5.625290116739163,1.9529535659969421
55,1940,22.719126909807606,35.22676674426998,6.008334379215257,2.1016902838609144
60,2085,23.237308911447005,34.70536185079508,6.391658895382004,2.2518190384987085
65,2234,23.73005048489091,34.32393277177526,6.771953323817659,2.402224087415995
70,2373,24.071456797874696,33.85438092620156,7.122822073581798,2.5440396567083035
75,2516,24.465521354625295,33.50000916442281,7.484420019191291,2.690609698186564
80,2673,24.956007185660145,33.3633903892681,7.866486950344181,2.8452319625492715
85,2804,25.039480242253465,32.938456491016815,8.16620755816172,2.9735128968881077
90,2956,25.468083737375167,32.771535016080975,8.533699823257216,3.1254598041310873
95,3112,25.84642687207836,32.68699304029368,8.891812266243207,3.2754568720137343
100,3260,26.21051047704952,32.53163951276178,9.247311340413926,3.425730963740512
105,3394,26.225661222778637,32.25711334211035,9.530820347007312,3.5530119061777845
110,3533,26.335547284208992,32.0527136545994,9.829477617307292,3.686235875241998
115,3664,26.356691755902926,31.797619131488247,10.106669970945227,3.813181611273102
120,3797,26.392136726059352,31.580510759936214,10.382586447201437,3.9405320790304836
125,3968,26.93646341925081,31.682989955056673,10.75972512078012,4.102633978608503
130,4140,27.59717932379661,31.78650598134631,11.163687332733668,4.274918113014372
135,4313,28.1890761843566,31.889330214368197,11.557666927376943,4.445139736730266
140,4496,28.78162093617386,32.05463051034435,11.955051739803848,4.617742397974983
145,4679,29.45471736209433,32.21033265463339,12.372314032893376,4.7982530574338105
150,4879,30.169942671714225,32.46880312686533,12.802513842317135,4.984411842796624
155,5070,30.955910659624625,32.6523197435789,13.252048748210315,5.178403523385469
160,5236,31.151329253532566,32.66765349131802,13.585065090875322,5.334755457410384
165,5406,31.267158571075743,32.705760181044134,13.899354320599725,5.485809056359989
170,5595,31.82147796580746,32.854626339493265,14.301008664876203,5.6670506465845865
175,5764,32.01165408736838,32.88087006375856,14.62991006206203,5.825127522871091
180,5944,32.29856238532531,32.9667037208377,14.976515161966073,5.990084842029202
185,6137,32.64248634774207,33.09700585178514,15.33391992964907,6.159668424561576
190,6316,32.91093831719839,33.1673180418575,15.675500188418017,6.324988397073784
195,6483,33.06197934984811,33.171789106997736,15.991600366692216,6.482744289416325
200,6646,33.05702375465011,33.15605042498341,16.27272448545173,6.629653916545978
