# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,69,1.0873959610412032,6.88988416045949,0.2247882280260021,0.07534606713340447
15,233,3.6229957806046404,15.511176107383024,0.7632091200696638,0.25664562390863943
20,433,6.515549329923838,21.62465744115458,1.4084305207844536,0.47572181754841764
25,759,11.207698935406379,30.329659331002663,2.4628124227131636,0.8343041564525459
30,1124,16.132347421352918,37.433621489694985,3.625383875641902,1.2330050498591705
35,1622,22.80605244279492,46.305722118180114,5.2117047502058895,1.7779731531845064
40,2154,29.473864336102764,53.808872181321895,6.880894451718238,2.356487053552619
45,2818,37.73536599719962,62.57769813576462,8.962154202513636,3.0791639420511583
50,3520,45.880012437463265,70.34964202659002,11.121407869421803,3.8355101243107703
55,4347,55.48427635774429,78.9825191219862,13.681325831494934,4.733926046430474
60,5215,64.86432371474538,86.86052750182857,16.31132618533207,5.665037641353516
65,6208,75.55723799707624,95.44907295851574,19.324292948273918,6.7339266579899455
70,7242,86.01884762453615,103.39353113625653,22.416382411131927,7.8401070525701195
75,8404,97.72283834995058,111.98389903366817,25.887106331153348,9.084202991503
80,9604,109.05071874333628,119.9782014539023,29.41616405383895,10.360187513803425
85,10926,121.51973481434914,128.46377578220046,33.31002236515557,11.77093077898155
90,12291,133.61543697229905,136.48680826244967,37.26844351975288,13.217071497606325
95,13785,146.7269187009335,145.02055143611412,41.571345672726835,14.792596146322172
100,15279,158.8860109353229,152.7034118681894,45.82296136417836,16.366040331406225
105,16773,170.0729158325356,159.65249212023417,50.004304029341,17.9307673965491
110,18259,180.2374362636125,165.89921112074052,54.09008950528944,19.47796139272807
115,19753,189.7171754502035,171.670333669273,58.13478856120911,21.02544794219446
120,21247,198.35900095559865,176.96042918398936,62.096106075826974,22.558821028971327
125,22736,206.38981982940933,181.78978323254606,66.00847731715562,24.08923914777735
130,24227,213.65060094256552,186.2605337626637,69.82973707586959,25.602314274396964
135,25721,220.45877098816402,190.42483354857245,73.61428264008747,27.11587097802726
140,27215,226.7225898124636,194.28958283983977,77.33627516818298,28.621042347466236
145,28709,232.4216168677139,197.89002321210504,80.98352573395955,30.113442717143762
150,30198,237.72893934701492,201.21519047489008,84.58371538727827,31.60200708353181
155,31684,242.4520005799911,204.30845487145572,88.09134204730441,33.07124427308536
160,33178,246.94134674101034,207.25855744478656,91.57074412122488,34.54231393888312
165,34672,251.07174460179368,210.0299134392445,94.99263673729337,36.00523365513697
170,36166,254.87189408380428,212.63841406380675,98.35797044323971,37.46004857380614
175,37653,258.27225368703984,215.05553864984293,101.6478458202076,38.900155414307015
180,39142,261.5126733672468,217.35141168822804,104.90648430473588,40.34004005681547
185,40636,264.4940033950763,219.5506098481797,108.111262232594,41.771947519549016
190,42130,267.1570038499767,221.6339360433021,111.24654129430165,43.19038184530099
195,43620,269.6230736617373,223.5888254086039,114.33330446049145,44.60206585969225
200,45114,271.9559318864302,225.46698189933772,117.38227075608984,46.010361051670806
205,46607,274.08627394910684,227.24678149843123,120.37753636223941,47.409746043832804
