# time,value
5,0
10,0
15,0
20,0
25,41
30,100
35,157
40,216
45,272
50,331
55,390
60,449
65,511
70,573
75,635
80,697
85,758
90,820
95,885
100,945
105,1009
110,1072
115,1137
120,1201
125,1260
130,1324
135,1386
140,1451
145,1512
150,1575
155,1636
160,1698
165,1760
170,1823
175,1889
180,1951
185,2013
190,2075
195,2139
200,2202
205,2266
210,2329
215,2393
220,2457
225,2520
230,2585
235,2649
240,2711
245,2776
250,2840
255,2906
260,2972
265,3038
270,3098
275,3163
280,3231
285,3297
290,3361
295,3423
300,3488
305,3551
310,3613
315,3679
320,3742
325,3809
330,3873
335,3938
340,4003
345,4067
350,4135
355,4201
360,4256
365,4302
370,4356
375,4424
380,4492
385,4560
390,4627
395,4694
400,4764
405,4833
410,4903
415,4971
420,5039
425,5101
430,5166
435,5234
440,5302
445,5369
450,5433
455,5498
460,5564
465,5631
470,5696
475,5763
480,5829
485,5894
490,5960
495,6027
500,6095
505,6162
510,6227
515,6294
520,6361
525,6425
530,6492
535,6559
540,6627
545,6693
550,6759
555,6825
560,6894
565,6958
570,7029
575,7097
580,7164
585,7226
590,7294
595,7361
600,7422
605,7489
610,7556
615,7620
620,7686
625,7749
630,7816
635,7881
640,7946
645,8013
650,8078
655,8146
660,8212
665,8276
670,8343
675,8412
680,8477
685,8543
690,8611
695,8679
700,8744
705,8811
710,8877
715,8947
720,9013
725,9080
730,9148
735,9213
740,9279
745,9345
750,9413
755,9479
760,9545
765,9611
770,9675
775,9742
780,9809
785,9877
790,9945
795,10013
800,10081
805,10147
810,10213
815,10279
820,10344
825,10409
830,10472
835,10539
840,10603
845,10665
850,10733
855,10797
860,10863
865,10931
870,10999
875,11067
880,11133
885,11198
890,11267
895,11336
900,11401
905,11465
910,11533
915,11600
920,11667
925,11734
930,11800
935,11865
940,11931
945,11996
950,12062
956,12191
961,12257
966,12323
971,12388
976,12454
981,12521
986,12588
991,12654
996,12722
1001,12788
1006,12853
1011,12919
1016,12986
1021,13053
1026,13120
1031,13187
1036,13253
1041,13320
1046,13389
1051,13454
1056,13520
1061,13587
1066,13648
1071,13717
1076,13779
1081,13845
1086,13912
1091,13979
1096,14044
1101,14110
1106,14176
1111,14244
1116,14308
1121,14370
1126,14435
1131,14501
1136,14569
1141,14635
1146,14702
1151,14767
1156,14835
1161,14902
1166,14969
1171,15034
1176,15101
1181,15166
1186,15231
1191,15299
1196,15362
1201,15421
1206,15487
1211,15554
1216,15617
1221,15685
1226,15751
1231,15818
1236,15885
1241,15953
1246,16019
1251,16083
1256,16147
1261,16209
1266,16276
1271,16343
1276,16410
1281,16476
1286,16543
1291,16611
1296,16674
1301,16742
1306,16808
1311,16871
1316,16938
1321,17004
1326,17070
1331,17130
1336,17199
1341,17265
1346,17333
1351,17400
1356,17466
1361,17534
1366,17600
1371,17664
1376,17732
1381,17800
1386,17866
1391,17931
1396,17996
1401,18062
1406,18130
1411,18196
1416,18263
1421,18330
1426,18399
1431,18466
1436,18533
1441,18600
1446,18665
1451,18729
1456,18795
1461,18864
1466,18921
1471,18988
1476,19054
1481,19122
1486,19190
1491,19259
1496,19325
1501,19391
1506,19458
1511,19524
1516,19592
1521,19658
1526,19726
1531,19792
1536,19858
1541,19924
1546,19992
1551,20056
1556,20123
1561,20187
1566,20253
1571,20317
1576,20381
1581,20448
1586,20515
1591,20584
1596,20646
1601,20711
1606,20767
1611,20834
1616,20902
1621,20970
1626,21037
1631,21102
1636,21168
1641,21234
1646,21303
1651,21371
1656,21439
1661,21506
1666,21572
1671,21635
1676,21702
1681,21762
1686,21814
1691,21875
1696,21937
1701,21998
1706,22059
