# time,value
5,0
10,0
15,0
20,0
25,357
30,820
35,1259
40,1704
45,2138
50,2573
55,2993
60,3436
65,3909
70,4359
75,4843
80,5311
85,5766
90,6204
95,6651
100,7076
105,7504
110,7928
115,8365
120,8797
125,9194
130,9639
135,10089
140,10547
145,10966
150,11407
155,11832
160,12281
165,12731
170,13188
175,13646
180,14066
185,14476
190,14864
195,15301
200,15727
205,16141
210,16554
215,16978
220,17407
225,17823
230,18281
235,18687
240,19105
245,19528
250,19959
255,20400
260,20859
265,21315
270,21660
275,22118
280,22535
285,22970
290,23385
295,23755
300,24174
305,24527
310,24915
315,25355
320,25726
325,26174
330,26624
335,27046
340,27487
345,27894
350,28374
355,28818
360,29253
365,29660
370,30029
375,30472
380,30905
385,31359
390,31819
395,32280
400,32765
405,33242
410,33689
415,34141
420,34583
425,34996
430,35452
435,35910
440,36422
445,36940
450,37409
455,37876
460,38356
465,38808
470,39265
475,39728
480,40202
485,40579
490,41055
495,41565
500,42056
505,42518
510,42955
515,43422
520,43900
525,44366
530,44833
535,45274
540,45758
545,46217
550,46681
555,47105
560,47579
565,47962
570,48407
575,48874
580,49325
585,49706
590,50179
595,50595
600,50994
605,51462
610,51975
615,52423
620,52912
625,53379
630,53849
635,54304
640,54749
645,55248
650,55687
655,56149
660,56620
665,57022
670,57478
675,57954
680,58369
685,58836
690,59309
695,59761
700,60211
705,60643
710,61047
715,61505
720,61926
725,62365
730,62856
735,63298
740,63723
745,64184
750,64667
755,65127
760,65586
765,66029
770,66441
775,66868
780,67318
785,67800
790,68271
795,68735
800,69187
805,69627
810,70050
815,70487
820,70949
825,71374
830,71799
835,72263
840,72653
845,73103
850,73582
855,73992
860,74486
865,74985
870,75482
875,75979
880,76468
885,76930
890,77420
895,77920
900,78339
905,78771
910,79279
915,79748
920,80258
925,80759
930,81195
935,81604
940,82073
945,82531
950,83026
956,83963
961,84437
966,84925
971,85434
976,85938
981,86433
986,86958
991,87434
996,87893
1001,88368
1006,88817
1011,89277
1016,89769
1021,90254
1026,90751
1031,91230
1036,91717
1041,92200
1046,92682
1051,93121
1056,93551
1061,93996
1066,94377
1071,94861
1076,95286
1081,95738
1086,96213
1091,96713
1096,97168
1101,97672
1106,98182
1111,98733
1116,99186
1121,99586
1126,100040
1131,100590
1136,101090
1141,101588
1146,102040
1151,102516
1156,103008
1161,103469
1166,103946
1171,104386
1176,104851
1181,105297
1186,105732
1191,106184
1196,106598
1201,107009
1206,107444
1211,107929
1216,108352
1221,108825
1226,109317
1231,109779
1236,110247
1241,110710
1246,111170
1251,111616
1256,112073
1261,112471
1266,112952
1271,113443
1276,113935
1281,114435
1286,114922
1291,115427
1296,115821
1301,116338
1306,116820
1311,117270
1316,117777
1321,118202
1326,118669
1331,119089
1336,119585
1341,120053
1346,120538
1351,121030
1356,121481
1361,121962
1366,122428
1371,122874
1376,123352
1381,123865
1386,124281
1391,124714
1396,125134
1401,125596
1406,126085
1411,126574
1416,127014
1421,127493
1426,127991
1431,128490
1436,128986
1441,129456
1446,129920
1451,130358
1456,130807
1461,131235
1466,131618
1471,132053
1476,132524
1481,132975
1486,133410
1491,133849
1496,134269
1501,134705
1506,135140
1511,135580
1516,136028
1521,136421
1526,136874
1531,137298
1536,137735
1541,138243
1546,138762
1551,139233
1556,139751
1561,140239
1566,140701
1571,141169
1576,141634
1581,142111
1586,142608
1591,143133
1596,143546
1601,143995
1606,144406
1611,144914
1616,145400
1621,145901
1626,146406
1631,146839
1636,147296
1641,147803
1646,148306
1651,148811
1656,149307
1661,149772
1666,150234
1671,150652
1676,151147
1681,151576
1686,151982
1691,152458
1696,152908
1701,153318
1706,153787
