# time,value
20,0
25,86
30,142
35,265
40,431
45,633
50,842
55,1131
60,1412
65,1825
70,2142
75,2628
80,3032
85,3480
90,3933
95,4380
100,4845
105,5290
110,5725
115,6151
120,6599
125,7070
130,7460
135,7901
140,8361
145,8810
150,9231
155,9695
160,10129
165,10573
170,11037
175,11455
180,11900
185,12341
190,12788
195,13256
200,13726
205,14211
210,14637
215,15106
220,15566
225,16035
230,16542
235,16967
240,17436
245,17858
250,18288
255,18708
260,19182
265,19604
270,20065
275,20507
280,20989
285,21441
290,21893
295,22359
300,22838
305,23328
310,23758
315,24188
320,24624
325,25073
330,25454
335,25906
340,26373
345,26776
350,27221
355,27680
360,28120
365,28578
370,29044
375,29504
380,29950
385,30392
390,30857
395,31247
400,31704
405,32156
410,32570
415,32975
420,33412
425,33866
430,34259
435,34697
440,35160
445,35628
450,36084
455,36504
460,36984
465,37490
470,38019
475,38491
480,38971
485,39407
490,39911
495,40402
500,40876
505,41361
510,41836
515,42335
520,42824
525,43274
530,43711
535,44157
540,44589
545,45020
550,45503
555,46002
560,46456
565,46931
570,47411
575,47815
580,48272
585,48740
590,49188
595,49605
600,50065
605,50538
610,50998
615,51483
620,51947
625,52368
630,52819
635,53277
640,53723
645,54208
650,54646
655,55136
660,55560
665,55971
670,56425
675,56859
680,57328
685,57762
690,58193
695,58642
700,59065
705,59473
710,59924
715,60361
720,60779
725,61235
730,61671
735,62105
740,62534
745,62955
750,63377
755,63835
760,64278
765,64701
770,65138
775,65580
780,65972
785,66385
790,66859
795,67301
800,67759
805,68231
810,68692
815,69132
820,69550
825,69991
830,70427
835,70902
840,71393
845,71829
850,72314
855,72749
860,73179
865,73648
870,74130
875,74576
880,75056
885,75556
890,76029
895,76512
900,76988
905,77487
910,77961
915,78434
920,78883
925,79310
930,79799
935,80250
940,80696
945,81171
950,81614
955,82086
960,82580
965,83051
970,83507
975,83979
980,84482
985,84929
990,85407
995,85917
1000,86387
1005,86872
1010,87380
1015,87843
1020,88322
1025,88784
1030,89191
1035,89624
1040,90062
1045,90550
1050,91026
1055,91458
1060,91924
1065,92377
1070,92814
1075,93278
1080,93700
1085,94160
1090,94618
1095,95056
1100,95498
1105,95905
1110,96339
1115,96772
1120,97231
1125,97681
1130,98148
1135,98614
1140,99131
1145,99635
1150,100145
1155,100638
1160,101125
1165,101651
1170,102110
1175,102560
1180,103012
1185,103450
1190,103889
1195,104344
1200,104711
1205,105156
1210,105595
1215,106064
1220,106500
1225,106940
1230,107368
1235,107789
1240,108227
1245,108669
1250,109074
1255,109472
1260,109920
1265,110376
1270,110795
1275,111242
1280,111695
1285,112121
1290,112568
1295,113059
1300,113512
1305,113946
1310,114417
1315,114815
1320,115282
1325,115743
1330,116196
1335,116608
1340,117099
1345,117573
1350,118043
1355,118546
1360,119039
1365,119530
1370,119994
1375,120454
1380,120885
1385,121334
1390,121817
1395,122294
1400,122779
1405,123281
1410,123750
1415,124208
1420,124695
1425,125134
1430,125610
1435,126080
1440,126541
1445,126996
1450,127498
1455,127989
1460,128465
1465,128891
1470,129356
1475,129800
1480,130235
1485,130644
1490,131116
1495,131578
1500,132022
1505,132456
1510,132893
1515,133354
1520,133787
1525,134199
1530,134631
1535,135073
1540,135512
1545,135920
1550,136324
1555,136713
1560,137091
1565,137564
1570,138011
1575,138421
1580,138968
1585,139484
1590,139926
1595,140451
1600,140931
1605,141412
1610,141895
1615,142313
1620,142839
1625,143343
1630,143839
1635,144314
1640,144807
1645,145325
1650,145788
1655,146294
1660,146776
1665,147265
1670,147668
1675,148062
1680,148485
1685,148890
1690,149250
1695,149658
1700,150026
1705,150432
1710,150823
1715,151203
1720,151578
1725,151980
1730,152395
1735,152787
1740,153195
1745,153578
1750,153988
1755,154391
1760,154792
1765,155204
1770,155604
1775,156008
1780,156425
1785,156845
1790,157169
1795,157473
1800,157817
1805,158120
1810,158441
1815,158725
1820,159027
1825,159369
1830,159662
1835,159963
1840,160263
1845,160562
1850,160847
1855,161163
1860,161483
1865,161780
1870,162075
1875,162360
1880,162689
1885,162961
1890,163249
1895,163575
1900,163878
1905,164210
1910,164493
1915,164835
1920,165162
1925,165474
1930,165791
1935,166095
1940,166376
1945,166668
1950,166959
1955,167242
1960,167518
1965,167809
1970,168115
1975,168412
1980,168676
1985,168961
1990,169243
1995,169536
2000,169835
2005,170127
2010,170422
2015,170739
2020,171053
2025,171313
2030,171636
2035,171931
2040,172233
2045,172514
2050,172796
2055,173102
2060,173401
2065,173690
2070,173983
2075,174264
2080,174532
2085,174781
2090,175092
2095,175396
2100,175673
2105,175948
2110,176265
2115,176563
2120,176881
2125,177258
2130,177586
2135,177925
2140,178257
2145,178633
2150,178986
2155,179332
2160,179648
2165,180026
2170,180363
2175,180738
2180,181080
2185,181457
2190,181801
2195,182154
2200,182514
2205,182882
2210,183234
2215,183552
2220,183946
2225,184315
2230,184666
2235,184987
2240,185350
2245,185612
2250,185910
2255,186221
2260,186515
2265,186831
2270,187143
2275,187528
2280,187855
2285,188229
2290,188603
2295,188979
2300,189316
2305,189640
2310,189981
2315,190322
2320,190644
2325,191002
2330,191343
2335,191687
2340,192026
2345,192366
2350,192718
2355,193078
2360,193399
2365,193754
2370,194063
2375,194417
2380,194780
2385,195146
2390,195477
2395,195842
2400,196179
2405,196553
2410,196901
2415,197235
2420,197551
2425,197888
2430,198226
2435,198586
2440,198917
2445,199240
2450,199583
2455,199895
2460,200280
2465,200643
2470,200999
2475,201352
2480,201698
2485,202035
2490,202403
2495,202720
2500,203066
2505,203396
2510,203712
2515,204023
2520,204360
2525,204684
2530,205025
2535,205327
2540,205684
2545,206048
2550,206387
2555,206709
2560,207032
2565,207375
2570,207710
2575,208057
2580,208415
2585,208730
2590,209079
2595,209424
2600,209777
2605,210136
2610,210449
2615,210801
2620,211087
2625,211342
2630,211629
2635,211870
2640,212096
2645,212319
2650,212553
2655,212790
2660,213044
2665,213277
2670,213513
2675,213798
2680,214042
2685,214320
2690,214575
2695,214844
2700,215065
2705,215290
2710,215538
2715,215753
2720,216009
2725,216247
2730,216477
2735,216713
2740,216961
2746,217160
2751,217404
2756,217614
2761,217854
2766,218062
2771,218288
2776,218505
2781,218744
2786,218966
2791,219186
2796,219406
2801,219652
2806,219893
2811,220110
2816,220353
2821,220588
2826,220818
2831,221029
2836,221228
2841,221482
2846,221754
2851,222024
2856,222257
2861,222487
2866,222723
2871,222971
2876,223221
2881,223462
2886,223693
2891,223909
2896,224130
2901,224352
2906,224595
2911,224833
2916,225062
2921,225288
2926,225509
2931,225707
2936,225939
2941,226187
2946,226398
2951,226622
2956,226850
2961,227053
2966,227259
2971,227474
2976,227707
2981,227925
2986,228133
2991,228365
2996,228584
3001,228840
3006,229076
3011,229311
3016,229537
3021,229771
3026,230029
3031,230231
3036,230446
3041,230635
3046,230859
3051,231089
3056,231344
3061,231594
3066,231827
3071,232044
3076,232262
3081,232478
3086,232699
3091,232920
3096,233124
3101,233347
3106,233584
3111,233823
3116,234052
3121,234283
3126,234532
3131,234777
3136,235005
3141,235229
3146,235483
3151,235745
3156,235978
3161,236213
3166,236454
3171,236709
3176,236959
3181,237190
3186,237437
3191,237663
3196,237884
3201,238122
3206,238350
3211,238567
3216,238805
3221,239034
3226,239273
3231,239502
3236,239735
3241,239976
3246,240222
3251,240449
3256,240682
3261,240891
3266,241129
3271,241381
3276,241609
3281,241864
3286,242082
3291,242288
3296,242524
3301,242779
3306,243022
3311,243250
3316,243469
3321,243721
3326,243975
3331,244182
3336,244392
3341,244647
3346,244910
3351,245151
3356,245370
3361,245595
3366,245820
3371,246078
3376,246293
3381,246547
3386,246792
3391,247044
3396,247290
3401,247532
3406,247781
3411,248009
3416,248224
3421,248441
3426,248666
3431,248893
3436,249141
3441,249371
3446,249616
3451,249869
3456,250117
3461,250370
3466,250611
3471,250813
3476,251046
3481,251259
3486,251480
3491,251696
3496,251909
3501,252119
3506,252311
3511,252515
3516,252740
3521,252941
3526,253150
3531,253414
3536,253656
3541,253893
3546,254140
3551,254357
3556,254590
3561,254826
3566,255061
3571,255292
3576,255526
3581,255740
3586,255970
3591,256207
3596,256444
3601,256676
3606,256920
3611,257150
3616,257384
3621,257607
3626,257844
3631,258069
3636,258317
3641,258525
3646,258734
3651,258960
3656,259198
3661,259431
3666,259666
3671,259873
3676,260089
3681,260311
3686,260554
3691,260821
3696,261062
3701,261273
3706,261513
3711,261750
3716,262000
3721,262247
3726,262508
3731,262757
3736,262980
3741,263204
3746,263453
3751,263709
3756,263978
3761,264238
3766,264450
3771,264695
3776,264947
3781,265196
3786,265458
3791,265696
3796,265955
3801,266204
3806,266485
3811,266753
3816,267013
3821,267273
3826,267510
3831,267745
3836,268003
3841,268264
3846,268512
3851,268774
3856,269022
3861,269255
3866,269499
3871,269740
3876,269988
3881,270257
3886,270511
3891,270748
3896,270968
3901,271219
3906,271469
3911,271720
3916,271950
3921,272161
3926,272396
3931,272636
3936,272878
3941,273122
3946,273331
3951,273561
3956,273783
3961,274013
3966,274239
3971,274487
3976,274725
3981,274988
3986,275206
3991,275446
3996,275677
4001,275868
4006,276118
4011,276340
4016,276572
4021,276786
4026,276994
4031,277234
4036,277460
4041,277696
4046,277959
4051,278221
4056,278460
4061,278695
4066,278918
4071,279165
4076,279405
4081,279686
4086,279949
4091,280178
4096,280409
4101,280647
4106,280863
4111,281071
4116,281307
4121,281539
4126,281773
4131,282004
4136,282232
4141,282484
4146,282711
4151,282939
4156,283153
4161,283362
4166,283565
4171,283765
4176,283971
4181,284188
4186,284436
4191,284657
4196,284891
4201,285098
4206,285335
4211,285571
4216,285828
