# time,value
5,0
10,0
15,0
20,0
25,0
30,1499
35,3463
40,5431
45,7400
50,9375
55,11348
60,13324
65,15296
70,17272
75,19248
80,21224
85,23196
90,25172
95,27145
100,29120
105,31096
110,33072
115,35046
120,37020
125,38992
130,40966
135,42940
140,44914
145,46888
150,48864
155,50839
160,52815
165,54795
170,56770
175,58752
180,60730
185,62708
190,64688
195,66664
200,68644
205,70620
210,72600
215,74576
220,76552
225,78532
230,80512
235,82484
240,84468
245,86448
250,88424
255,90401
260,92380
265,94360
270,96340
275,98313
280,100298
285,102279
290,104258
295,106236
300,108216
305,110196
310,112176
315,114156
320,116134
325,118102
330,120092
335,122072
340,124052
345,126030
350,128009
355,129991
360,131972
365,133950
370,135928
375,137908
380,139888
385,141868
390,143848
395,145828
400,147804
405,149784
410,151764
415,153740
420,155720
425,157700
430,159680
435,161660
440,163640
445,165620
450,167600
455,169580
460,171561
465,173540
470,175522
475,177500
480,179478
485,181459
490,183437
495,185416
500,187396
505,189376
510,191355
515,193333
520,195314
525,197291
530,199272
535,201252
540,203232
545,205210
550,207192
555,209172
560,211152
565,213131
570,215109
575,217092
580,219072
585,221050
590,223028
595,225002
600,226988
605,228968
610,230946
615,232927
620,234908
625,236888
630,238868
635,240846
640,242828
645,244659
650,246636
655,248616
660,250595
665,252576
670,254556
675,256536
680,258516
685,260496
690,262476
695,264456
700,266436
705,268416
710,270396
715,272373
720,274354
725,276335
730,278313
735,280292
740,282272
745,284252
750,286232
755,288212
760,290192
765,292172
770,294142
