# time,value
5,0
10,0
15,0
20,0
25,357
30,463
35,439
40,445
45,434
50,435
55,420
60,443
65,473
70,450
75,484
80,468
85,455
90,438
95,447
100,425
105,428
110,424
115,437
120,432
125,397
130,445
135,450
140,458
145,419
150,441
155,425
160,449
165,450
170,457
175,458
180,420
185,410
190,388
195,437
200,426
205,414
210,413
215,424
220,429
225,416
230,458
235,406
240,418
245,423
250,431
255,441
260,459
265,456
270,345
275,458
280,417
285,435
290,415
295,370
300,419
305,353
310,388
315,440
320,371
325,448
330,450
335,422
340,441
345,407
350,480
355,444
360,435
365,407
370,369
375,443
380,433
385,454
390,460
395,461
400,485
405,477
410,447
415,452
420,442
425,413
430,456
435,458
440,512
445,518
450,469
455,467
460,480
465,452
470,457
475,463
480,474
485,377
490,476
495,510
500,491
505,462
510,437
515,467
520,478
525,466
530,467
535,441
540,484
545,459
550,464
555,424
560,474
565,383
570,445
575,467
580,451
585,381
590,473
595,416
600,399
605,468
610,513
615,448
620,489
625,467
630,470
635,455
640,445
645,499
650,439
655,462
660,471
665,402
670,456
675,476
680,415
685,467
690,473
695,452
700,450
705,432
710,404
715,458
720,421
725,439
730,491
735,442
740,425
745,461
750,483
755,460
760,459
765,443
770,412
775,427
780,450
785,482
790,471
795,464
800,452
805,440
810,423
815,437
820,462
825,425
830,425
835,464
840,390
845,450
850,479
855,410
860,494
865,499
870,497
875,497
880,489
885,462
890,490
895,500
900,419
905,432
910,508
915,469
920,510
925,501
930,436
935,409
940,469
945,458
950,495
956,462
961,474
966,488
971,509
976,504
981,495
986,525
991,476
996,459
1001,475
1006,449
1011,460
1016,492
1021,485
1026,497
1031,479
1036,487
1041,483
1046,482
1051,439
1056,430
1061,445
1066,381
1071,484
1076,425
1081,452
1086,475
1091,500
1096,455
1101,504
1106,510
1111,551
1116,453
1121,400
1126,454
1131,550
1136,500
1141,498
1146,452
1151,476
1156,492
1161,461
1166,477
1171,440
1176,465
1181,446
1186,435
1191,452
1196,414
1201,411
1206,435
1211,485
1216,423
1221,473
1226,492
1231,462
1236,468
1241,463
1246,460
1251,446
1256,457
1261,398
1266,481
1271,491
1276,492
1281,500
1286,487
1291,505
1296,394
1301,517
1306,482
1311,450
1316,507
1321,425
1326,467
1331,420
1336,496
1341,468
1346,485
1351,492
1356,451
1361,481
1366,466
1371,446
1376,478
1381,513
1386,416
1391,433
1396,420
1401,462
1406,489
1411,489
1416,440
1421,479
1426,498
1431,499
1436,496
1441,470
1446,464
1451,438
1456,449
1461,428
1466,383
1471,435
1476,471
1481,451
1486,435
1491,439
1496,420
1501,436
1506,435
1511,440
1516,448
1521,393
1526,453
1531,424
1536,437
1541,508
1546,519
1551,471
1556,518
1561,488
1566,462
1571,468
1576,465
1581,477
1586,497
1591,525
1596,413
1601,449
1606,411
1611,508
1616,486
1621,501
1626,505
1631,433
1636,457
1641,507
1646,503
1651,505
1656,496
1661,465
1666,462
1671,418
1676,495
1681,429
1686,406
1691,476
1696,450
1701,411
1706,468
