# time,value
10,0
15,0
20,1
25,0
30,1
35,0
40,151
45,145
50,-8
55,-11
60,145
65,159
70,-3
75,-8
80,162
85,129
90,-37
95,-37
100,106
105,124
110,-194
115,-173
120,-201
125,-179
130,-185
135,-187
140,-132
145,-24
150,-21
155,-24
160,-50
165,-30
170,-41
175,-35
180,-29
185,-31
190,-5
195,-30
200,-29
205,-36
210,-6
215,-10
220,-75
225,-143
230,-139
235,-9
240,-13
245,-25
250,-14
255,-20
260,-20
265,-9
270,-8
275,-6
280,-4
285,-7
290,-16
295,-17
300,-9
305,-14
310,-3
315,-25
320,-6
325,-22
330,-21
335,-12
340,-6
345,-19
350,-29
355,-7
360,-12
365,-22
370,-3
375,-1
380,-10
385,-20
390,-14
395,-31
400,-10
405,-16
410,-11
415,-7
420,-13
425,-14
430,-12
435,-20
440,-25
445,-11
450,-26
455,-24
460,-4
465,-12
470,-30
475,-18
480,-13
485,-17
490,-14
495,-15
500,-22
505,-27
510,-18
515,-12
520,-18
525,-22
530,-34
535,-29
540,-5
545,-51
550,-29
555,-36
560,-7
565,-41
570,-11
575,-23
580,-22
585,-14
590,-6
595,-7
600,-14
605,-7
610,-26
615,-20
620,-16
625,-7
630,-7
635,-27
640,-18
645,-30
650,-16
655,-36
660,-11
665,-22
670,-27
675,-17
680,-11
685,-20
690,-16
695,-12
700,-9
705,-18
710,-20
715,-22
720,-21
725,-17
730,-18
735,-4
740,-20
745,-14
750,-13
755,-13
760,-12
765,-24
770,-17
775,-8
780,-11
785,-25
790,-7
795,-23
800,-23
805,-14
810,-20
815,-17
820,-20
825,-10
830,-25
835,-14
840,-13
845,-23
850,-19
855,-13
860,-12
865,-29
870,-18
875,-20
880,-13
885,-22
890,-41
895,-30
900,-15
905,-30
