# time,value
10,0
15,1460
20,1209
25,1208
30,1211
35,1216
40,1213
45,1214
50,1211
55,1213
60,1209
65,1214
70,1213
75,1210
80,1214
85,1209
90,1215
95,1210
100,1213
105,1212
110,1209
115,1215
120,1210
125,1214
130,1209
135,1213
140,1210
145,1211
150,1213
155,1212
160,1214
165,1211
170,1213
175,1209
180,1215
185,1209
190,1216
195,1211
200,1214
205,1212
210,1210
215,1214
220,1209
225,1214
230,1208
235,1213
240,1210
245,1211
250,1211
255,1211
260,1213
265,1213
270,1216
275,1213
280,1215
285,1216
290,1215
295,1214
300,1215
305,1216
310,1213
315,1218
320,1211
325,1218
330,1213
335,1216
340,1216
345,1213
350,1218
355,1213
360,1217
365,1214
370,1215
375,1215
380,1215
385,1217
390,1214
395,1216
400,1213
405,1216
410,1214
415,1216
420,1214
425,1217
430,1217
435,1216
440,1216
445,1213
450,1217
455,1212
460,1218
465,1210
470,1216
475,1216
480,1217
485,1216
490,1215
495,1216
500,1216
505,1217
510,1212
515,1218
520,1213
525,1216
530,1215
535,1214
540,1216
545,1214
550,1219
555,1215
560,1218
565,1215
570,1215
575,1218
580,1213
585,1219
590,1213
595,1218
600,1213
605,1216
610,1214
615,1215
620,1214
625,1215
630,1216
635,1214
640,1217
645,1212
650,1218
655,1213
660,1218
665,1215
670,1215
675,1216
680,1213
685,1217
690,1212
695,1218
700,1215
705,1216
710,1216
715,1215
720,1217
725,1215
730,1218
735,1212
740,1218
745,1215
750,1217
755,1214
760,1215
765,1215
770,1213
775,1217
780,1213
785,1217
790,1214
795,1216
800,1217
805,1214
810,1216
815,1214
820,1216
825,1213
830,1218
835,1214
840,1216
845,1215
850,1216
855,1215
860,1215
865,1217
870,1211
875,1218
880,1214
885,1217
890,1214
895,1215
900,1217
905,1215
