# time,value
5,0
10,0
15,0
20,0
25,1690
30,1940
35,1932
40,1960
45,1956
50,1972
55,1972
60,1972
65,1980
70,1980
75,1976
80,1936
85,2024
90,1980
95,1976
100,1980
105,1980
110,1980
115,1976
120,1980
125,1976
130,1980
135,1976
140,1980
145,1980
150,1980
155,1976
160,1980
165,1980
170,1980
175,1980
180,1976
185,1980
190,1980
195,1980
200,1980
205,1980
210,1980
215,1980
220,1980
225,1980
230,1980
235,1980
240,1980
245,1980
250,1980
255,1980
260,1980
265,1976
270,1984
275,1976
280,1980
285,1980
290,1980
295,1980
300,1916
305,1980
310,1980
315,1980
320,1980
325,1980
330,1976
335,1984
340,1980
345,1980
350,1978
355,1978
360,1976
365,1972
370,1972
375,1980
380,1980
385,1980
390,1980
395,1980
400,1976
405,1980
410,1980
415,1980
420,1980
425,1976
430,1980
435,1980
440,1980
445,1980
450,1980
455,1976
460,1980
465,1980
470,1980
475,1980
480,1980
485,1976
490,1980
495,1980
500,1980
505,1980
510,1980
515,1976
520,1980
525,1980
530,1980
535,1980
540,1980
545,1980
550,1976
555,1980
560,1980
565,1980
570,1980
575,1972
580,1984
585,1980
590,1980
595,1980
600,1976
605,1980
610,1976
615,1980
620,1980
625,1980
630,1980
635,1976
640,1980
645,1980
650,1980
655,1980
660,1976
665,1980
670,1980
675,1980
680,1980
685,1980
690,1976
695,1980
700,1972
705,1980
710,1980
715,1976
720,1976
725,1984
730,1980
735,1976
740,1980
745,1980
750,1980
755,1980
760,1980
765,1976
770,1980
775,1980
780,1980
785,1980
790,1976
795,1980
800,1980
805,1980
810,1977
815,1979
820,1980
825,1980
830,1980
835,1980
840,1980
845,1980
850,1980
855,1976
860,1980
865,1980
870,1976
875,1980
880,1980
885,1980
890,1980
895,1976
900,1984
905,1976
910,1976
915,1980
920,1980
925,1980
930,1976
935,1980
940,1980
945,1980
950,1980
956,1856
961,2104
966,1980
971,1980
976,1980
981,1980
986,1980
991,1976
996,1980
1001,1980
1006,1980
1011,1976
1016,1980
1021,1980
1026,1980
1031,1976
1036,1980
1041,1980
1046,1980
1051,1976
1056,1976
1061,1984
1066,1980
1071,1980
1076,1980
1081,1976
1086,1980
1091,1980
1096,1980
1101,1980
1106,1976
1111,1976
1116,1980
1121,1980
1126,1976
1131,1980
1136,1980
1141,1980
1146,1980
1151,1976
1156,1980
1161,1980
1166,1976
1171,1980
1176,1980
1181,1980
1186,1980
1191,1976
1196,1980
1201,1980
1206,1980
1211,1980
1216,1976
1221,1980
1226,1980
1231,1980
1236,1980
1241,1980
1246,1976
1251,1980
1256,1980
1261,1980
1266,1976
1271,1980
1276,1980
1281,1980
1286,1976
1291,1980
1296,1980
1301,1980
1306,1976
1311,1980
1316,1980
1321,1980
1326,1980
1331,1980
1336,1976
1341,1980
1346,1976
1351,1984
1356,1976
1361,1980
1366,1980
1371,1976
1376,1980
1381,1980
1386,1980
1391,1980
1396,1976
1401,1980
1406,1980
1411,1980
1416,1980
1421,1976
1426,1980
1431,1980
1436,1980
1441,1980
1446,1976
1451,1980
1456,1980
1461,1980
1466,1980
1471,1980
1476,1972
1481,1984
1486,1980
1491,1980
1496,1976
1501,1980
1506,1980
1511,1980
1516,1976
1521,1980
1526,1980
1531,1980
1536,1976
1541,1980
1546,1980
1551,1980
1556,1976
1561,1980
1566,1980
1571,1980
1576,1976
1581,1980
1586,1980
1591,1976
1596,1980
1601,1980
1606,1980
1611,1980
1616,1976
1621,1980
1626,1980
1631,1976
1636,1980
1641,1980
1646,1980
1651,1980
1656,1976
1661,1980
1666,1976
1671,1980
1676,1980
1681,1976
1686,1968
1691,1976
1696,1976
1701,1980
1706,1976
