# time,value
5,0
10,0
15,0
20,0
25,0
30,1253
35,2208
40,1968
45,1971
50,1973
55,1975
60,1975
65,1973
70,1973
75,1979
80,1976
85,1971
90,1977
95,1972
100,1976
105,1976
110,1974
115,1974
120,1974
125,1974
130,1972
135,1976
140,1972
145,1976
150,1976
155,1974
160,1975
165,1980
170,1977
175,1981
180,1977
185,1980
190,1980
195,1976
200,1979
205,1977
210,1978
215,1978
220,1974
225,1982
230,1979
235,1969
240,1988
245,1977
250,1979
255,1976
260,1980
265,1980
270,1980
275,1963
280,1993
285,1980
290,1980
295,1978
300,1982
305,1980
310,1979
315,1981
320,1976
325,1968
330,1992
335,1980
340,1980
345,1977
350,1980
355,1980
360,1980
365,1980
370,1979
375,1980
380,1980
385,1979
390,1981
395,1978
400,1978
405,1980
410,1978
415,1978
420,1980
425,1980
430,1980
435,1980
440,1980
445,1980
450,1980
455,1980
460,1980
465,1979
470,1979
475,1982
480,1978
485,1979
490,1979
495,1980
500,1980
505,1979
510,1978
515,1979
520,1981
525,1977
530,1982
535,1980
540,1977
545,1979
550,1984
555,1980
560,1979
565,1978
570,1979
575,1984
580,1980
585,1976
590,1979
595,1973
600,1988
605,1980
610,1978
615,1980
620,1981
625,1981
630,1978
635,1979
640,1982
645,1830
650,1979
655,1980
660,1978
665,1982
670,1980
675,1979
680,1981
685,1980
690,1980
695,1980
700,1980
705,1980
710,1980
715,1976
720,1981
725,1980
730,1979
735,1980
740,1978
745,1982
750,1979
755,1980
760,1979
765,1981
770,1970
