# time,value
10,0
15,573
20,480
25,490
30,492
35,985
40,984
45,1478
50,1476
55,1479
60,1481
65,1472
70,1482
75,1479
80,1482
85,1476
90,1472
95,1476
100,1476
105,1472
110,1980
115,1980
120,1980
125,1980
130,1980
135,1980
140,1980
145,1980
150,1980
155,1980
160,1980
165,1980
170,1980
175,1980
180,1980
185,1980
190,1980
195,1980
200,1980
205,1980
210,1980
215,1980
220,1980
225,1980
230,1980
235,1980
240,1980
245,1980
250,1980
255,1980
260,1980
265,1980
270,1980
275,1980
280,1980
285,1980
290,1980
295,1980
300,1980
305,1980
310,1980
315,1980
320,1980
325,1980
330,1980
335,1980
340,1980
345,1980
350,1980
355,1980
360,1980
365,1980
370,1980
375,1980
380,1980
385,1980
390,1980
395,1980
400,1980
405,1980
410,1980
415,1980
420,1980
425,1980
430,1980
435,1980
440,1980
445,1980
450,1980
455,1980
460,1980
465,1980
470,1980
475,1980
480,1980
485,1980
490,1980
495,1980
500,1980
505,1980
510,1980
515,1980
520,1980
525,1980
530,1980
535,1980
540,1980
545,1980
550,1980
555,1980
560,1980
565,1980
570,1980
575,1980
580,1980
585,1980
590,1980
595,1980
600,1980
605,1980
610,1980
615,1980
620,1980
625,1980
630,1980
635,1980
640,1980
645,1980
650,1980
655,1980
660,1980
665,1980
670,1980
675,1980
680,1980
685,1980
690,1980
695,1980
700,1980
705,1980
710,1980
715,1980
720,1980
725,1980
730,1980
735,1980
740,1980
745,1980
750,1980
755,1980
760,1980
765,1980
770,1980
775,1980
780,1980
785,1980
790,1980
795,1980
800,1980
805,1980
810,1980
815,1980
820,1980
825,1980
830,1980
835,1980
840,1980
845,1980
850,1980
855,1980
860,1980
865,1980
870,1980
875,1980
880,1980
885,1980
890,1980
895,1980
900,1980
905,1980
