# time,value
10,0
15,195
20,164
25,326
30,326
35,497
40,495
45,663
50,662
55,827
60,830
65,992
70,993
75,1161
80,1162
85,1327
90,1321
95,1493
100,1494
105,1494
110,1503
115,1503
120,1503
125,1503
130,1503
135,1503
140,1503
145,1503
150,1503
155,1503
160,1503
165,1503
170,1503
175,1503
180,1503
185,1503
190,1503
195,1503
200,1503
205,1503
210,1503
215,1503
220,1503
225,1503
230,1503
235,1503
240,1503
245,1503
250,1503
255,1503
260,1503
265,1503
270,1503
275,1503
280,1503
285,1503
290,1503
295,1503
300,1503
305,1503
310,1503
315,1503
320,1503
325,1503
330,1503
335,1503
340,1503
345,1503
350,1503
355,1503
360,1503
365,1503
370,1503
375,1503
380,1503
385,1503
390,1503
395,1503
400,1503
405,1503
410,1503
415,1503
420,1503
425,1503
430,1503
435,1503
440,1503
445,1503
450,1503
455,1503
460,1503
465,1503
470,1503
475,1503
480,1503
485,1503
490,1503
495,1503
500,1503
505,1503
510,1503
515,1503
520,1503
525,1503
530,1503
535,1503
540,1503
545,1503
550,1503
555,1503
560,1503
565,1503
570,1503
575,1503
580,1503
585,1503
590,1503
595,1503
600,1503
605,1503
610,1503
615,1503
620,1503
625,1503
630,1503
635,1503
640,1503
645,1503
650,1503
655,1503
660,1503
665,1503
670,1503
675,1503
680,1503
685,1503
690,1503
695,1503
700,1503
705,1503
710,1503
715,1503
720,1503
725,1503
730,1503
735,1503
740,1503
745,1503
750,1503
755,1503
760,1503
765,1503
770,1503
775,1503
780,1503
785,1503
790,1503
795,1503
800,1503
805,1503
810,1503
815,1503
820,1503
825,1503
830,1503
835,1503
840,1503
845,1503
850,1503
855,1503
860,1503
865,1503
870,1503
875,1503
880,1503
885,1503
890,1503
895,1503
900,1503
905,1503
