# time,value
20,0
25,277
30,238
35,476
40,644
45,644
50,644
55,644
60,644
65,644
70,644
75,644
80,644
85,644
90,644
95,644
100,644
105,644
110,644
115,644
120,644
125,644
130,644
135,644
140,644
145,644
150,644
155,644
160,644
165,644
170,644
175,644
180,644
185,644
190,644
195,644
200,644
205,644
210,644
215,644
220,644
225,644
230,644
235,644
240,644
245,644
250,644
255,644
260,644
265,644
270,644
275,644
280,644
285,644
290,644
295,644
300,644
305,644
310,644
315,644
320,644
325,644
330,644
335,644
340,644
345,644
350,644
355,644
360,644
365,644
370,644
375,644
380,644
385,644
390,644
395,644
400,644
405,644
410,644
415,644
420,644
425,644
430,644
435,644
440,644
445,644
450,644
455,644
460,644
465,644
470,644
475,644
480,644
485,644
490,644
495,644
500,644
505,644
510,644
515,644
520,644
525,644
530,644
535,644
540,644
545,644
550,644
555,644
560,644
565,644
570,644
575,644
580,644
585,644
590,644
595,644
600,644
605,644
610,644
615,644
620,644
625,644
630,644
635,644
640,644
645,644
650,644
655,644
660,644
665,644
670,644
675,644
680,644
685,644
690,644
695,644
700,644
705,644
710,644
715,644
720,644
725,644
730,644
735,644
740,644
745,644
750,644
755,644
760,644
765,644
770,644
775,644
780,644
785,644
790,644
795,644
800,644
805,644
810,644
815,644
820,644
825,644
830,644
835,644
840,644
845,644
850,644
855,644
860,644
865,644
870,644
875,644
880,644
885,644
890,644
895,644
900,644
905,644
910,644
915,644
920,644
925,644
930,644
935,644
940,644
945,644
950,644
955,644
960,644
965,644
970,644
975,644
980,644
985,644
990,644
995,644
1000,644
1005,644
1010,644
1015,644
1020,644
1025,644
1030,644
1035,644
1040,644
1045,644
1050,644
1055,644
1060,644
1065,644
1070,644
1075,644
1080,644
1085,644
1090,644
1095,644
1100,644
1105,644
1110,644
1115,644
1120,644
1125,644
1130,644
1135,644
1140,644
1145,644
1150,644
1155,644
1160,644
1165,644
1170,644
1175,644
1180,644
1185,644
1190,644
1195,644
1200,644
1205,644
1210,644
1215,644
1220,644
1225,644
1230,644
1235,644
1240,644
1245,644
1250,644
1255,644
1260,644
1265,644
1270,644
1275,644
1280,644
1285,644
1290,644
1295,644
1300,644
1305,644
1310,644
1315,644
1320,644
1325,644
1330,644
1335,644
1340,644
1345,644
1350,644
1355,644
1360,644
1365,644
1370,644
1375,644
1380,644
1385,644
1390,644
1395,644
1400,644
1405,644
1410,644
1415,644
1420,644
1425,644
1430,644
1435,644
1440,644
1445,644
1450,644
1455,644
1460,644
1465,644
1470,644
1475,644
1480,644
1485,644
1490,644
1495,644
1500,644
1505,644
1510,672
1515,672
1520,672
1525,672
1530,672
1535,672
1540,672
1545,672
1550,672
1555,672
1560,672
1565,672
1570,672
1575,672
1580,672
1585,672
1590,672
1595,672
1600,672
1605,672
1610,672
1615,672
1620,702
1625,702
1630,702
1635,702
1640,702
1645,702
1650,702
1655,702
1660,702
1665,702
1670,702
1675,702
1680,702
1685,702
1690,702
1695,702
1700,702
1705,702
1710,702
1715,702
1720,702
1725,702
1730,702
1735,702
1740,702
1745,702
1750,702
1755,702
1760,702
1765,702
1770,702
1775,702
1780,702
1785,702
1790,702
1795,702
1800,702
1805,702
1810,702
1815,702
1820,702
1825,702
1830,702
1835,702
1840,702
1845,702
1850,702
1855,702
1860,702
1865,702
1870,702
1875,702
1880,702
1885,702
1890,702
1895,702
1900,702
1905,702
1910,702
1915,702
1920,702
1925,702
1930,702
1935,702
1940,702
1945,702
1950,702
1955,702
1960,702
1965,702
1970,702
1975,702
1980,702
1985,702
1990,702
1995,702
2000,702
2005,702
2010,702
2015,702
2020,702
2025,702
2030,702
2035,702
2040,702
2045,702
2050,702
2055,702
2060,702
2065,702
2070,702
2075,702
2080,702
2085,702
2090,702
2095,702
2100,702
2105,702
2110,313
2115,295
2120,292
2125,377
2130,306
2135,351
2140,339
2145,362
2150,341
2155,338
2160,332
2165,379
2170,311
2175,370
2180,336
2185,356
2190,316
2195,317
2200,356
2205,332
2210,344
2215,311
2220,372
2225,317
2230,325
2235,311
2240,375
2245,246
2250,248
2255,277
2260,338
2265,323
2270,294
2275,375
2280,327
2285,386
2290,361
2295,339
2300,329
2305,333
2310,300
2315,335
2320,319
2325,345
2330,373
2335,331
2340,354
2345,341
2350,359
2355,342
2360,258
2365,297
2370,312
2375,367
2380,371
2385,383
2390,341
2395,384
2400,337
2405,380
2410,326
2415,335
2420,375
2425,333
2430,320
2435,365
2440,336
2445,326
2450,314
2455,287
2460,372
2465,333
2470,361
2475,323
2480,349
2485,330
2490,329
2495,319
2500,321
2505,294
2510,315
2515,307
2520,327
2525,279
2530,319
2535,336
2540,338
2545,359
2550,332
2555,344
2560,357
2565,306
2570,317
2575,349
2580,356
2585,311
2590,320
2595,342
2600,390
2605,355
2610,346
2615,332
2620,312
2625,313
2630,370
2635,318
2640,310
2645,322
2650,274
2655,287
2660,335
2665,298
2670,332
2675,311
2680,244
2685,276
2690,257
2695,268
2700,221
2705,225
2710,248
2715,216
2720,256
2725,236
2730,230
2735,236
2740,249
2746,199
2751,245
2756,209
2761,237
2766,212
2771,225
2776,213
2781,244
2786,216
2791,226
2796,218
2801,245
2806,242
2811,217
2816,243
2821,237
2826,225
2831,215
2836,183
2841,271
2846,271
2851,271
2856,233
2861,229
2866,237
2871,248
2876,250
2881,241
2886,231
2891,214
2896,222
2901,222
2906,244
2911,238
2916,228
2921,225
2926,223
2931,198
2936,232
2941,247
2946,211
2951,222
2956,231
2961,197
2966,208
2971,219
2976,233
2981,218
2986,206
2991,234
2996,219
3001,256
3006,236
3011,235
3016,224
3021,235
3026,258
3031,203
3036,215
3041,189
3046,224
3051,230
3056,251
3061,254
3066,233
3071,217
3076,212
3081,222
3086,221
3091,220
3096,205
3101,222
3106,236
3111,240
3116,230
3121,230
3126,250
3131,241
3136,227
3141,228
3146,255
3151,262
3156,232
3161,234
3166,239
3171,257
3176,252
3181,231
3186,247
3191,226
3196,221
3201,238
3206,227
3211,217
3216,238
3221,229
3226,236
3231,233
3236,232
3241,242
3246,233
3251,240
3256,233
3261,209
3266,238
3271,251
3276,229
3281,255
3286,218
3291,205
3296,237
3301,255
3306,243
3311,227
3316,220
3321,251
3326,255
3331,207
3336,210
3341,255
3346,263
3351,240
3356,219
3361,226
3366,224
3371,258
3376,214
3381,256
3386,245
3391,241
3396,256
3401,243
3406,249
3411,228
3416,215
3421,215
3426,227
3431,225
3436,248
3441,232
3446,242
3451,254
3456,250
3461,253
3466,239
3471,204
3476,233
3481,212
3486,221
3491,217
3496,212
3501,211
3506,192
3511,204
3516,225
3521,199
3526,211
3531,262
3536,243
3541,238
3546,246
3551,218
3556,232
3561,236
3566,235
3571,232
3576,234
3581,214
3586,230
3591,236
3596,236
3601,232
3606,246
3611,229
3616,235
3621,223
3626,237
3631,223
3636,249
3641,209
3646,209
3651,226
3656,238
3661,232
3666,234
3671,209
3676,216
3681,222
3686,242
3691,268
3696,241
3701,210
3706,241
3711,234
3716,253
3721,242
3726,265
3731,250
3736,223
3741,224
3746,246
3751,256
3756,259
3761,272
3766,213
3771,244
3776,246
3781,251
3786,266
3791,239
3796,259
3801,247
3806,276
3811,275
3816,257
3821,263
3826,232
3831,237
