# time,value
5,0
10,1
15,1
20,1
25,2
30,2
35,3
40,3
45,4
50,4
55,5
60,5
65,6
70,6
75,7
80,7
85,8
90,8
95,9
100,9
105,9
110,9
115,9
120,9
125,9
130,9
135,9
140,9
145,9
150,9
155,9
160,9
165,9
170,9
175,9
180,9
185,9
190,9
195,9
200,9
205,9
210,9
215,9
220,9
225,9
230,9
235,9
240,9
245,9
250,9
255,9
260,9
265,9
270,9
275,9
280,9
285,9
290,9
295,9
300,9
305,9
310,9
315,9
320,9
325,9
330,9
335,9
340,9
345,9
350,9
355,9
360,9
365,9
370,9
375,9
380,9
385,9
390,9
395,9
400,9
405,9
410,9
415,9
420,9
425,9
430,9
435,9
440,9
445,9
450,9
455,9
460,9
465,9
470,9
475,9
480,9
485,9
490,9
495,9
500,9
505,9
510,9
515,9
520,9
525,9
530,9
535,9
540,9
545,9
550,9
555,9
560,9
565,9
570,9
575,9
580,9
585,9
590,9
595,9
600,10
605,10
610,10
615,10
620,10
625,10
630,10
635,10
640,10
645,10
650,10
655,10
660,10
665,10
670,10
675,10
680,10
685,10
690,10
695,10
700,10
705,10
710,10
715,10
720,10
725,10
730,10
735,10
740,10
745,10
750,10
755,10
760,10
765,10
770,10
775,10
780,10
785,10
790,10
795,10
800,10
805,10
810,10
815,10
820,10
825,10
830,10
835,10
840,10
845,10
850,10
855,10
860,10
865,10
870,10
875,10
880,10
885,10
890,10
895,10
900,10
905,10
