# time,value
5,15
10,15
15,15
20,15
25,15
30,15
35,15
40,15
45,15
50,15
55,15
60,15
65,15
70,15
75,15
80,15
85,15
90,15
95,15
100,15
105,15
110,15
115,15
120,15
125,15
130,15
135,15
140,15
145,15
150,15
155,15
160,15
165,15
170,15
175,15
180,15
185,15
190,15
195,15
200,15
205,15
210,15
215,15
220,15
225,15
230,15
235,15
240,15
245,15
250,15
255,15
260,15
265,15
270,15
275,15
280,15
285,15
290,15
295,15
300,15
305,15
310,15
315,15
320,15
325,15
330,15
335,15
340,15
345,15
350,15
355,15
360,15
365,15
370,15
375,15
380,15
385,15
390,15
395,15
400,15
405,15
410,15
415,15
420,15
425,15
430,15
435,15
440,15
445,15
450,15
455,15
460,15
465,15
470,15
475,15
480,15
485,15
490,15
495,15
500,15
505,15
510,15
515,15
520,15
525,15
530,15
535,15
540,15
545,15
550,15
555,15
560,15
565,15
570,15
575,15
580,15
585,15
590,15
595,15
600,15
605,15
610,15
615,15
620,15
625,15
630,15
635,15
640,15
645,15
650,15
655,15
660,15
665,15
670,15
675,15
680,15
685,15
690,15
695,15
700,15
705,15
710,15
715,15
720,15
725,15
730,15
735,15
740,15
745,15
750,15
755,15
760,15
765,15
770,15
