# time,value
20,0
25,191
30,373
35,684
40,1162
45,1494
50,1791
55,2035
60,2297
65,2453
70,2615
75,2732
80,2820
85,2948
90,3041
95,3095
100,3125
105,3174
110,3233
115,3300
120,3340
125,3363
130,3477
135,3530
140,3565
145,3612
150,3683
155,3715
160,3777
165,3827
170,3855
175,3928
180,3972
185,4040
190,4042
195,4115
200,4142
205,4137
210,4143
215,4245
220,4281
225,4274
230,4294
235,4365
240,4388
245,4457
250,4527
255,4600
260,4620
265,4694
270,4725
275,4780
280,4791
285,4836
290,4879
295,4908
300,4924
305,4928
310,4993
315,5058
320,5111
325,5162
330,5258
335,5319
340,5348
345,5437
350,5488
355,5520
360,5576
365,5616
370,5643
375,5651
380,5727
385,5781
390,5808
395,5914
400,5954
405,5997
410,6075
415,6168
420,6224
425,6265
430,6367
435,6424
440,6425
445,6482
450,6521
455,6593
460,6611
465,6601
470,6559
475,6590
480,6603
485,6660
490,6655
495,6658
500,6676
505,6688
510,6707
515,6702
520,6709
525,6754
530,6813
535,6859
540,6911
545,6980
550,6996
555,6994
560,7034
565,7052
570,7068
575,7154
580,7196
585,7225
590,7249
595,7345
600,7383
605,7405
610,7441
615,7449
620,7483
625,7555
630,7593
635,7634
640,7655
645,7694
650,7750
655,7754
660,7826
665,7911
670,7943
675,8008
680,8040
685,8100
690,8167
695,8212
700,8275
705,8365
710,8415
715,8471
720,8549
725,8589
730,8648
735,8704
740,8775
745,8850
750,8924
755,8957
760,9012
765,9083
770,9135
775,9192
780,9298
785,9380
790,9401
795,9437
800,9492
805,9513
810,9547
815,9591
820,9670
825,9735
830,9794
835,9811
840,9819
845,9878
850,9881
855,9946
860,10011
865,10011
870,10011
875,10011
880,10011
885,10011
890,10011
895,10011
900,10011
905,10011
910,10011
915,10011
920,10011
925,10011
930,10011
935,10011
940,10011
945,10011
950,10011
955,10011
960,10011
965,10011
970,10011
975,10011
980,10011
985,10011
990,10011
995,10011
1000,10011
1005,10011
1010,10011
1015,10011
1020,10011
1025,10011
1030,10011
1035,10011
1040,10011
1045,10011
1050,10011
1055,10011
1060,10011
1065,10011
1070,10011
1075,10011
1080,10011
1085,10010
1090,10011
1095,10010
1100,10011
1105,10011
1110,10011
1115,10011
