# time,value
5,0
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,0
50,1
55,0
60,0
65,4
70,0
75,0
80,0
85,4
90,0
95,3
100,0
105,0
110,0
115,2
120,0
125,4
130,0
135,0
140,2
145,0
150,0
155,1
160,0
165,0
170,1
175,0
180,2
185,0
190,0
195,0
200,0
205,4
210,0
215,4
220,0
225,0
230,0
235,4
240,0
245,0
250,0
255,3
260,0
265,0
270,0
275,7
280,0
285,0
290,1
295,2
300,0
305,0
310,0
315,0
320,2
325,0
330,0
335,0
340,0
345,2
350,1
355,0
360,0
365,2
370,2
375,0
380,0
385,0
390,0
395,0
400,0
405,0
410,0
415,4
420,0
425,0
430,0
435,0
440,0
445,0
450,4
455,0
460,0
465,1
470,0
475,2
480,0
485,0
490,2
495,1
500,0
505,0
510,1
515,2
520,0
525,0
530,0
535,0
540,0
545,2
550,0
555,0
560,0
565,1
570,10
575,0
580,0
585,2
590,2
595,2
600,0
605,0
610,2
615,0
620,0
625,0
630,0
635,2
640,0
645,1
650,0
655,0
660,1
665,0
670,0
675,0
680,0
685,0
690,0
695,4
700,0
705,0
710,0
715,3
720,0
725,0
730,2
735,0
740,0
745,0
750,0
755,0
760,0
765,0
770,10
