# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,117876,1783.649198449056,11559.652042470218,368.718808147357,123.58971070676378
15,277860,4197.248529225806,18276.375960301313,891.0486550414155,300.02588026866704
20,437844,6417.867112660027,21666.28946179793,1404.7451489407379,475.48456663376356
25,597960,8460.934837370763,23716.205506332335,1909.9509866189721,649.9711852075363
30,757944,10342.758713654102,25084.587684768514,2407.2428598986626,823.6373814059694
35,918060,12074.120260344689,26068.727107094062,2896.3152214867155,996.3414404810519
40,1078572,13675.493090896494,26817.5014642795,3379.0493424381266,1168.67373286937
45,1238556,15138.273082115902,27387.78991806591,3851.6228020839653,1339.3199781008384
50,1398672,16486.206470322635,27848.073030200256,4316.821663098479,1509.1670772090017
55,1558788,17728.475882888404,28225.282477792225,4774.767816875692,1678.2194575848491
60,1718904,18871.41891738439,28540.069387896092,5225.144786502987,1846.3352620782805
65,1879152,19922.977272511915,28808.063663046883,5668.077679590116,2013.519679462039
70,2039268,20890.45766380379,29036.574755763566,6103.689535899931,2179.777869762279
75,2199384,21780.582594075277,29234.66672343637,6532.101361526878,2345.1149644178245
80,2359500,22597.426237040083,29408.040076412635,6952.995808891475,2509.3898064258788
85,2519616,23351.06949582911,29561.155278630267,7367.36983656569,2672.900800852907
90,2679732,24044.454766700994,29697.2493909076,7774.894863988371,2835.50591951794
95,2839848,24682.40001235291,29819.065259167302,8175.684095176449,2997.2101811103867
100,2999964,25269.33797245429,29928.73924351593,8569.848863049036,3158.018576515355
105,3160080,25807.23613692571,30028.03025316526,8957.06230673484,3317.789808955021
110,3320196,26304.237166240786,30118.248999201827,9338.312028754903,3476.8221444951964
