# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
20,171,2.478623146490978,8.479124971693556,0.5123849315298578,0.1717447118482014
25,661,10.100099631152165,26.258805837950625,2.1204077697737684,0.712620085161307
30,1152,17.14417873624169,38.17175011414972,3.708463746751224,1.2527149874938914
35,1639,23.545088787715756,46.58505672400824,5.253742921000969,1.784277529980669
40,2122,29.37024586082262,52.79206549350766,6.760258040117927,2.308463013591084
45,2602,34.69766685612482,57.566971795445596,8.235261236048776,2.827528369150629
50,3082,39.599130787231594,61.38604179661868,9.685884773542423,3.343718023744982
55,3565,44.140677534701744,64.57060736733442,11.119143031380508,3.8592639699926234
60,4046,48.28712001934135,67.18837172589532,12.522100195447017,4.369737652539552
65,4529,52.13401350206403,69.43418854690186,13.908479935712311,4.879599294093713
70,5014,55.70530859866524,71.38733593271259,15.27855625289121,5.388852285455232
75,5499,58.99105870528627,73.0800776985903,16.62598720039371,5.895283937840647
80,5985,62.03008585582479,74.57056599336303,17.95445278249391,6.400017912295737
85,6470,64.82612581158462,75.87876051287603,19.26096075987397,6.901955583815252
90,6962,67.38261563888776,77.06426853426747,20.542568350581806,7.400004413943461
95,7447,69.75069094262881,78.1057430548443,21.80629854027974,7.896402008250797
100,7933,71.9294253992574,79.05138049560934,23.049141107180233,8.390049484435666
105,8418,73.93395786703898,79.9004596664086,24.271441293321253,8.880962078570471
110,8905,75.77821676796458,80.68790360606368,25.473538634391797,9.369154942317461
115,9391,77.49100798596571,81.40063491850168,26.659072763285224,9.855751173795387
120,9873,79.00288751121728,82.01785139961869,27.811788899640476,10.335219466594598
125,10361,80.47383940938809,82.63717831814051,28.9619808602838,10.817571584169974
130,10850,81.84317160456268,83.21655067238423,30.096467529227297,11.298359428097841
135,11340,83.1190091595793,83.75782335483254,31.215508492110082,11.777591664691972
140,11830,84.30882749312082,84.25972482424594,32.31935904399804,12.255276912253438
145,12320,85.38752208824513,84.73023325695996,33.40165884182941,12.729207680538572
150,12810,86.39596014265422,85.16945271045056,34.469375506709135,13.201620830731272
155,13300,87.30777682503883,85.57806326391217,35.5161386581523,13.6703087098684
160,13791,88.16267978790677,85.96673646449766,36.54890604574468,14.137508017315866
165,14281,88.91724624979521,86.32619480828042,37.557991871408355,14.599902908790023
170,14772,89.67544537681881,86.67263044322596,38.56362181234731,15.064168183879739
175,15262,90.34104001466545,86.99355978214128,39.54601873389773,15.523645297981366
180,15753,90.95341664362346,87.30238893808192,40.51217806256481,15.980576839032603
185,16247,91.58079480904236,87.55475085736359,41.47559101909504,16.439409031491138
190,16753,92.15801058599641,87.91125437073616,42.42308016008441,16.895699223863204
195,17242,92.59312803517409,88.15872990846816,43.33507442763937,17.342813316821534
200,17734,93.04142876522019,88.41135447977707,44.24191188353565,17.790774420942785
