# time,value
5,0
10,0
15,0
20,26
25,1
30,5
35,5
40,5
45,2
50,2
55,7
60,6
65,8
70,8
75,7
80,3
85,5
90,3
95,4
100,4
105,1
110,4
115,42
120,5
125,4
130,4
135,3
140,3
145,3
150,3
155,4
160,3
165,1
170,3
175,3
180,4
185,3
190,4
195,4
200,3
205,1
210,1
215,54
220,3
225,1
230,3
235,3
240,3
245,3
250,3
255,3
260,3
265,3
270,1
275,3
280,3
285,1
290,2
295,3
300,3
305,3
310,3
315,16
320,3
325,2
330,1
335,2
340,2
345,1
350,1
355,1
360,2
365,3
370,2
375,2
380,2
385,2
390,2
395,2
400,2
405,1
410,2
415,12
420,2
425,2
430,2
435,2
440,2
445,2
450,2
455,2
460,3
465,1
470,2
475,1
480,3
485,3
490,2
495,2
500,2
505,2
510,2
515,19
520,2
525,1
530,2
535,3
540,2
545,2
550,2
555,2
560,2
565,2
570,2
575,2
580,2
585,1
590,2
595,2
600,3
605,2
610,2
615,14
620,2
625,2
630,2
635,2
640,2
645,1
650,2
655,2
660,3
665,2
670,2
675,3
680,3
685,2
690,2
695,2
700,2
705,1
710,3
715,12
720,2
725,2
730,2
735,2
740,2
745,2
750,2
755,2
760,2
765,1
770,2
775,2
780,2
785,2
790,2
795,2
800,2
805,2
810,2
815,19
820,2
825,1
830,3
835,2
840,2
845,2
850,2
855,2
860,2
865,2
870,2
875,2
880,2
885,1
890,24
895,2
900,2
905,2
