# time,value
5,0
10,3
15,0
20,1
25,0
30,0
35,0
40,0
45,0
50,0
55,0
60,0
65,0
70,0
75,0
80,4
85,0
90,0
95,0
100,0
105,0
110,0
115,0
120,0
125,0
130,0
135,0
140,0
145,0
150,0
155,0
160,0
165,0
170,0
175,0
180,0
185,0
190,0
195,0
200,0
205,0
210,0
215,0
220,0
225,0
230,0
235,0
240,0
245,0
250,0
255,0
260,0
265,0
270,0
275,0
280,0
285,0
290,0
295,0
300,0
305,0
310,0
315,0
320,0
325,0
330,0
335,0
340,0
345,0
350,0
355,0
360,0
365,0
370,0
375,0
380,0
385,0
390,0
395,0
400,0
405,0
410,0
415,0
420,0
425,0
430,0
435,0
440,0
445,0
450,0
455,0
460,0
465,0
470,0
475,0
480,0
485,0
490,0
495,0
500,0
505,0
510,0
515,0
520,0
525,0
530,0
535,0
540,0
545,0
550,0
555,0
560,0
565,0
570,0
575,0
580,0
585,0
590,0
595,0
600,0
605,0
610,0
615,0
620,0
625,0
630,0
635,0
640,0
645,0
650,0
655,0
660,0
665,0
670,0
675,0
680,0
685,0
690,0
695,0
700,0
705,0
710,0
715,0
720,0
725,0
730,0
735,0
740,0
745,0
750,0
755,0
760,0
765,0
770,0
775,0
780,0
785,0
790,0
795,0
800,0
805,0
810,0
815,0
820,0
825,0
830,0
835,0
840,0
845,0
850,0
855,0
860,0
865,0
870,0
875,0
880,0
885,0
890,0
895,0
900,0
905,0
910,0
915,0
920,0
925,0
930,1
935,0
940,0
945,0
950,0
956,0
961,0
966,0
971,0
976,0
981,0
986,0
991,0
996,0
1001,0
1006,0
1011,0
1016,0
1021,0
1026,0
1031,0
1036,0
1041,0
1046,0
1051,0
1056,0
1061,0
1066,0
1071,0
1076,0
1081,0
1086,0
1091,0
1096,0
1101,0
1106,0
1111,0
1116,0
1121,0
1126,0
1131,0
1136,0
1141,0
1146,0
1151,0
1156,0
1161,0
1166,0
1171,0
1176,0
1181,0
1186,0
1191,0
1196,0
1201,0
1206,0
1211,0
1216,0
1221,0
1226,0
1231,0
1236,0
1241,0
1246,0
1251,0
1256,0
1261,0
1266,0
1271,0
1276,0
1281,0
1286,0
1291,0
1296,0
1301,0
1306,0
1311,0
1316,0
1321,0
1326,0
1331,0
1336,0
1341,0
1346,0
1351,0
1356,0
1361,0
1366,0
1371,0
1376,0
1381,0
1386,0
1391,0
1396,0
1401,0
1406,0
1411,0
1416,0
1421,0
1426,0
1431,0
1436,0
1441,0
1446,0
1451,0
1456,0
1461,0
1466,0
1471,0
1476,0
1481,0
1486,0
1491,0
1496,0
1501,0
1506,0
1511,0
1516,0
1521,0
1526,0
1531,0
1536,0
1541,0
1546,0
1551,0
1556,0
1561,0
1566,0
1571,0
1576,0
1581,0
1586,0
1591,0
1596,0
1601,0
1606,0
1611,0
1616,0
1621,0
1626,0
1631,0
1636,0
1641,0
1646,0
1651,0
1656,0
1661,0
1666,0
1671,0
1676,0
1681,0
1686,0
1691,0
1696,0
1701,0
1706,0
