# time,value
5,0
10,0
15,0
20,56
25,52
30,58
35,49
40,56
45,60
50,63
55,62
60,61
65,69
70,70
75,75
80,47
85,51
90,63
95,68
100,65
105,68
110,77
115,65
120,70
125,75
130,72
135,77
140,63
145,69
150,74
155,68
160,84
165,72
170,69
175,58
180,65
185,66
190,65
195,72
200,67
205,62
210,69
215,59
220,63
225,64
230,52
235,65
240,60
245,69
250,61
255,74
260,72
265,41
270,55
275,72
280,69
285,74
290,53
295,64
300,74
305,70
310,60
315,68
320,67
325,72
330,70
335,79
340,71
345,75
350,69
355,78
360,67
365,63
370,70
375,67
380,62
385,73
390,72
395,74
400,81
405,90
410,89
415,96
420,72
425,83
430,71
435,76
440,80
445,76
450,86
455,73
460,72
465,73
470,79
475,78
480,75
485,73
490,84
495,78
500,73
505,71
510,73
515,66
520,78
525,74
530,88
535,81
540,83
545,65
550,76
555,79
560,73
565,84
570,86
575,77
580,73
585,78
590,79
595,71
600,79
605,82
610,78
615,70
620,80
625,81
630,63
635,77
640,72
645,80
650,85
655,78
660,78
665,80
670,73
675,79
680,75
685,77
690,73
695,81
700,77
705,77
710,75
715,82
720,78
725,73
730,80
735,92
740,78
745,78
750,76
755,87
760,76
765,77
770,69
775,69
780,74
785,77
790,71
795,78
800,76
805,77
810,83
815,79
820,79
825,74
830,75
835,71
840,74
845,75
850,72
855,82
860,71
865,79
870,71
875,74
880,67
885,76
890,74
895,77
900,69
905,80
910,68
915,72
920,72
925,69
930,80
935,77
940,78
945,76
950,74
955,71
960,79
965,74
970,75
975,78
980,75
985,76
990,84
995,71
1000,74
1005,73
1010,81
1015,79
1020,80
1025,75
1030,80
1035,66
1040,64
1045,77
1050,84
1055,80
1060,80
1065,75
1070,79
1075,72
1080,73
1085,81
1090,81
1095,76
1100,68
1105,75
1110,75
1115,81
1120,74
1125,85
1130,71
1135,83
1140,70
1145,67
1150,71
1155,75
1160,80
1165,77
1170,72
1175,77
1180,84
1185,76
1190,74
1195,79
1200,69
1205,73
1210,74
1215,73
1220,67
1225,69
1230,83
1235,78
1240,85
1245,73
1250,60
1255,82
1260,74
1265,81
1270,76
1275,84
1280,78
1285,86
1290,77
1295,75
1300,82
1305,79
1310,87
1315,73
1320,70
1325,64
1330,76
1335,73
1340,74
1345,70
1350,87
1355,84
1360,71
1365,76
1370,79
1375,80
1380,80
1385,72
1390,79
1395,72
1400,78
1405,80
1410,77
1415,73
1420,66
1425,78
1430,78
1435,83
1440,85
