# time,value
5,0
10,0
15,0
20,225
25,415
30,665
35,842
40,1073
45,1300
50,1565
55,1855
60,2175
65,2430
70,2677
75,2930
80,3176
85,3408
90,3640
95,3895
100,4138
105,4391
110,4681
115,4982
120,5338
125,5686
130,6016
135,6334
140,6655
145,6979
150,7325
155,7658
160,8029
165,8396
170,8708
175,9035
180,9361
185,9690
190,9997
195,10300
200,10645
205,10977
210,11275
215,11614
220,11916
225,12225
230,12535
235,12866
240,13204
245,13538
250,13878
255,14216
260,14534
265,14786
270,15099
275,15439
280,15769
285,16092
290,16422
295,16716
300,17006
305,17335
310,17634
315,17931
320,18215
325,18555
330,18916
335,19267
340,19601
345,19920
350,20251
355,20567
360,20869
365,21181
370,21482
375,21777
380,22123
385,22448
390,22754
395,23085
400,23396
405,23756
410,24073
415,24407
420,24693
425,25017
430,25348
435,25665
440,25992
445,26269
450,26563
455,26867
460,27193
465,27511
470,27818
475,28151
480,28480
485,28782
490,29092
495,29408
500,29710
505,30039
510,30340
515,30661
520,31017
525,31356
530,31693
535,32011
540,32323
545,32671
550,32975
555,33275
560,33564
565,33891
570,34205
575,34515
580,34829
585,35123
590,35451
595,35773
600,36083
605,36388
610,36705
615,37027
620,37344
625,37662
630,37976
635,38296
640,38608
645,38916
650,39212
655,39530
660,39857
665,40168
670,40499
675,40808
680,41127
685,41458
690,41785
695,42092
700,42387
705,42723
710,43015
715,43391
720,43722
725,44092
730,44437
735,44759
740,45082
745,45418
750,45730
755,46072
760,46396
765,46731
770,47068
775,47359
780,47711
785,48063
790,48407
795,48751
800,49114
805,49447
810,49779
815,50148
820,50500
825,50855
830,51164
835,51497
840,51835
845,52168
850,52478
855,52785
860,53104
865,53429
870,53744
875,54057
880,54320
885,54617
890,54939
895,55296
900,55636
905,55946
910,56254
915,56566
920,56885
925,57234
930,57567
935,57871
940,58186
945,58503
950,58812
955,59130
960,59451
965,59782
970,60134
975,60474
980,60800
985,61153
990,61485
995,61828
1000,62162
1005,62501
1010,62821
1015,63185
1020,63522
1025,63840
1030,64142
1035,64482
1040,64743
1045,65080
1050,65394
1055,65711
1060,66059
1065,66383
1070,66762
1075,67088
1080,67404
1085,67732
1090,68068
1095,68383
1100,68703
1105,69058
1110,69375
1115,69722
1120,70043
1125,70375
1130,70677
1135,71009
1140,71335
1145,71645
1150,71957
1155,72281
1160,72623
1165,72931
1170,73259
1175,73565
1180,73898
1185,74209
1190,74513
1195,74829
1200,75136
1205,75427
1210,75749
1215,76096
1220,76431
1225,76752
1230,77066
1235,77410
1240,77736
1245,78065
1250,78401
1255,78728
1260,79046
1265,79362
1270,79639
1275,79936
1280,80274
1285,80562
1290,80927
1295,81256
1300,81583
1305,81887
1310,82190
1315,82510
1320,82802
1325,83065
1330,83401
1335,83741
1340,84084
1345,84442
1350,84840
1355,85188
1360,85509
1365,85820
1370,86151
1375,86501
1380,86818
1385,87121
1390,87425
1395,87736
1400,88068
1405,88397
1410,88710
1415,88996
1420,89293
1425,89610
1430,89931
1435,90243
1440,90541
