# time,value
5,0
10,0
15,0
20,984
25,1853
30,2802
35,3977
40,4861
45,5828
50,6582
55,7468
60,8328
65,9306
70,10171
75,11066
80,12057
85,12951
90,13974
95,14926
100,15857
105,16742
110,17664
115,18487
120,19346
125,20154
130,21028
135,21877
140,22808
145,23717
150,24498
155,25378
160,26256
165,27001
170,27892
175,28753
180,29589
185,30445
190,31378
195,32190
200,33213
205,33938
210,34777
215,35819
220,36545
225,37546
230,38325
235,39297
240,40027
245,40857
250,41722
255,42656
260,43809
265,44465
270,45263
275,46188
280,46948
285,47891
290,48862
295,49673
300,50506
305,51619
310,52214
315,53099
320,53997
325,54862
330,55681
335,56564
340,57615
345,58290
350,59098
355,60098
360,60842
365,61778
370,62645
375,63568
380,64615
385,65318
390,66159
395,67041
400,67936
405,68713
410,69621
415,70531
420,71363
425,72210
430,73117
435,73983
440,74865
445,75781
450,76642
455,77532
460,78385
465,79357
470,80164
475,81029
480,81852
485,82713
490,83595
495,84465
500,85386
505,86587
510,87263
515,88090
520,88941
525,89793
530,90576
535,91455
540,92366
545,93158
550,94068
555,94882
560,95844
565,96751
570,97578
575,98457
580,99359
585,100385
590,101156
595,102044
600,102902
605,103789
610,104662
615,105499
620,106370
625,107264
630,108157
635,109011
640,109999
645,110868
650,111659
655,112472
660,113472
665,114488
670,115205
675,116107
680,116987
685,117949
690,118711
695,119885
700,120474
705,121310
710,122202
715,123124
720,123872
725,124658
730,125529
735,126430
740,127266
745,128127
750,129126
755,129941
760,130816
765,131680
770,132533
775,133434
780,134271
785,135160
790,135965
795,136765
800,137594
805,138470
810,139336
815,140435
820,141071
825,141841
830,143026
835,143668
840,144408
845,145270
850,146147
855,147027
860,147945
865,148791
870,149642
875,150533
880,151469
885,152380
890,153273
895,154129
900,154968
905,155947
910,156769
915,157683
920,158556
925,159463
930,160312
935,161173
940,161999
945,162894
950,163811
955,164603
960,165527
965,166318
970,167185
975,168038
980,169003
985,169725
990,170592
995,171440
1000,172304
1005,173177
1010,174042
1015,174898
1020,175761
1025,176669
1030,177647
1035,178462
1040,179443
1045,180319
1050,181220
1055,182071
1060,182948
1065,183882
1070,184665
1075,185561
1080,186579
1085,187380
1090,188268
1095,189098
1100,189997
1105,190822
1110,191735
1115,192574
1120,193476
1125,194322
1130,195198
1135,196088
1140,196990
1145,197821
1150,198718
1155,199599
1160,200434
1165,201336
1170,202283
1175,203109
1180,203978
1185,204842
1190,205722
1195,206596
1200,207424
1205,208365
1210,209236
1215,210106
1220,210948
1225,211716
1230,212766
1235,213625
1240,214495
1245,215345
1250,216218
1255,217080
1260,217949
1265,218858
1270,219772
1275,220646
1280,221549
1285,222421
1290,223246
1295,224119
1300,224985
1305,225871
1310,226742
1315,227610
1320,228509
1325,229426
1330,230291
1335,231163
1340,232005
1345,232844
1350,233626
1355,234488
1360,235411
1365,236252
1370,237113
1375,237951
1380,238828
1385,239731
1390,240610
1395,241522
1400,242371
1405,243230
1410,244118
1415,245083
1420,245865
1425,246738
1430,247617
1435,248539
1440,249378
