# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
20,510,7.931594068771131,25.291525144962243,1.639631780895545,0.5495830779142445
25,946,14.237563632254686,37.584094833819854,3.047208859573071,1.0274234973036267
30,1498,21.894305288559945,49.64283667465542,4.814983006844517,1.631148134426584
35,1905,26.652117942101913,54.149368912513204,6.080821996788096,2.0730796982367377
40,2421,32.77254866092668,60.245879979550956,7.686060815220735,2.6333382075052008
45,2937,38.35564340768473,64.99239891511368,9.25485024200855,3.187168708278705
50,3532,44.707663443420074,70.367754519638,11.048943762222954,3.8221412142239695
55,4184,51.22343091602562,75.80173216748094,12.952223312738575,4.500133152732453
60,4877,58.46553351800233,81.01351851608335,15.081889739695892,5.260795283973756
65,5450,63.225646635301395,83.58492378650526,16.782976477725192,5.885387613907605
70,6020,67.10943749257797,85.71403746332663,18.353469738745567,6.472170665029004
75,6603,71.05049327110883,87.7628707792312,19.97403634179889,7.081187548036515
80,7136,74.00481271077508,88.93079651536388,21.428977547020086,7.6402931081857135
85,7659,76.30714876634333,89.84557339150292,22.773922249216366,8.16749234817584
90,8186,78.52134689731342,90.70302780660636,24.11647122620908,8.698419006638844
95,8762,81.48599231089499,91.9847760828773,25.628560956108068,9.290670013858907
100,9313,83.81381983816377,92.89002281446994,27.03301531018865,9.851939100504202
105,9883,86.38728471384944,93.88989095023884,28.503510224985646,10.440015491872888
110,10546,90.0662582990479,95.642638883411,30.22076815400382,11.115692343368353
115,11215,93.43508628060441,97.29453270999146,31.90633659680634,11.78651781200794
120,12009,98.26159829288908,99.84883152140212,33.92106164121824,12.573294088683307
125,12772,102.84612376560013,101.95187941593025,35.93223759281793,13.365683778790936
130,13504,106.36048166923185,103.65542333371214,37.764720523458976,14.104930172019108
135,14215,109.24204245384564,105.07768986433902,39.494189572174946,14.815704359088508
140,14922,111.71730407132897,106.36977832482381,41.15871021026268,15.510352414738122
145,15643,114.31447703872357,107.66957537645705,42.861832926832456,16.223312622556747
150,16407,117.39160955538904,109.168890949024,44.67895099806804,16.979968229615483
155,17145,119.79094797941973,110.40425716995088,46.376780599988365,17.702515028829612
160,17969,123.34169972948207,112.09901736195637,48.32422712272715,18.514133362470254
165,18779,126.4166556399726,113.60613041052704,50.199816674856805,19.307958842392267
170,19468,127.39078207005112,114.31417328517928,51.66094318712391,19.96885488221153
175,20174,128.7027906951152,115.0790937824084,53.18386784248814,20.65489824789177
180,20893,129.82994131718021,115.87370042434596,54.66509222118161,21.331600677055803
185,21615,130.9948988880502,116.64151160384942,56.1482797882167,22.013418315098978
190,22296,131.42706691144383,117.15355792232525,57.474724051631796,22.647137363833625
195,22978,131.66476951680718,117.64444040787086,58.746187027429215,23.266265208725883
200,23737,133.19473807129367,118.49527027715898,60.267702726042536,23.97282148397273
205,24465,134.18660805047995,119.15357092459446,61.67812154204261,24.64665453968708
210,25122,134.26763439701375,119.44273716602075,62.89333130525638,25.25913687710437
215,25869,135.0138091516937,120.13623341034517,64.22729520568087,25.914763246036927
220,26530,135.15662508655376,120.40823833049743,65.42681650816391,26.529084311666892
225,27204,135.2240576214453,120.72596800561602,66.59328863046417,27.135569823623396
230,27888,135.19015184609174,121.0733857334307,67.72064640901115,27.732047131266707
235,28613,135.9745039976349,121.58020611929774,68.99796177347535,28.381729414314094
240,29351,136.728125047913,122.1200072356479,70.26077639042502,29.030028419562917
245,30086,137.69333887622875,122.62554863714993,71.55891557467018,29.693572266567738
250,30829,138.42146729715225,123.14294880406739,72.80254131310583,30.342359675814528
255,31586,139.34723565714197,123.69485663640992,74.07850307386595,31.00528119058591
260,32283,139.52735674887737,123.99505114142885,75.19453525384306,31.617992742645775
265,32822,137.31039970923928,123.68855148807069,75.79957036828107,32.06221325012399
270,33511,137.07769699682441,123.94800487875469,76.76815027552198,32.62918014356077
275,34267,138.1268984148547,124.4414529436262,77.98187199465707,33.28054035575435
280,34990,138.90031691444503,124.79954261300193,79.13586414748158,33.91499556858056
285,35716,139.10018053879176,125.15567276449643,80.16499979217701,34.51047883032497
290,36429,139.41199288665263,125.45480595521873,81.2035709947307,35.11152726748095
295,37085,138.6754426029698,125.55086571180095,82.01341073412013,35.63833185940133
300,37739,138.07773921374445,125.63703903680484,82.82639354615836,36.16775802580587
