# time,value
5,0
10,0
15,0
20,0
25,0
30,3564
35,6985
40,11901
45,15261
50,18744
55,21108
60,22587
65,24103
70,25051
75,25616
80,26080
85,26368
90,26648
95,26848
100,26867
105,26872
110,26882
115,26890
120,26890
125,26890
130,26890
135,26890
140,26890
145,26890
150,26890
155,26890
160,26890
165,26890
170,26890
175,26890
180,26890
185,26890
190,26890
195,26890
200,26890
205,26890
210,26890
215,26890
220,26890
225,26890
230,26890
235,26890
240,26890
245,26890
250,26890
255,26890
260,26890
265,26890
270,26890
275,26890
280,26890
285,26890
290,26890
295,26890
300,26890
305,26890
310,26890
315,26890
320,26890
325,26890
330,26890
335,26890
340,26890
345,26890
350,26890
355,26890
360,26890
365,26890
370,26890
375,26890
380,26890
385,26890
390,26890
395,26890
400,26890
405,26890
410,26890
415,26890
420,26890
425,26890
430,26890
435,26890
440,26890
445,26890
450,26890
455,26890
460,26890
465,26890
470,26890
475,26890
480,26890
485,26890
490,26890
495,26890
500,26890
505,26890
510,26890
515,26890
520,26890
525,26890
530,26890
535,26890
540,26890
545,26890
550,26890
555,26890
560,26890
565,26890
570,26890
575,26890
580,26890
585,26890
590,26890
595,26890
600,26890
605,26890
610,26890
615,26890
620,26890
625,26890
630,26890
635,26890
640,26890
645,26890
650,26890
655,26890
660,26890
665,26890
670,26890
675,26890
680,26890
685,26890
690,26890
695,26890
700,26890
705,26890
710,26890
715,26890
720,26890
725,26890
730,26890
735,26890
740,26890
745,26890
750,26890
755,26890
760,26890
765,26890
770,26890
775,26890
780,26890
785,26890
790,26890
795,26890
800,26890
805,26890
810,26890
815,26890
820,26890
825,26890
830,26890
835,26890
840,26890
845,26890
850,26890
855,26890
860,26890
865,26890
870,26890
875,26890
880,26890
885,26890
890,26890
895,26890
900,26890
905,26890
910,26890
915,26890
920,26890
925,26890
930,26890
935,26890
940,26890
945,26890
950,26890
955,26890
960,26890
965,26890
970,26890
975,26890
980,26890
985,26890
990,26890
995,26890
1000,26890
1005,26890
1010,26890
1015,26890
1020,26890
1025,26890
1030,26890
1035,26890
1040,26890
1045,26890
1050,26890
1055,26890
1060,26890
1065,26890
1070,26890
1075,26890
1080,26890
1085,26890
1090,26890
1095,26890
1100,26890
1105,26890
1110,26890
1115,26890
1120,26890
1125,26890
1130,26890
1135,26890
1140,26890
1145,26890
1150,26890
1155,26890
1160,26890
1165,26890
1170,26890
1175,26890
1180,26890
1185,26890
1190,26890
1195,26890
1200,26890
1205,26890
1210,26890
1215,26890
1220,26890
1225,26890
1230,26890
1235,26890
1240,26890
1245,26890
1250,26890
1255,26890
1260,26890
1265,26890
1270,26890
1275,26890
1280,26890
1285,26890
1290,26890
