# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0
25,0,0.0,0.0,0.0,0.0
30,122,1.8869518147479705,4.058929501831755,0.39007368980982715,0.1307475870844372
35,371,5.733858746367371,10.580964736814943,1.2100536477339587,0.4070308253341599
40,624,9.3051662165509,15.574265685715648,2.0230919475295464,0.6839994732483211
45,856,12.287096483008662,18.992936132726935,2.759883430764315,0.9383810951737673
50,1122,15.542320515849587,22.40716485163786,3.5902795174862474,1.2268103770176464
55,1364,18.153484395852775,24.765241243658952,4.327613342486212,1.4870489872237762
60,1567,19.91622645636612,26.082234286363157,4.920531741883721,1.7015246200135437
65,1869,23.201103619283693,28.71719557365691,5.847443822647133,2.030047186696558
70,2118,25.32783394961784,30.21991243099555,6.573915677082461,2.2946999860811705
75,2367,27.26852919439041,31.522440483007795,7.285074298688783,2.5567785383322414
80,2617,29.086037248989374,32.67497587594951,7.991089920649084,2.8196211963672266
85,2865,30.726243149018686,33.668793409425874,8.678824712327803,3.0787916053278592
90,3114,32.267287660330986,34.56334465207536,9.36180366621513,3.3387422316282582
95,3364,33.68511705565905,35.374344555171085,10.033493970924267,3.597252691947731
100,3612,34.94160972050549,36.08428272149699,10.684165083707418,3.851006873827648
105,3862,36.14561213004258,36.7455245117544,11.333998676663024,4.1066793101676184
110,4110,37.2373567050633,37.32869128880342,11.969785755833522,4.3598272519502865
115,4360,38.22581908643883,37.87839478941446,12.591758489670655,4.610464685259211
120,4609,39.167230613642865,38.37403096261704,13.21006233692622,4.861929609889982
125,4857,40.001388796966324,38.822061916525236,13.811535102018796,5.109785319818821
130,5107,40.76885137445042,39.25117576510795,14.403066396738499,5.3562678714417995
135,5354,41.506933266449956,39.62612266971478,14.991431957608825,5.603600933062688
140,5605,42.17001027164903,40.00294363341493,15.566766981900857,5.848455701529761
145,5854,42.76407944967745,40.33992291693253,16.129286845440163,6.0908459069637795
150,6103,43.35862283004833,40.65458207726705,16.69242620114573,6.335217325014632
155,6352,43.857655795191,40.94884133407556,17.236340554298625,6.574910797069162
160,6602,44.34877052163469,41.23104469555851,17.7778762124197,6.815492391654317
165,6851,44.784626765567275,41.4900331659431,18.3071553641726,7.053633097239224
170,7100,45.18563386837877,41.73393668296969,18.8276863010245,7.2904544671189715
175,7350,45.55457821354717,41.969588736234016,19.339613618249363,7.525963810613896
180,7599,45.91001451470257,42.1865548558205,19.84638523040718,7.761276426948613
185,7848,46.22104058126296,42.39185036795303,20.341474935335874,7.994177345223449
190,8096,46.49120725953184,42.58092479621047,20.82507581797854,8.224679926612222
195,8347,46.771754837040355,42.77582636855387,21.30729489957189,8.456121549462878
200,8596,47.02987106876485,42.950983950816294,21.781543600807026,8.686280950544948
205,8845,47.23536723193987,43.11753472175748,22.241342242012408,8.91294917276388
210,9094,47.456415063245075,43.27621812796466,22.70015249861522,9.140577679377301
215,9344,47.643797768729215,43.43198148146058,23.148073579468985,9.365837059066648
220,9593,47.81619818030803,43.57626483777924,23.588591176053583,9.589848467554189
225,9842,47.95882309898678,43.71416265570339,24.018521947964967,9.811510788391052
230,10090,48.10603547587826,43.84172896245377,24.444652298494983,10.033053096677914
235,10340,48.25746851807571,43.97241782788651,24.86704504308393,10.25447605730254
240,10589,48.36481140859153,44.0932897666973,25.27584483121717,10.472456240272058
245,10839,48.49555386960904,44.21348180158792,25.684499171645893,10.691444840694048
250,11086,48.58386050647483,44.316747992648715,26.07978763146649,10.907004150186461
255,11337,48.69708876864617,44.431770132062,26.475153966196512,11.12358528913837
260,11585,48.753290447612684,44.530795166876175,26.854068342498543,11.33564244446415
265,11835,48.884954073809304,44.63367092511937,27.243248361212594,11.55206492291288
270,12086,48.95811710647893,44.73631392333716,27.616078672308596,11.763964296738784
275,12334,49.02543034604397,44.82439625611588,27.982746640390946,11.974689715826026
280,12583,49.07137039906225,44.912829177864786,28.34004841079504,12.183139653663273
285,12832,49.1616106394719,44.998199460818235,28.701361630094418,12.393758838358593
290,13082,49.18067120033907,45.08384931906718,29.04348003022104,12.598779039161533
295,13332,49.230189997052875,45.16677597678501,29.38655512904405,12.804879457688001
300,13580,49.29174060646271,45.240402476023526,29.727265404489188,13.010946078968596
305,13830,49.3643610179414,45.31811955567604,30.065649943648857,13.216979090245202
