# time,value
10,0
15,64
20,129
25,372
30,580
35,1033
40,1444
45,1850
50,2351
55,2789
60,3292
65,3696
70,4140
75,4600
80,5056
85,5502
90,5904
95,6303
100,6761
105,7161
110,7624
115,8054
120,8503
125,9011
130,9500
135,9991
140,10474
145,11009
150,11505
155,12010
160,12482
165,12984
170,13411
175,13862
180,14305
185,14730
190,15158
195,15625
200,16150
205,16543
210,17000
215,17477
220,17940
225,18347
230,18814
235,19264
240,19704
245,20133
250,20529
255,20989
260,21443
265,21894
270,22267
275,22706
280,23120
285,23525
290,23947
295,24359
300,24804
305,25292
310,25749
315,26186
320,26703
325,27234
330,27768
335,28319
340,28789
345,29270
350,29710
355,30100
360,30511
365,30971
370,31494
375,32025
380,32520
385,33022
390,33467
395,33915
400,34317
405,34738
410,35141
415,35571
420,35977
425,36383
430,36836
435,37324
440,37799
445,38299
450,38779
455,39270
460,39808
465,40258
470,40770
475,41236
480,41681
485,42116
490,42493
495,42964
500,43421
505,43899
510,44382
515,44834
520,45303
525,45863
530,46371
535,46922
540,47360
545,47793
550,48228
555,48663
560,49139
565,49653
570,50080
575,50523
580,50983
585,51437
590,51880
595,52304
600,52715
605,53106
610,53565
615,53985
620,54400
625,54831
630,55280
635,55708
640,56172
645,56722
650,57143
655,57579
660,58004
665,58472
670,58893
675,59360
680,59867
685,60308
690,60750
695,61185
700,61664
705,62052
710,62486
715,62970
720,63479
725,63936
730,64370
735,64875
740,65331
745,65840
750,66309
755,66761
760,67210
765,67663
770,68070
775,68506
780,68923
785,69352
790,69829
795,70338
800,70805
805,71270
810,71737
815,72190
820,72632
825,73093
830,73533
835,74008
840,74489
845,74962
850,75452
855,75903
860,76348
865,76902
870,77401
875,77878
880,78338
885,78843
890,79292
895,79731
900,80270
905,80740
910,81155
915,81657
920,82146
925,82584
930,83036
935,83550
940,84035
945,84571
950,85038
955,85512
960,86019
965,86483
970,86940
975,87434
980,87875
985,88338
990,88810
995,89265
1000,89775
1005,90239
1010,90675
1015,91098
1020,91564
1025,91978
1030,92456
1035,92925
1040,93408
1045,93858
1050,94335
1055,94757
1060,95173
1065,95607
1070,96101
1075,96917
1080,97732
1085,98897
1090,99940
1095,101041
1100,102167
1105,103401
1110,104607
1115,105787
1120,106918
1125,108093
1130,109342
1135,110541
1140,111703
1145,112892
1150,114102
1155,115345
1160,116505
1165,117728
1170,119032
1175,120229
1180,121302
1185,122415
1190,123653
1195,124779
1200,126000
1205,127165
1210,128263
1215,129377
1220,130567
1225,131751
1230,132871
1235,134068
1240,135216
1245,136429
1250,137597
1255,138755
1260,139891
1265,140969
1270,142162
1275,143286
1280,144351
1285,145435
1290,146539
1295,147695
1300,148788
1305,149964
1310,151101
1315,152238
1320,153339
1325,154489
1330,155645
1335,156814
1340,157994
1345,159166
1350,160320
1355,161513
1360,162564
1365,163757
1370,164892
1375,166049
1380,167176
1385,168286
1390,169399
1395,170540
1400,171719
1405,172879
1410,174118
1415,175300
1420,176565
1425,177816
1430,178973
1435,180139
1440,181301
1445,182491
1450,183535
1455,184618
1460,185838
1465,187001
1470,188234
1475,189421
1480,190614
1485,191856
1490,193106
1495,194260
1500,195560
1505,196716
1510,197952
1515,199108
1520,200208
1525,201318
1530,202511
1535,203599
1540,204776
1545,205937
1550,207171
1555,208354
1560,209551
1565,210756
1570,211950
1575,213065
1580,214236
1585,215460
1590,216791
1595,217891
1600,219067
1605,220200
1610,221408
1615,222566
1620,223660
1625,224827
1630,225959
1635,227075
1640,228315
1645,229468
1650,230588
1655,231795
1660,232857
1665,233909
1670,235026
1675,236147
1680,237139
1685,238219
1690,239378
1695,240505
1700,241591
1705,242764
1710,243857
1715,245058
1720,246310
1725,247444
1730,248662
1735,249946
1740,251028
1745,252301
1750,253463
1755,254489
1760,255714
1765,257059
1770,258340
1775,259577
1780,260700
1785,261894
1790,263090
1795,264261
1800,265397
1805,266614
1810,267814
1815,268997
1820,270090
1825,271204
1830,272453
1835,273597
1840,274739
1845,276416
1850,278065
1855,279850
1860,281320
1865,283001
1870,284707
1875,286312
1880,287996
1885,289638
1890,291274
1895,293078
1900,294773
1905,296572
1910,298237
1915,300051
1920,301831
1925,303664
1930,305351
1935,307018
1940,308851
1945,310564
1950,312316
1955,313915
1960,315531
1965,317018
1970,318684
1975,320395
1980,322003
1985,323587
1990,325224
1995,326776
2000,328432
2005,330004
2010,331637
2015,333209
2020,334823
2025,336507
2030,338297
2035,339932
2040,341526
2045,343241
2050,344804
2055,346328
2060,347917
2065,349473
2070,351232
2075,352877
2080,354534
2085,356191
2090,357842
2095,359335
2100,360909
2105,362336
2110,363817
2115,365401
2120,366916
2125,368446
2130,369947
2135,371476
2140,372906
2145,374240
2150,375717
2155,377160
2160,378628
2165,380212
2170,381893
2175,383792
2180,385560
2185,387207
2190,388801
2195,390297
2200,391803
2205,393517
2210,395042
2215,396715
2220,398322
2225,400018
2230,401751
2235,403482
2240,405113
2245,406662
2250,408326
2255,410024
2260,411776
2265,413350
2270,415159
2275,416687
2280,418321
2285,420012
2290,421612
2295,423398
2300,425129
2305,426969
2310,428704
2315,430420
2320,432040
2325,433821
2330,435326
2335,436786
2340,438506
2345,440276
2350,442005
2355,443774
2360,445585
2365,447258
2370,449010
2375,450841
2380,452546
2385,454151
2390,455692
2395,457354
2400,458928
2405,460515
2410,462201
2415,464010
2420,465642
2425,467319
2430,468869
2435,470410
2440,472054
2445,473752
2450,475348
2455,476804
2460,478563
2465,480122
2470,481633
2475,482931
2480,484586
2485,486101
2490,487784
2495,489450
2500,490978
2505,492504
2510,494223
2515,495804
2520,497604
2525,499070
2530,500573
2535,502328
2540,504161
2545,505732
2550,507314
2555,508820
2560,510601
2565,512197
2570,513725
2575,515465
2580,517240
2585,518867
2590,520500
2595,522049
2600,523751
2605,525332
2610,527053
2615,528777
2620,530540
2625,532198
2630,534011
2635,535687
2640,537383
2645,539112
2650,540923
2655,542681
2660,544465
2665,546144
2670,547875
2675,549367
2680,551094
2685,552779
2690,554394
2695,556095
2700,557827
2705,559437
2710,561091
2715,562724
2720,564347
2725,565950
2730,567589
2735,569234
2740,570931
2745,572595
2750,574258
2755,575916
2760,577579
2765,579159
2770,580834
2775,582566
2780,584244
2785,585918
2790,587638
2795,589397
2800,591207
2805,592816
2810,594546
2815,596272
2820,597923
2825,599584
2830,601161
2835,602797
2840,604500
2845,606135
2850,607875
2855,609531
2860,611201
2865,612866
2870,614528
2875,616187
2880,617947
2885,619596
2890,621274
2895,622977
2900,624568
2905,626239
2910,627962
2915,629551
2920,631042
2925,632592
2930,634397
2935,635933
2940,637519
2945,639235
2950,641016
2955,642838
2960,644576
2965,646388
2970,648133
2975,649858
2980,651489
2985,653065
2990,654773
2995,656534
3000,658348
3005,660103
3010,661786
3015,663392
3020,665047
3025,666712
3030,668338
3035,669987
3040,671679
3045,673418
3050,675089
3055,676727
3060,678357
3065,679867
3070,681453
3075,683103
3080,684714
3085,686265
3090,687996
3095,689626
3100,691363
3105,693139
3110,694675
3115,696414
3120,698200
3125,699792
3130,701563
3136,703302
3141,705055
3146,706701
3151,708344
3156,709950
3161,711428
3166,713057
3171,714666
3176,715835
3181,717060
3186,717850
3191,718653
3196,719517
3201,720248
3206,721086
3211,721948
3216,722726
3221,723490
3226,724261
3231,725071
3236,725877
3241,726625
3246,727451
3251,728348
3256,729157
3261,729857
3266,730579
3271,731333
3276,731944
3281,732767
3286,733621
3291,734554
3296,735442
3301,736277
3306,737188
3311,738022
3316,738840
3321,739649
3326,740444
3331,741334
3336,742176
3341,743036
3346,743775
3351,744629
3356,745500
3361,746442
3366,747374
3371,748054
3376,748823
3381,749700
3386,750566
3391,751415
3396,752249
3401,753097
3406,753969
3411,754809
3416,755772
3421,756619
3426,757446
3431,758359
3436,759191
3441,759987
3446,760841
3451,761636
3456,762483
3461,763270
3466,764162
3471,764914
3476,765687
3481,766489
3486,767340
3491,768198
3496,769030
3501,769877
3506,770745
3511,771564
3516,772354
3521,773232
3526,774083
3531,774928
3536,775770
3541,776615
3546,777478
3551,778331
3556,779211
3561,780017
3566,780828
3571,781715
3576,782587
3581,783453
3586,784311
3591,785119
3596,785906
3601,786738
3606,787596
3611,788385
3616,789298
3621,790170
3626,790990
3631,791806
3636,792634
3641,793541
3646,794436
3651,795309
3656,796200
3661,797162
3666,798078
3671,798983
3676,799797
3681,800645
3686,801510
3691,802407
3696,803278
3701,804113
3706,804926
3711,805898
3716,806765
3721,807702
3726,808567
3731,809453
3736,810239
3741,811070
3746,811943
3751,812814
3756,813630
3761,814595
3766,815400
3771,816230
3776,817080
3781,817918
3786,818731
3791,819568
3796,820334
3801,821152
3806,821962
3811,822625
3816,823419
3821,824286
3826,825090
3831,825899
3836,826659
3841,827629
3846,828518
3851,829445
3856,830315
3861,831198
3866,832007
3871,832851
3876,833708
3881,834491
3886,835402
3891,836290
3896,837060
3901,837774
3906,838571
3911,839284
3916,840011
3921,840693
3926,841491
3931,842206
3936,842931
3941,843702
3946,844519
3951,845274
3956,846144
3961,846879
3966,847684
3971,848505
3976,849175
3981,849943
3986,850720
3991,851473
3996,852284
4001,853021
4006,853769
4011,854476
4016,855313
4021,856018
4026,856860
4031,857703
4036,858531
4041,859461
4046,860427
4051,861399
4056,862313
4061,863140
4066,863899
4071,864809
4076,865693
4081,866539
4086,867399
4091,868175
4096,869015
4101,869869
4106,870721
4111,871634
4116,872473
4121,873301
4126,874042
4131,874890
4136,875718
4141,876438
4146,877260
4151,878130
4156,878960
4161,879858
4166,880676
4171,881500
4176,882328
4181,883235
4186,884064
4191,884976
4196,885883
4201,886689
4206,887525
