# time,value
30,0
35,227
40,480
45,730
50,979
55,1228
60,1438
65,1722
70,1992
75,2240
80,2490
85,2740
90,2988
95,3237
100,3486
105,3736
110,3985
115,4234
120,4483
125,4732
130,4981
135,5234
140,5483
145,5732
150,5981
155,6229
160,6480
165,6728
170,6978
175,7228
180,7477
185,7725
190,7975
195,8225
200,8474
205,8723
210,8973
215,9221
220,9472
225,9720
230,9968
235,10220
240,10468
245,10718
250,10967
255,11215
260,11465
265,11713
270,11964
275,12213
280,12459
285,12712
290,12962
295,13208
300,13460
305,13709
310,13958
315,14201
320,14457
325,14704
330,14954
335,15205
340,15439
345,15703
350,15952
355,16203
360,16450
365,16700
370,16951
375,17200
380,17449
385,17698
390,17948
395,18197
400,18445
405,18691
410,18946
415,19187
420,19443
425,19693
430,19942
435,20193
440,20442
445,20688
450,20938
455,21189
460,21437
465,21687
470,21937
475,22187
480,22436
485,22686
490,22932
495,23179
500,23429
505,23681
510,23930
515,24179
520,24411
525,24673
530,24926
535,25170
540,25426
545,25676
550,25926
555,26175
560,26423
565,26673
570,26910
575,27171
580,27419
585,27670
590,27919
595,28168
600,28418
605,28665
610,28916
615,29166
620,29415
625,29652
630,29912
635,30153
640,30413
645,30662
650,30909
655,31159
660,31409
665,31653
670,31897
675,32158
680,32407
685,32657
690,32905
695,33150
700,33403
705,33651
710,33902
715,34152
720,34383
725,34646
730,34900
735,35108
740,35399
745,35649
750,35898
755,36147
760,36396
765,36638
770,36895
775,37140
780,37390
785,37642
790,37892
795,38141
800,38389
805,38639
810,38886
815,39136
820,39387
825,39635
830,39885
835,40133
840,40385
845,40629
850,40884
855,41133
860,41382
865,41628
870,41879
875,42130
880,42378
885,42622
890,42878
895,43127
900,43370
905,43626
910,43876
915,44115
920,44372
925,44617
930,44873
935,45120
940,45369
945,45604
950,45846
955,46110
960,46366
965,46617
970,46867
975,47114
980,47367
985,47617
990,47860
995,48113
1000,48364
1005,48614
1010,48859
1015,49112
1020,49363
1025,49611
1030,49862
1035,50110
1040,50353
1045,50610
1050,50859
1055,51108
1060,51358
1065,51600
1070,51857
1075,52100
1080,52355
1085,52605
1090,52852
1095,53103
1100,53352
1105,53602
1110,53851
1115,54100
1120,54350
1125,54600
1130,54849
1135,55098
1140,55348
1145,55598
1150,55847
1155,56098
1160,56346
1165,56596
1170,56844
1175,57094
1180,57343
1185,57592
1190,57842
1195,58086
1200,58339
1205,58590
1210,58832
1215,59089
1220,59338
1225,59582
1230,59837
1235,60086
1240,60333
1245,60584
1250,60835
1255,61082
1260,61333
1265,61582
1270,61830
1275,62077
1280,62328
1285,62580
1290,62828
1295,63079
1300,63322
1305,63575
1310,63826
1315,64077
1320,64326
1325,64574
1330,64824
1335,65069
1340,65322
1345,65574
1350,65818
1355,66071
1360,66318
1365,66570
1370,66819
1375,67069
1380,67318
1385,67566
1390,67816
1395,68062
1400,68316
1405,68565
1410,68815
1415,69063
1420,69313
1425,69560
1430,69812
1435,70059
1440,70313
1445,70561
1450,70812
1455,71060
1460,71310
1465,71555
1470,71809
1475,72057
1480,72301
1485,72563
1490,72847
1495,73129
1500,73443
1505,73752
1510,74099
1515,74455
1520,74862
1525,75219
1530,75573
1535,75965
1540,76330
1545,76697
1550,77089
1555,77459
1560,77819
1565,78204
1570,78562
1575,78921
1580,79283
1585,79648
1590,80028
1595,80411
1600,80774
1605,81174
1610,81558
1615,81944
1620,82316
1625,82692
1630,83064
1635,83443
1640,83827
1645,84189
1650,84502
1655,84895
1660,85267
1665,85618
1670,85950
1675,86349
1680,86713
1685,87081
1690,87463
1695,87843
1700,88252
1705,88593
1710,88921
1715,89270
1720,89628
1725,89979
1730,90333
1735,90698
1740,91079
1745,91411
1750,91783
1755,92125
1760,92464
1765,92790
1770,93144
1775,93484
1780,93810
1785,94178
1790,94526
1795,94844
1800,95209
1805,95549
1810,95902
1815,96267
1820,96646
1825,97025
1830,97388
1835,97748
1840,98126
1845,98501
1850,98869
1855,99269
1860,99644
1865,100025
1870,100401
1875,100751
1880,101098
1885,101441
1890,101814
1895,102138
1900,102453
1905,102813
1910,103136
1915,103512
1920,103866
1925,104236
1930,104605
1935,104905
1940,105269
1945,105607
1950,105984
1955,106342
1960,106700
1965,107041
1970,107384
1975,107752
1980,108123
1985,108506
1990,108890
1995,109256
2000,109607
2005,109992
2010,110379
2015,110728
2020,111073
2025,111414
2030,111786
2035,112068
2040,112402
2045,112781
2050,113196
2055,113566
2060,113944
2065,114318
2070,114681
2075,115070
2080,115440
2085,115812
2090,116170
2095,116551
2100,116959
2105,117347
2110,117709
2115,118078
2120,118468
2125,118868
2130,119241
2135,119632
2140,120001
2145,120396
2150,120766
2155,121140
2160,121475
2165,121847
2170,122194
2175,122465
2180,122845
2185,123248
2190,123612
2195,123987
2200,124284
2205,124657
2210,125023
2215,125307
2220,125677
2225,126047
2230,126406
2235,126791
2240,127140
2245,127512
2250,127899
2255,128253
2260,128578
2265,128952
2270,129307
2275,129657
2280,130023
2285,130390
2290,130735
2295,131122
2300,131491
2305,131846
2310,132192
2315,132568
2320,132893
2325,133235
2330,133573
2335,133936
2340,134279
2345,134630
2350,134996
2355,135343
2360,135683
2365,135996
2370,136330
2375,136652
2380,137005
2385,137321
2390,137652
2395,138028
2400,138341
2405,138703
2410,139113
2415,139534
2420,139911
2425,140278
2430,140661
2435,141052
2440,141435
2445,141812
2450,142127
2455,142501
2460,142900
2465,143284
2470,143677
2475,144049
2480,144421
2485,144796
2490,145180
2495,145549
2500,145948
2505,146316
2510,146707
2515,147090
2520,147472
2525,147698
2530,148044
2535,148415
2540,148775
2545,149160
2550,149520
2555,149890
2560,150224
2565,150595
2570,150933
2575,151279
2580,151648
2585,152011
2590,152400
2595,152729
2600,153111
2605,153466
2610,153819
2615,154166
2620,154521
2625,154853
2630,155225
2635,155621
2640,155887
2645,156249
2650,156627
2655,157038
2660,157416
2665,157805
2670,158192
2675,158562
2680,158940
2685,159325
2690,159646
2695,160003
2700,160375
2705,160738
2710,161108
2715,161474
2720,161861
2725,162243
2730,162589
2735,162932
2740,163322
2745,163686
2750,164002
2755,164364
2760,164753
2765,165130
2770,165506
2775,165853
2780,166207
2785,166531
2790,166903
2795,167271
2800,167651
2805,167980
2810,168359
2815,168707
2820,169115
2825,169494
2830,169842
2835,170128
2840,170491
2845,170836
2850,171208
2855,171543
2860,171928
2865,172273
2870,172640
2875,173026
2880,173419
2885,173776
2890,174140
2895,174491
2900,174833
2905,175176
2910,175509
2915,175845
2920,176198
2925,176502
2930,176866
2935,177269
2940,177668
2945,178040
2950,178419
2955,178830
2960,179220
2965,179605
2970,179958
2975,180285
2980,180671
2985,181050
2990,181483
2995,181894
3000,182283
3005,182717
3010,183138
3015,183490
3020,183925
3025,184341
3030,184710
3035,185039
3040,185427
3045,185783
3050,186135
3055,186485
3060,186841
3065,187200
3070,187570
3075,187931
3080,188332
3085,188739
3090,189149
3095,189469
3100,189841
3105,190200
3110,190609
3115,190976
3121,191321
3126,191727
3131,192062
3136,192440
3141,192772
3146,193151
3151,193554
3156,193926
3161,194306
3166,194706
3171,195060
3176,195427
3181,195789
3186,196176
3191,196559
3196,196939
3201,197290
3206,197671
3211,198063
3216,198460
3221,198840
3226,199178
3231,199582
3236,199872
3241,200200
3246,200560
3251,200872
3256,201226
3261,201590
3266,201948
3271,202332
3276,202682
3281,203062
3286,203435
3291,203790
3296,204161
3301,204541
3306,204915
3311,205316
3316,205610
3321,205980
3326,206319
3331,206668
3336,207014
3341,207374
3346,207705
3351,208043
3356,208412
3361,208769
3366,209134
3371,209472
3376,209860
3381,210263
3386,210602
3391,210954
3396,211325
3401,211713
3406,212051
3411,212430
3416,212797
3421,213188
3426,213530
3431,213909
3436,214292
3441,214685
3446,215057
3451,215425
3456,215784
3461,216119
3466,216455
3471,216798
3476,217169
3481,217524
3486,217870
3491,218257
3496,218644
3501,218999
3506,219324
3511,219737
3516,220091
3521,220423
3526,220797
3531,221150
3536,221528
3541,221889
3546,222273
3551,222631
3556,222993
3561,223337
3566,223668
3571,223996
3576,224319
3581,224679
3586,225015
3591,225377
3596,225702
3601,226088
3606,226442
3611,226815
3616,227174
3621,227535
3626,227887
3631,228244
3636,228608
3641,228986
3646,229388
3651,229748
3656,230098
3661,230469
3666,230830
