# time,value
30,0
35,227
40,480
45,730
50,979
55,1228
60,1439
65,1722
70,2147
75,2425
80,2725
85,3011
90,3310
95,3602
100,3874
105,4156
110,4436
115,4716
120,4996
125,5275
130,5560
135,5864
140,6149
145,6440
150,6729
155,7015
160,7311
165,7592
170,7877
175,8170
180,8458
185,8749
190,9043
195,9327
200,9620
205,9918
210,10210
215,10499
220,10790
225,11064
230,11330
235,11600
240,11862
245,12131
250,12389
255,12655
260,12912
265,13165
270,13419
275,13671
280,13932
285,14187
290,14436
295,14682
300,14934
305,15183
310,15432
315,15675
320,15931
325,16178
330,16428
335,16679
340,16913
345,17177
350,17426
355,17677
360,17924
365,18174
370,18425
375,18674
380,18923
385,19172
390,19422
395,19671
400,19919
405,20165
410,20420
415,20661
420,20917
425,21167
430,21416
435,21667
440,21916
445,22162
450,22412
455,22663
460,22911
465,23161
470,23411
475,23661
480,23910
485,24160
490,24406
495,24653
500,24903
505,25155
510,25404
515,25653
520,25885
525,26147
530,26400
535,26644
540,26900
545,27150
550,27400
555,27649
560,27897
565,28147
570,28384
575,28645
580,28893
585,29144
590,29393
595,29642
600,29892
605,30139
610,30390
615,30640
620,30889
625,31126
630,31386
635,31627
640,31888
645,32136
650,32383
655,32633
660,32883
665,33127
670,33371
675,33632
680,33881
685,34131
690,34379
695,34624
700,34877
705,35125
710,35376
715,35626
720,35857
725,36120
730,36374
735,36582
740,36873
745,37123
750,37372
755,37621
760,37870
765,38112
770,38369
775,38614
780,38864
785,39116
790,39366
795,39615
800,39863
805,40113
810,40360
815,40610
820,40861
825,41109
830,41359
835,41607
840,41859
845,42103
850,42358
855,42607
860,42856
865,43102
870,43353
875,43604
880,43852
885,44096
890,44352
895,44601
900,44844
905,45100
910,45350
915,45589
920,45846
925,46091
930,46347
935,46594
940,46843
945,47078
950,47320
955,47584
960,47841
965,48091
970,48341
975,48588
980,48841
985,49091
990,49334
995,49587
1000,49838
1005,50088
1010,50333
1015,50586
1020,50837
1025,51085
1030,51336
1035,51584
1040,51827
1045,52084
1050,52333
1055,52582
1060,52832
1065,53074
1070,53331
1075,53574
1080,53829
1085,54079
1090,54326
1095,54577
1100,54826
1105,55076
1110,55325
1115,55574
1120,55824
1125,56074
1130,56323
1135,56572
1140,56822
1145,57073
1150,57321
1155,57572
1160,57820
1165,58070
1170,58318
1175,58568
1180,58817
1185,59066
1190,59316
1195,59560
1200,59813
1205,60064
1210,60306
1215,60563
1220,60812
1225,61056
1230,61311
1235,61560
1240,61807
1245,62058
1250,62309
1255,62556
1260,62807
1265,63056
1270,63304
1275,63551
1280,63802
1285,64054
1290,64302
1295,64553
1300,64796
1305,65049
1310,65300
1315,65551
1320,65800
1325,66048
1330,66298
1335,66543
1340,66796
1345,67048
1350,67293
1355,67545
1360,67792
1365,68044
1370,68293
1375,68543
1380,68792
1385,69040
1390,69290
1395,69536
1400,69790
1405,70039
1410,70289
1415,70537
1420,70787
1425,71034
1430,71286
1435,71533
1440,71787
1445,72035
1450,72286
1455,72535
1460,72784
1465,73029
1470,73283
1475,73531
1480,73775
1485,74037
1490,74321
1495,74603
1500,74917
1505,75226
1510,75573
1515,75929
1520,76336
1525,76693
1530,77047
1535,77439
1540,77804
1545,78171
1550,78563
1555,78933
1560,79293
1565,79678
1570,80036
1575,80395
1580,80757
1585,81122
1590,81502
1595,81885
1600,82248
1605,82648
1610,83032
1615,83418
1620,83790
1625,84166
1630,84538
1635,84917
1640,85301
1645,85663
1650,85976
1655,86369
1660,86741
1665,87092
1670,87424
1675,87823
1680,88187
1685,88555
1690,88938
1695,89317
1700,89726
1705,90067
1710,90395
1715,90744
1720,91102
1725,91453
1730,91807
1735,92172
1740,92553
1745,92885
1750,93257
1755,93599
1760,93938
1765,94264
1770,94618
1775,94958
1780,95284
1785,95652
1790,96000
1795,96318
1800,96683
1805,97023
1810,97376
1815,97741
1820,98120
1825,98499
1830,98862
1835,99222
1840,99600
1845,99975
1850,100343
1855,100743
1860,101118
1865,101499
1870,101875
1875,102225
1880,102572
1885,102915
1890,103288
1895,103612
1900,103927
1905,104287
1910,104610
1915,104986
1920,105340
1925,105710
1930,106079
1935,106379
1940,106743
1945,107081
1950,107458
1955,107816
1960,108174
1965,108515
1970,108858
1975,109226
1980,109597
1985,109980
1990,110364
1995,110730
2000,111081
2005,111466
2010,111853
2015,112202
2020,112547
2025,112888
2030,113260
2035,113542
2040,113876
2045,114255
2050,114671
2055,115040
2060,115418
2065,115792
2070,116155
2075,116544
2080,116914
2085,117287
2090,117644
2095,118026
2100,118433
2105,118821
2110,119183
2115,119552
2120,119942
2125,120342
2130,120715
2135,121106
2140,121476
2145,121870
2150,122240
2155,122614
2160,122949
2165,123321
2170,123668
2175,123939
2180,124319
2185,124723
2190,125086
2195,125461
2200,125758
2205,126131
2210,126497
2215,126781
2220,127151
2225,127521
2230,127880
2235,128265
2240,128614
2245,128986
2250,129374
2255,129727
2260,130053
2265,130426
2270,130781
2275,131131
2280,131497
2285,131864
2290,132209
2295,132596
2300,132965
2305,133320
2310,133666
2315,134042
2320,134367
2325,134709
2330,135047
2335,135410
2340,135753
2345,136104
2350,136470
2355,136817
2360,137157
2365,137470
2370,137804
2375,138126
2380,138479
2385,138795
2390,139126
2395,139502
2400,139815
2405,140177
2410,140587
2415,141008
2420,141385
2425,141752
2430,142135
2435,142526
2440,142909
2445,143286
2450,143601
2455,143975
2460,144374
2465,144758
2470,145151
2475,145523
2480,145895
2485,146270
2490,146654
2495,147023
2500,147422
2505,147790
2510,148181
2515,148564
2520,148946
2525,149172
2530,149518
2535,149889
2540,150249
2545,150634
2550,150994
2555,151364
2560,151698
2565,152069
2570,152407
2575,152753
2580,153123
2585,153485
2590,153874
2595,154203
2600,154585
2605,154940
2610,155293
2615,155640
2620,155995
2625,156327
2630,156699
2635,157095
2640,157361
2645,157723
2650,158101
2655,158512
2660,158891
2665,159279
2670,159666
2675,160036
2680,160415
2685,160799
2690,161120
2695,161477
2700,161849
2705,162212
2710,162582
2715,162948
2720,163335
2725,163717
2730,164063
2735,164406
2740,164796
2745,165160
2750,165476
2755,165838
2760,166227
2765,166604
2770,166980
2775,167327
2780,167681
2785,168005
2790,168378
2795,168745
2800,169125
2805,169454
2810,169833
2815,170181
2820,170589
2825,170968
2830,171316
2835,171602
2840,171965
2845,172310
2850,172682
2855,173017
2860,173402
2865,173747
2870,174114
2875,174500
2880,174894
2885,175250
2890,175615
2895,175965
2900,176307
2905,176650
2910,176983
2915,177319
2920,177672
2925,177976
2930,178340
2935,178743
2940,179142
2945,179514
2950,179893
2955,180304
2960,180694
2965,181079
2970,181432
2975,181759
2980,182145
2985,182525
2990,182957
2995,183368
3000,183757
3005,184191
3010,184612
3015,184964
3020,185399
3025,185815
3030,186184
3035,186513
3040,186901
3045,187257
3050,187609
3055,187959
3060,188315
3065,188674
3070,189045
3075,189405
3080,189806
3085,190213
3090,190623
3095,190943
3100,191315
3105,191674
3110,192083
3115,192450
3121,192795
3126,193201
3131,193536
3136,193914
3141,194246
3146,194625
3151,195028
3156,195400
3161,195780
3166,196180
3171,196534
3176,196901
3181,197263
3186,197650
3191,198033
3196,198413
3201,198764
3206,199145
3211,199537
3216,199934
3221,200314
3226,200652
3231,201056
3236,201346
3241,201674
3246,202034
3251,202346
3256,202700
3261,203064
3266,203422
3271,203806
3276,204156
3281,204536
3286,204909
3291,205264
3296,205635
3301,206015
3306,206389
3311,206790
3316,207084
3321,207454
3326,207793
3331,208142
3336,208488
3341,208848
3346,209179
3351,209517
3356,209886
3361,210243
3366,210608
3371,210946
3376,211334
3381,211737
3386,212076
3391,212428
3396,212799
3401,213187
3406,213525
3411,213904
3416,214272
3421,214662
3426,215004
3431,215383
3436,215766
3441,216159
3446,216531
3451,216899
3456,217258
3461,217593
3466,217929
3471,218272
3476,218643
3481,218998
3486,219344
3491,219731
3496,220118
3501,220473
3506,220798
3511,221211
3516,221566
3521,221897
3526,222271
3531,222624
3536,223002
3541,223363
3546,223747
3551,224105
3556,224467
3561,224811
3566,225142
3571,225470
3576,225793
3581,226153
3586,226489
3591,226851
3596,227176
3601,227562
3606,227916
3611,228289
3616,228648
3621,229009
3626,229361
3631,229718
3636,230082
3641,230460
3646,230862
3651,231222
3656,231572
3661,231943
3666,232304
