# time,value
30,0
35,227
40,253
45,250
50,249
55,249
60,210
65,284
70,270
75,248
80,250
85,250
90,248
95,249
100,249
105,250
110,249
115,249
120,249
125,249
130,249
135,253
140,249
145,249
150,249
155,248
160,251
165,248
170,250
175,250
180,249
185,248
190,250
195,250
200,249
205,249
210,250
215,248
220,251
225,248
230,248
235,252
240,248
245,250
250,249
255,248
260,250
265,248
270,251
275,249
280,246
285,254
290,249
295,246
300,252
305,249
310,249
315,243
320,256
325,247
330,250
335,251
340,234
345,264
350,249
355,251
360,247
365,250
370,251
375,249
380,249
385,249
390,250
395,249
400,248
405,246
410,255
415,241
420,256
425,250
430,249
435,251
440,249
445,246
450,250
455,251
460,248
465,250
470,250
475,250
480,249
485,250
490,246
495,247
500,250
505,252
510,249
515,249
520,232
525,262
530,253
535,244
540,256
545,250
550,250
555,249
560,248
565,250
570,237
575,261
580,248
585,251
590,249
595,249
600,250
605,247
610,251
615,250
620,249
625,237
630,260
635,241
640,260
645,249
650,247
655,250
660,250
665,244
670,244
675,261
680,249
685,250
690,248
695,245
700,253
705,248
710,251
715,250
720,231
725,263
730,254
735,208
740,291
745,250
750,249
755,249
760,249
765,242
770,257
775,245
780,250
785,252
790,250
795,249
800,248
805,250
810,247
815,250
820,251
825,248
830,250
835,248
840,252
845,244
850,255
855,249
860,249
865,246
870,251
875,251
880,248
885,244
890,256
895,249
900,243
905,256
910,250
915,239
920,257
925,245
930,256
935,247
940,249
945,235
950,242
955,264
960,257
965,250
970,250
975,247
980,253
985,250
990,243
995,253
1000,251
1005,250
1010,245
1015,253
1020,251
1025,248
1030,251
1035,248
1040,243
1045,257
1050,249
1055,249
1060,250
1065,242
1070,257
1075,243
1080,255
1085,250
1090,247
1095,251
1100,249
1105,250
1110,249
1115,249
1120,250
1125,250
1130,249
1135,249
1140,250
1145,250
1150,249
1155,251
1160,248
1165,250
1170,248
1175,250
1180,249
1185,249
1190,250
1195,244
1200,253
1205,251
1210,242
1215,257
1220,249
1225,244
1230,255
1235,249
1240,247
1245,251
1250,251
1255,247
1260,251
1265,249
1270,248
1275,247
1280,251
1285,252
1290,248
1295,251
1300,243
1305,253
1310,251
1315,251
1320,249
1325,248
1330,250
1335,245
1340,253
1345,252
1350,245
1355,252
1360,247
1365,252
1370,249
1375,250
1380,249
1385,248
1390,250
1395,246
1400,254
1405,249
1410,250
1415,248
1420,250
1425,247
1430,252
1435,247
1440,254
1445,248
1450,251
1455,248
1460,250
1465,245
1470,254
1475,248
1480,244
1485,262
1490,284
1495,282
1500,314
1505,309
1510,347
1515,356
1520,407
1525,357
1530,354
1535,392
1540,365
1545,367
1550,392
1555,370
1560,360
1565,385
1570,358
1575,359
1580,362
1585,365
1590,380
1595,383
1600,363
1605,400
1610,384
1615,386
1620,372
1625,376
1630,372
1635,379
1640,384
1645,362
1650,313
1655,393
1660,372
1665,351
1670,332
1675,399
1680,364
1685,368
1690,382
1695,380
1700,409
1705,341
1710,328
1715,349
1720,358
1725,351
1730,354
1735,365
1740,381
1745,332
1750,372
1755,342
1760,339
1765,326
1770,354
1775,340
1780,326
1785,368
1790,348
1795,318
1800,365
1805,340
1810,353
1815,365
1820,379
1825,379
1830,363
1835,360
1840,378
1845,375
1850,368
1855,400
1860,375
1865,381
1870,376
1875,350
1880,347
1885,343
1890,373
1895,324
1900,315
1905,360
1910,323
1915,376
1920,354
1925,370
1930,369
1935,300
1940,364
1945,338
1950,377
1955,358
1960,358
1965,341
1970,343
1975,368
1980,371
1985,383
1990,384
1995,366
2000,351
2005,385
2010,387
2015,349
2020,345
2025,341
2030,372
2035,282
2040,334
2045,379
2050,415
2055,370
2060,378
2065,374
2070,363
2075,389
2080,370
2085,372
2090,358
2095,381
2100,408
2105,388
2110,362
2115,369
2120,390
2125,400
2130,373
2135,391
2140,369
2145,395
2150,370
2155,374
2160,335
2165,372
2170,347
2175,271
2180,380
2185,403
2190,364
2195,375
2200,297
2205,373
2210,366
2215,284
2220,370
2225,370
2230,359
2235,385
2240,349
2245,372
2250,387
2255,354
2260,325
2265,374
2270,355
2275,350
2280,366
2285,367
2290,345
2295,387
2300,369
2305,355
2310,346
2315,376
2320,325
2325,342
2330,338
2335,363
2340,343
2345,351
2350,366
2355,347
2360,340
2365,313
2370,334
2375,322
2380,353
2385,316
2390,331
2395,376
2400,313
2405,362
2410,410
2415,421
2420,377
2425,367
2430,383
2435,391
2440,383
2445,377
2450,315
2455,374
2460,399
2465,384
2470,393
2475,372
2480,372
2485,375
2490,384
2495,369
2500,399
2505,368
2510,391
2515,383
2520,382
2525,226
2530,346
2535,371
2540,360
2545,385
2550,360
2555,370
2560,334
2565,371
2570,338
2575,346
2580,369
2585,363
2590,389
2595,329
2600,382
2605,355
2610,353
2615,347
2620,355
2625,332
2630,372
2635,396
2640,266
2645,362
2650,378
2655,411
2660,378
2665,389
2670,387
2675,370
2680,378
2685,385
2690,321
2695,357
2700,372
2705,363
2710,370
2715,366
2720,387
2725,382
2730,346
2735,343
2740,390
2745,364
2750,316
2755,362
2760,389
2765,377
2770,376
2775,347
2780,354
2785,324
2790,372
2795,368
2800,380
2805,329
2810,379
2815,348
2820,408
2825,379
2830,348
2835,286
2840,363
2845,345
2850,372
2855,335
2860,385
2865,345
2870,367
2875,386
2880,393
2885,357
2890,364
2895,351
2900,342
2905,343
2910,333
2915,336
2920,353
2925,304
2930,364
2935,403
2940,399
2945,372
2950,379
2955,411
2960,390
2965,385
2970,353
2975,327
2980,386
2985,379
2990,433
2995,411
3000,389
3005,434
3010,421
3015,352
3020,435
3025,416
3030,369
3035,329
3040,388
3045,356
3050,352
3055,350
3060,356
3065,359
3070,370
3075,361
3080,401
3085,407
3090,410
3095,320
3100,372
3105,359
3110,409
3115,367
3121,345
3126,406
3131,335
3136,378
3141,332
3146,379
3151,403
3156,372
3161,380
3166,400
3171,354
3176,367
3181,362
3186,387
3191,383
3196,380
3201,351
3206,381
3211,392
3216,397
3221,380
3226,338
3231,404
3236,290
3241,328
3246,360
3251,312
3256,354
3261,364
3266,358
3271,384
3276,350
3281,380
3286,373
3291,355
3296,371
3301,380
3306,374
3311,401
3316,294
3321,370
3326,339
3331,349
3336,346
3341,360
3346,331
3351,338
3356,369
3361,357
3366,365
3371,338
3376,388
3381,403
3386,339
3391,352
3396,371
3401,388
3406,338
3411,379
3416,367
3421,391
3426,342
3431,379
3436,383
3441,393
3446,372
3451,368
3456,359
3461,335
3466,336
3471,343
3476,371
3481,355
3486,346
3491,387
3496,387
3501,355
3506,325
3511,413
3516,354
3521,332
3526,374
3531,353
3536,378
3541,361
3546,384
3551,358
3556,362
3561,344
3566,331
3571,328
3576,323
3581,360
3586,336
3591,362
3596,325
3601,386
3606,354
3611,373
3616,359
3621,361
3626,352
3631,357
3636,364
3641,378
3646,402
3651,360
3656,350
3661,371
3666,361
3671,355
3676,416
3681,370
3686,372
3691,338
3696,383
3701,335
3706,367
3711,376
3716,399
3721,361
3726,343
3731,409
3736,343
3741,346
3746,391
3751,366
3756,386
3761,356
3766,378
3771,356
3776,372
3781,371
3786,354
3791,372
3796,352
3801,352
3806,337
3811,329
3816,322
3821,371
3826,344
3831,393
3836,338
3841,350
3846,402
3851,349
3856,379
3861,405
3866,331
3871,344
3876,367
3881,392
3886,340
3891,355
3896,363
3901,389
3906,347
3911,379
3916,341
3921,384
3926,393
3931,391
3936,361
3941,375
3946,350
3951,374
3956,371
3961,348
3966,368
3971,360
3976,376
3981,370
3986,360
3991,369
3996,346
4001,377
4006,375
4011,340
4016,370
4021,344
4026,376
4031,362
4036,353
4041,351
4046,341
4051,350
4056,371
4061,375
4066,356
4071,380
4076,387
4081,408
4086,359
4091,396
4096,399
4101,411
4106,386
4111,364
4116,417
4121,387
4126,375
4131,401
4136,416
4141,355
4146,361
4151,368
4156,396
4161,384
4166,403
4171,372
4176,339
4181,382
4186,387
4191,379
4196,401
4201,416
4206,372
4211,378
4216,346
4221,357
4226,382
