"# time","value"
"10","0.0"
"15","12.8"
"20","13.0"
"25","32.8"
"30","32.8"
"35","51.6"
"40","51.6"
"45","51.6"
"50","53.4"
"55","53.4"
"60","53.4"
"65","53.4"
"70","53.4"
"75","53.4"
"80","53.4"
"85","53.4"
"90","53.4"
"95","53.4"
"100","53.4"
"105","53.4"
"110","53.4"
"115","53.4"
"120","53.4"
"125","53.4"
"130","53.4"
"135","53.4"
"140","53.4"
"145","54.6"
"150","54.6"
"155","54.6"
"160","54.6"
"165","55.8"
"170","55.8"
"175","55.8"
"180","55.8"
"185","55.8"
"190","55.8"
"195","55.8"
"200","58.2"
"205","58.2"
"210","58.2"
"215","58.2"
"220","58.2"
"225","58.2"
"230","58.2"
"235","58.2"
"240","58.2"
"245","58.2"
"250","58.2"
"255","58.2"
"260","58.2"
"265","58.2"
"270","58.2"
"275","58.2"
"280","58.2"
"285","58.2"
"290","58.2"
"295","58.2"
"300","58.2"
"305","58.2"
"310","58.2"
"315","58.2"
"320","59.4"
"325","59.4"
"330","59.4"
"335","59.4"
"340","59.4"
"345","59.4"
"350","59.4"
"355","59.4"
"360","59.4"
"365","59.4"
"370","59.4"
"375","59.4"
"380","59.4"
"385","59.4"
"390","59.4"
"395","59.4"
"400","59.4"
"405","59.4"
"410","59.4"
"415","59.4"
"420","59.4"
"425","59.4"
"430","59.4"
"435","59.4"
"440","59.4"
"445","59.4"
"450","59.4"
"455","59.4"
"460","59.4"
"465","59.4"
"470","59.4"
"475","59.4"
"480","59.4"
"485","59.4"
"490","59.4"
"495","59.4"
"500","59.4"
"505","59.4"
"510","59.4"
"515","59.4"
"520","59.4"
"525","60.0"
"530","60.0"
"535","60.0"
"540","60.0"
"545","60.0"
"550","60.0"
"555","60.0"
"560","60.0"
"565","60.0"
"570","60.0"
"575","60.0"
"580","60.0"
"585","60.0"
"590","60.0"
"595","60.0"
"600","60.0"
"605","60.0"
"610","60.0"
"615","60.0"
"620","60.0"
"625","60.0"
"630","60.0"
"635","60.0"
"640","60.0"
"645","60.0"
"650","60.0"
"655","60.0"
"660","60.0"
"665","60.0"
"670","60.0"
"675","60.0"
"680","60.0"
"685","60.0"
"690","60.0"
"695","60.0"
"700","60.0"
"705","60.0"
"710","60.0"
"715","60.0"
"720","60.0"
"725","60.0"
"730","60.0"
"735","60.0"
"740","60.0"
"745","60.0"
"750","60.0"
"755","60.0"
"760","60.0"
"765","60.0"
"770","60.0"
"775","60.0"
"780","60.0"
"785","60.0"
"790","60.0"
"795","60.0"
"800","60.0"
"805","60.0"
"810","60.0"
"815","60.0"
"820","60.0"
"825","60.0"
"830","60.0"
"835","60.0"
"840","60.0"
"845","60.0"
"850","60.0"
"855","60.0"
"860","60.0"
"865","60.0"
"870","60.0"
"875","60.0"
"880","60.0"
"885","60.0"
"890","60.0"
"895","60.0"
"900","60.0"
"905","60.0"
"910","60.0"
"915","60.0"
"920","60.0"
"925","60.0"
"930","60.0"
"935","60.0"
"940","60.0"
"945","60.0"
"950","60.0"
"955","60.0"
"960","60.0"
"965","60.0"
"970","60.0"
"975","60.0"
"980","60.0"
"985","60.0"
"990","60.0"
"995","60.0"
"1000","60.0"
"1005","60.0"
"1010","60.0"
"1015","60.0"
"1020","60.0"
"1025","60.0"
"1030","60.0"
"1035","60.0"
"1040","60.0"
"1045","60.0"
"1050","60.0"
"1055","60.0"
"1060","60.0"
"1065","60.0"
"1070","60.0"
"1075","80.0"
"1080","80.0"
"1085","100.0"
"1090","100.0"
"1095","100.0"
"1100","100.0"
"1105","100.0"
"1110","100.0"
