"# time","value"
"10","0.0"
"15","12.8"
"20","13.0"
"25","29.8"
"30","28.0"
"35","44.4"
"40","41.6"
"45","40.6"
"50","50.4"
"55","44.4"
"60","49.8"
"65","40.2"
"70","43.8"
"75","46.6"
"80","46.8"
"85","44.2"
"90","42.0"
"95","38.6"
"100","46.8"
"105","40.8"
"110","46.6"
"115","43.0"
"120","45.6"
"125","50.2"
"130","48.2"
"135","47.6"
"140","47.0"
"145","52.8"
"150","48.0"
"155","49.6"
"160","45.6"
"165","49.0"
"170","43.0"
"175","45.6"
"180","45.2"
"185","43.2"
"190","43.0"
"195","46.6"
"200","50.2"
"205","41.0"
"210","45.6"
"215","47.2"
"220","47.6"
"225","40.0"
"230","46.8"
"235","44.6"
"240","44.4"
"245","42.4"
"250","40.0"
"255","45.0"
"260","45.4"
"265","44.6"
"270","38.2"
"275","45.4"
"280","41.0"
"285","41.0"
"290","43.2"
"295","42.2"
"300","45.8"
"305","50.4"
"310","48.0"
"315","45.0"
"320","53.2"
"325","53.4"
"330","53.4"
"335","54.2"
"340","48.8"
"345","49.0"
"350","46.0"
"355","39.6"
"360","41.6"
"365","44.8"
"370","52.6"
"375","53.6"
"380","49.0"
"385","49.2"
"390","44.2"
"395","45.2"
"400","40.4"
"405","41.2"
"410","40.8"
"415","42.8"
"420","40.6"
"425","42.4"
"430","45.4"
"435","48.6"
"440","47.0"
"445","50.0"
"450","47.6"
"455","50.0"
"460","53.6"
"465","44.4"
"470","51.0"
"475","45.6"
"480","45.2"
"485","44.8"
"490","39.2"
"495","47.4"
"500","45.8"
"505","47.8"
"510","48.2"
"515","46.0"
"520","47.4"
"525","55.6"
"530","49.0"
"535","55.2"
"540","43.4"
"545","44.6"
"550","43.8"
"555","42.8"
"560","47.8"
"565","51.8"
"570","41.8"
"575","43.8"
"580","45.2"
"585","45.8"
"590","44.4"
"595","42.6"
"600","41.0"
"605","40.0"
"610","45.8"
"615","41.4"
"620","41.4"
"625","42.2"
"630","43.6"
"635","40.6"
"640","45.4"
"645","54.6"
"650","42.0"
"655","44.2"
"660","42.2"
"665","47.4"
"670","42.4"
"675","46.0"
"680","50.4"
"685","43.8"
"690","45.0"
"695","43.0"
"700","47.6"
"705","39.6"
"710","44.6"
"715","48.6"
"720","51.0"
"725","45.0"
"730","42.0"
"735","49.8"
"740","46.0"
"745","48.8"
"750","46.6"
"755","44.6"
"760","44.6"
"765","47.2"
"770","41.2"
"775","43.6"
"780","43.0"
"785","43.0"
"790","48.8"
"795","50.0"
"800","48.0"
"805","45.4"
"810","45.8"
"815","44.2"
"820","43.2"
"825","45.4"
"830","44.0"
"835","47.2"
"840","47.8"
"845","47.4"
"850","48.8"
"855","44.4"
"860","45.6"
"865","54.6"
"870","49.6"
"875","49.0"
"880","45.4"
"885","49.2"
"890","45.6"
"895","43.8"
"900","53.6"
"905","47.4"
"910","43.0"
"915","52.2"
"920","48.8"
"925","43.4"
"930","43.8"
"935","51.2"
"940","48.8"
"945","52.2"
"950","48.0"
"955","47.0"
"960","51.2"
"965","45.6"
"970","44.2"
"975","50.4"
"980","44.4"
"985","47.2"
"990","47.2"
"995","46.6"
"1000","51.4"
"1005","47.0"
"1010","44.2"
"1015","43.4"
"1020","47.0"
"1025","43.2"
"1030","49.0"
"1035","47.8"
"1040","49.0"
"1045","45.0"
"1050","47.2"
"1055","41.8"
"1060","41.4"
"1065","43.6"
"1070","49.4"
"1075","63.8"
"1080","64.2"
"1085","75.2"
"1090","69.4"
"1095","75.0"
"1100","75.2"
"1105","82.8"
"1110","80.8"
