# time,value
10,0
15,22
20,28
25,15
30,32
35,2
40,5
45,2
50,1
55,2
60,0
65,3
70,1
75,2
80,1
85,6
90,4
95,27
100,2
105,3
110,2
115,1
120,0
125,1
130,1
135,1
140,2
145,0
150,1
155,2
160,1
165,0
170,1
175,2
180,1
185,0
190,2
195,4
200,1
205,10
210,2
215,1
220,1
225,1
230,0
235,6
240,1
245,2
250,0
255,1
260,1
265,1
270,12
275,3
280,2
285,4
290,8
295,1
300,2
305,4
310,6
315,4
320,1
325,1
330,1
335,1
340,1
345,1
350,3
355,4
360,11
365,25
370,2
375,1
380,0
385,3
390,1
395,1
400,2
405,16
410,2
415,2
420,11
425,1
430,2
435,1
440,0
445,1
450,1
455,0
460,2
465,1
470,2
475,2
480,6
485,8
490,3
495,1
500,14
505,0
510,1
515,12
520,1
525,1
530,1
535,1
540,10
545,2
550,4
555,2
560,0
565,0
570,1
575,2
580,1
585,1
590,1
595,1
600,5
605,1
610,1
615,1
620,6
625,1
630,7
635,6
640,1
645,2
650,1
655,1
660,9
665,1
670,13
675,2
680,8
685,2
690,1
695,15
700,2
705,1
710,2
715,2
720,3
725,1
730,16
735,0
740,1
745,1
750,1
755,1
760,10
765,2
770,1
775,5
780,4
785,7
790,1
795,1
800,1
805,4
810,8
815,4
820,1
825,3
830,1
835,3
840,2
845,1
850,2
855,9
860,3
865,1
870,2
875,2
880,4
885,4
890,19
895,25
900,3
905,3
910,10
915,2
920,2
925,2
930,9
935,2
940,1
945,3
950,4
955,0
960,0
965,1
970,1
975,1
980,1
985,0
990,3
995,1
1000,0
1005,1
1010,1
1015,1
1020,4
1025,0
1030,1
1035,1
1040,1
1045,1
1050,2
1055,1
1060,3
1065,153
1070,297
1075,76
1080,0
1085,4
1090,0
1095,2
1100,1
1105,2
1110,2
1115,2
1120,1
1125,1
1130,4
1135,2
1140,4
1145,3
1150,2
1155,1
1160,6
1165,4
1170,1
1175,2
1180,1
1185,2
1190,17
1195,0
1200,0
1205,7
1210,2
1215,1
1220,2
1225,0
1230,1
1235,2
1240,1
1245,1
1250,1
1255,28
1260,1
1265,22
1270,6
1275,2
1280,32
1285,5
1290,1
1295,0
1300,1
1305,9
1310,3
1315,1
1320,8
1325,6
1330,2
1335,4
1340,3
1345,1
1350,2
1355,3
1360,1
1365,3
1370,2
1375,6
1380,3
1385,3
1390,2
1395,2
1400,2
1405,2
1410,1
1415,2
1420,3
1425,2
1430,4
1435,18
1440,15
1445,5
1450,1
1455,17
1460,2
1465,2
1470,7
1475,4
1480,4
1485,1
1490,3
1495,2
1500,2
1505,14
1510,5
1515,1
1520,1
1525,2
1530,2
1535,1
1540,2
1545,4
1550,0
1555,0
1560,4
1565,1
1570,6
1575,2
1580,14
1585,6
1590,3
1595,4
1600,3
1605,4
1610,2
1615,7
1620,2
1625,4
1630,3
1635,30
1640,3
1645,2
1650,1
1655,3
1660,2
1665,1
1670,1
1675,2
1680,1
1685,2
1690,2
1695,2
1700,3
1705,1
1710,11
1715,0
1720,5
1725,3
1730,4
1735,2
1740,20
1745,1
1750,3
1755,5
1760,2
1765,3
1770,0
1775,2
1780,1
1785,2
1790,7
1795,4
1800,2
1805,1
1810,3
1815,2
1820,5
