# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,38,0.3038312244085715,3.739627427142961,0.06280847547785354,0.02105257758139243
15,570,8.818794738595365,37.57553687563198,1.827019074541776,0.6126241761787321
20,1179,17.75632643871074,58.44321640498003,3.790163774512357,1.2773724757362814
25,1802,26.36303936975366,71.57456703903523,5.800197568310864,1.965030698252291
30,2451,34.489482052241435,81.21215748983686,7.8199826457922565,2.6632835848821483
35,3221,44.045015472707234,91.54791685664281,10.236125812988035,3.5017119962617413
40,3915,51.653187961524615,97.42120121879188,12.367711162831174,4.25350113727775
45,4630,58.95687578980609,102.45789825991115,14.526872981264122,5.0221778297656545
50,5373,66.14033537756256,107.04916070418174,16.746212561709115,5.818728818113682
55,6101,72.41362379043652,110.5378540575478,18.85944979146401,6.5875981545349775
60,6840,78.44118562924622,113.62959237774656,20.990649629851845,7.369936324352456
65,7523,83.1552721450209,115.38758480710787,22.91472695304035,8.090322641048498
70,8250,88.2120413822749,117.52109193273286,24.9557589909472,8.856579276010784
75,8995,92.91246702630222,119.6113163948311,26.97297286427097,9.621914823945184
80,9723,97.12512956695107,121.22913413700175,28.933705160288103,10.375254083823627
85,10430,100.60118828133982,122.41044021333889,30.77938667111516,11.096718969722948
90,11124,103.79931668643678,123.31587607673559,32.59456174985992,11.814186830495256
95,11784,105.97416324325513,123.76940535960044,34.22106058018133,12.474494351114295
100,12562,110.00599053894686,125.35480991400672,36.240500822407604,13.271863528381216
105,13222,111.89246337664665,125.66817919384805,37.84971180046863,13.938499693721512
110,13995,115.1792405305134,126.97845847943884,39.752978656428645,14.708921542085395
115,14720,117.45163899057539,127.75859105356922,41.469418944193336,15.422997707555023
120,15437,119.574328735716,128.407635985701,43.164100387870626,16.13533384332991
125,16197,122.15095114561481,129.34767333571727,44.959693871239836,16.886936714202808
130,16936,124.18574474389413,130.05477645024186,46.656188910852364,17.611106952551676
135,17656,125.77000512158008,130.56887911721896,48.26514058761908,18.31132063052739
140,18403,127.5953907260937,131.23905823274248,49.92352994471813,19.033139717475542
145,19160,129.61064001462807,131.93201946988322,51.62392843069585,19.77422845534847
150,19897,130.93705200318337,132.44544858690443,53.1871333969991,20.47464644580404
155,20644,132.39727670086307,132.99042143128213,54.77408649636568,21.187804470117694
160,21372,133.45290817073266,133.38290879480346,56.27530680190427,21.877066943397747
165,22097,134.50409159386376,133.733093884866,57.768242664477235,22.568050949806413
170,22827,135.3432980944734,134.09132993177687,59.21005679381888,23.246342556601224
175,23532,135.87553859196785,134.2871776534037,60.578454193207904,23.90425586881208
180,24267,136.74901029870645,134.6388333289543,62.003570994646985,24.58511697085018
185,24983,137.1528651369746,134.86870278905343,63.32248995633199,25.234505238919922
190,25691,137.55641175939257,135.04456946702174,64.62622052352458,25.88251185807876
195,26434,138.35945273639237,135.39079596215075,65.99765646919643,26.55684524284718
200,27171,139.19423280444434,135.68962386574998,67.36625882792362,27.23409090056274
205,27874,139.13072945564437,135.80840708040552,68.54034329910955,27.849966933647455
210,28600,139.79190382260683,136.0309051844365,69.8437787765016,28.512292287854674
215,29338,140.36823137187844,136.29851080756455,71.11905894194369,29.168732198131327
220,30063,140.83451384628626,136.49520444608874,72.3600377433382,29.817103209933315
225,30773,140.76778980320648,136.61654853763133,73.47802798300148,30.427533205411063
230,31507,141.2660898176442,136.83687313784384,74.69323929261019,31.073362389897213
235,32229,141.50067232369946,136.99683722396054,75.84208499667206,31.70010115695215
240,32937,141.52460524327572,137.09164112679167,76.9322734406344,32.310071331188134
245,33650,141.69054464592483,137.20313459258767,78.03419403767866,32.92663445153755
250,34348,141.44343833964572,137.250268249168,79.03525875835784,33.51208095851014
255,35073,141.74379642618038,137.40097697947954,80.12886573935106,34.13084900601678
260,35787,142.03613032315945,137.50398394451574,81.20770269609359,34.74729701488955
265,36511,141.98526815079921,137.64071133325385,82.20259386166414,35.338169200115665
270,37197,141.45873918097917,137.6317331903521,83.08186964559178,35.89252695165533
275,37928,142.02972287004866,137.78650393831717,84.1647890886759,36.51694348332717
280,38631,141.89941742398193,137.8358388787116,85.09427536907481,37.092471406145435
285,39326,141.6995750407618,137.85550590713862,85.99187004638758,37.65927066479877
290,40053,141.96346245034968,137.98444041293172,86.96718864722585,38.25395462058102
295,40758,141.95039271444583,138.03489877134697,87.87349530176071,38.827615450474866
300,41490,142.17823473303886,138.17354408093576,88.81440766343948,39.41471856816277
305,42237,142.7556552023684,138.35662059171602,89.81579942411898,40.02405374451936
310,42948,142.77519193369528,138.4178939496692,90.69485693929778,40.59455613861431
315,43712,143.5127668625688,138.64517606621956,91.70814182734894,41.21175923068833
320,44451,143.99947515135992,138.78759985445603,92.66501007850798,41.81224655903217
325,45238,144.91101078916589,139.07312128109157,93.70192825642572,42.44153997787744
330,46006,145.62173512487178,139.29240860133226,94.69526201047113,43.05848277234063
335,46766,146.147704143686,139.4814023798099,95.64573172780683,43.66314336675805
340,47505,146.2478321919349,139.60309934142165,96.50115454087218,44.23786132000045
345,48245,146.40391891177052,139.72387144194957,97.35566129541243,44.81382737002365
350,48960,146.19572105092212,139.77006762605046,98.12331869241565,45.36222581180725
355,49665,145.79628524994703,139.7867100372352,98.83531360861951,45.89318164768222
