# time,value
5,0
10,0
15,1
20,2
25,1
30,1
35,1
40,1
45,1
50,1
55,1
60,1
65,1
70,1
75,1
80,1
85,2
90,1
95,1
100,1
105,1
110,1
115,1
120,1
125,1
130,1
135,1
140,1
145,1
150,1
155,1
160,1
165,1
170,0
175,1
180,1
185,1
190,0
195,1
200,0
205,1
210,1
215,0
220,1
225,1
230,1
235,1
240,1
245,1
250,1
255,1
260,1
265,0
270,1
275,0
280,1
285,1
290,1
295,1
300,1
305,1
310,0
315,1
320,0
325,1
330,1
335,1
340,0
345,1
350,0
355,1
360,1
365,0
370,1
375,0
380,1
385,0
390,1
395,1
400,0
405,1
410,1
415,0
420,1
425,1
430,0
435,0
440,1
445,0
450,1
455,1
460,0
465,1
470,0
475,0
480,1
485,1
490,1
495,1
500,1
505,0
510,1
515,0
520,1
525,1
530,1
535,0
540,1
545,1
550,1
555,1
560,1
565,1
570,0
575,1
580,1
585,1
590,1
595,0
600,1
605,0
610,0
615,0
620,0
625,1
630,1
635,0
640,0
645,1
650,1
655,0
660,1
665,1
670,1
675,0
680,1
685,0
690,1
695,1
700,1
705,1
710,1
715,1
720,1
725,1
730,1
735,1
740,1
745,1
750,1
755,1
760,1
765,0
770,1
775,1
780,1
785,1
790,0
795,0
800,0
805,1
810,1
815,0
820,1
825,1
830,0
835,0
840,1
845,1
850,1
855,1
860,1
865,0
870,0
875,1
880,0
885,1
890,1
895,1
900,1
905,1
910,1
915,0
920,0
925,1
930,1
935,0
940,0
945,0
950,0
955,1
960,0
965,0
970,1
975,1
980,1
985,1
990,0
995,1
1000,1
1005,0
1010,1
1015,1
1020,1
1025,1
1030,0
1035,1
1040,1
1045,0
1050,1
1055,1
1060,1
1065,0
1070,0
1075,1
1080,1
1085,1
1090,1
1095,1
1100,1
1105,1
1110,1
1115,0
1120,1
1125,1
1130,0
1135,1
1140,1
1145,0
1150,0
1155,0
1160,1
1165,1
1170,0
1175,0
1180,0
1185,1
1190,1
1195,0
1200,0
1205,1
1210,1
1215,1
1220,1
1225,0
1230,1
1235,1
1240,0
1245,0
1250,1
1255,1
1260,0
1265,1
1270,1
1275,0
1280,1
1285,1
1290,1
1295,0
1300,1
1305,1
1310,1
1315,1
1320,1
1325,0
1330,1
1335,1
1340,1
1345,1
1350,0
1355,0
1360,1
1365,1
1370,0
1375,0
1380,0
1385,1
1390,1
1395,1
1400,0
1405,0
1410,0
1415,0
1420,1
1425,0
1430,0
1435,1
1440,1
1445,0
1450,1
1455,0
1460,0
1465,1
1470,1
1475,0
1480,0
1485,0
1490,0
1495,1
1500,0
1505,0
1510,1
1515,0
1520,0
1525,0
1530,0
1535,1
1540,17
