# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0
25,89,1.3912271854497746,3.553778169704868,0.28759670350385563,0.09639864471479691
30,337,5.245787835839104,11.224387671340173,1.102659038557014,0.37065612052807717
35,588,8.776163716005641,16.74434800655547,1.9009438689313094,0.6422861378405379
40,837,12.056248560243217,20.86183123764912,2.692645630094614,0.9146273443686964
45,1085,15.058081183620157,24.044276692272767,3.467956002903348,1.1843517088191384
50,1334,17.819900522410197,26.61186244929297,4.2304516224125335,1.4525817592937424
55,1582,20.376888096353365,28.69556766809244,4.9836500070995235,1.7204338049180834
60,1831,22.71343911496222,30.44943031383625,5.721093408268056,1.9856938790984455
65,2079,24.879160946203893,31.918522882232708,6.449653651362106,2.250592402548637
70,2328,26.855730103604444,33.19220529667509,7.162866143598767,2.512915317516615
75,2576,28.67426151699941,34.28245057892813,7.864290270222494,2.7737849236638716
80,2825,30.34739118672142,35.248978758289866,8.55412087577869,3.03320927254217
85,3073,31.902735911373895,36.090422924425816,9.235855293551365,3.2923044014954725
90,3322,33.31773102103945,36.849577151114396,9.903015923282815,3.548856073654162
95,3570,34.635580485489186,37.518858856374685,10.562455066973028,3.8050944409535155
100,3819,35.83206940750428,38.13132225383066,11.207688931089246,4.058805178352032
105,4067,36.94888347444426,38.675911386343905,11.84556372672224,4.312218350101593
110,4316,37.96041090183771,39.17981132217296,12.469589670103911,4.5631195439630785
115,4564,38.89106106165542,39.6315903391623,13.08330137186389,4.812630707074819
120,4813,39.76329166024372,40.05390202743148,13.69017502065679,5.061867570817466
125,5062,40.54979143366956,40.442507429212235,14.283712221085498,5.308615594053175
130,5310,41.289397274391355,40.79355274140749,14.870744823724008,5.555104626134688
135,5559,41.95387638010054,41.12615618845026,15.444768921645915,5.799120041114323
140,5807,42.581217787020286,41.42754961149182,16.012610944993494,6.042891604004843
145,6056,43.14240862744837,41.71538561187255,16.567761656000467,6.284204604985845
150,6305,43.6747202427995,41.98407058826778,17.11704224208028,6.525288725662039
155,6553,44.164470571345625,42.22890318886612,17.657244018628184,6.76503720366608
160,6802,44.59907150861322,42.464772006406015,18.18521133593109,7.002349408262364
165,7051,44.998923673538954,42.68584928879857,18.704452121049282,7.238346867174892
170,7299,45.38279654163045,42.8885159100316,19.218416320108624,7.474144894693606
175,7548,45.73597662984576,43.08530847194705,19.723885438169777,7.708636565299722
180,7797,46.044926880292415,43.271283440973605,20.217694177335638,7.940721086010073
185,8045,46.34516594968833,43.441416435381285,20.706646685188577,8.172627853599
190,8294,46.60540811146541,43.607911643523465,21.18421180970076,8.402141792047768
195,8543,46.86083357593361,43.7661591831965,21.65718918623493,8.631492218791557
200,8791,47.095836347871675,43.91143196882216,22.12234893435973,8.859572009311044
205,9040,47.29605821854157,44.05461143198504,22.576514558871647,9.085280172725021
210,9289,47.49626234941217,44.19099445142932,23.026479195121862,9.310845909006169
215,9537,47.66446792473125,44.31615484243534,23.4657008608675,9.534053946424413
220,9786,47.83521564188722,44.44035848907738,23.900968540263992,9.75713340778785
225,10035,47.99231112536727,44.55900619237164,24.329041877721618,9.978976975028347
230,10283,48.120854830432464,44.66818583633809,24.746734076017667,10.198483464788177
235,10532,48.255111865387576,44.77691592773245,25.160828138761506,10.417881885629846
240,10781,48.36264318344859,44.88118187526162,25.564772119431414,10.634956775473546
245,11031,48.47756788910249,44.98075183508444,25.965345202599018,10.851937067832212
250,11279,48.56731260556815,45.07276590546322,26.355991685827988,11.066607225992248
255,11528,48.665872847769,45.1651001633043,26.743487059855163,11.281196109246286
260,11777,48.75655264811041,45.25373207905218,27.124577698698822,11.494596137470637
265,12025,48.82399097486009,45.33536998032375,27.496063754084524,11.705705866703845
270,12274,48.90202834779222,45.417619222928195,27.864715394284836,11.916754046348476
275,12522,48.957835079816626,45.49331426645719,28.223968049590688,12.125524956600566
280,12771,49.02517086898854,45.56981656780913,28.58058849002928,12.334247274676724
285,13020,49.07113166864667,45.64370170565813,28.928008803814258,12.540705208986948
290,13269,49.12940876273817,45.71496980990084,29.272992474135208,12.74712736535952
295,13517,49.16703516058376,45.78049147861328,29.608968356694792,12.95129788121161
300,13766,49.21764423483834,45.84710678117297,29.94269675560035,13.155445291771983
305,14014,49.264206830935834,45.90836539007056,30.27090910925355,13.358461694648442
