# time,value
5,0
10,0
15,0
20,0
25,87
30,335
35,581
40,830
45,1079
50,1327
55,1576
60,1824
65,2072
70,2320
75,2568
80,2817
85,3066
90,3313
95,3562
100,3811
105,4058
110,4306
115,4556
120,4804
125,5053
130,5301
135,5550
140,5799
145,6047
150,6295
155,6544
160,6793
165,7041
170,7290
175,7537
180,7787
185,8036
190,8284
195,8532
200,8781
205,9030
210,9278
215,9526
220,9776
225,10024
230,10272
235,10521
240,10770
245,11018
250,11266
255,11515
260,11763
265,12012
270,12261
275,12510
280,12758
285,13007
290,13255
295,13503
300,13753
305,14001
310,14249
315,14498
320,14747
325,14995
330,15244
335,15492
340,15740
345,15988
350,16236
355,16485
360,16734
365,16982
370,17230
375,17478
380,17727
385,17976
390,18225
395,18473
400,18721
405,18970
410,19219
415,19467
420,19716
425,19964
430,20213
435,20461
440,20710
445,20958
450,21208
455,21455
460,21703
465,21953
470,22201
475,22449
480,22698
485,22946
490,23194
495,23444
500,23690
505,23940
510,24190
515,24438
520,24686
525,24935
530,25183
535,25432
540,25681
545,25930
550,26178
555,26426
560,26675
565,26923
570,27172
575,27421
580,27668
585,27917
590,28166
595,28415
600,28663
605,28912
610,29160
615,29409
620,29656
625,29905
630,30154
635,30402
640,30650
645,30899
650,31147
655,31397
660,31646
665,31894
670,32143
675,32391
680,32640
685,32888
690,33137
695,33384
700,33633
705,33881
710,34130
715,34377
720,34627
725,34875
730,35124
735,35373
740,35620
745,35869
750,36119
755,36367
760,36615
765,36864
770,37112
775,37361
780,37609
785,37857
790,38106
795,38355
800,38603
805,38852
810,39101
815,39349
820,39597
825,39846
830,40095
835,40343
840,40592
845,40840
850,41088
855,41337
860,41586
865,41834
870,42083
875,42330
880,42579
885,42827
890,43076
895,43325
900,43573
905,43821
910,44071
915,44319
920,44567
925,44816
930,45065
935,45313
940,45560
945,45810
950,46059
955,46308
960,46556
965,46804
970,47052
975,47302
980,47550
985,47799
990,48047
995,48296
1000,48544
1005,48793
1010,49041
1015,49289
1020,49539
1025,49787
1030,50036
1035,50284
1040,50532
1045,50781
1050,51030
1055,51278
1060,51527
1065,51775
1070,52023
1075,52359
1080,52854
1085,53346
1090,53840
1095,54334
1100,54827
1105,55318
1110,55813
1115,56305
1120,56800
1125,57295
1130,57788
1135,58280
1140,58775
1145,59271
1150,59764
1155,60254
1160,60751
1165,61244
1170,61737
1175,62233
1180,62725
1185,63216
1190,63714
1195,64207
1200,64702
1205,65196
1210,65689
1215,66183
1220,66678
1225,67171
1230,67662
1235,68157
1240,68649
1245,69145
1250,69637
1255,70133
1260,70629
1265,71123
1270,71616
1275,72111
1280,72605
1285,73099
1290,73593
