# time,value
5,0
10,0
15,0
20,0
25,30
30,3
35,8
40,3
45,4
50,6
55,4
60,3
65,3
70,3
75,7
80,4
85,3
90,1
95,2
100,4
105,2
110,2
115,4
120,2
125,3
130,4
135,3
140,3
145,5
150,4
155,3
160,6
165,2
170,2
175,4
180,4
185,2
190,4
195,3
200,3
205,3
210,4
215,3
220,3
225,2
230,4
235,3
240,3
245,3
250,2
255,3
260,1
265,4
270,2
275,3
280,4
285,3
290,4
295,3
300,2
305,3
310,3
315,1
320,4
325,4
330,2
335,2
340,3
345,1
350,1
355,4
360,3
365,2
370,4
375,4
380,3
385,4
390,4
395,3
400,3
405,2
410,4
415,2
420,3
425,1
430,4
435,3
440,4
445,3
450,3
455,4
460,0
465,6
470,4
475,4
480,3
485,3
490,2
495,4
500,4
505,2
510,4
515,3
520,2
525,3
530,3
535,5
540,4
545,2
550,5
555,2
560,4
565,4
570,3
575,4
580,3
585,2
590,3
595,2
600,3
605,3
610,3
615,5
620,2
625,1
630,5
635,3
640,2
645,3
650,4
655,3
660,4
665,3
670,3
675,1
680,2
685,3
690,2
695,1
700,3
705,2
710,3
715,2
720,7
725,1
730,2
735,3
740,1
745,3
750,5
755,3
760,5
765,3
770,3
775,4
780,3
785,0
790,1
795,5
800,2
805,3
810,3
815,3
820,3
825,5
830,3
835,2
840,5
845,3
850,2
855,3
860,4
865,3
870,4
875,0
880,4
885,3
890,2
895,1
900,4
905,4
910,3
915,4
920,2
925,3
930,4
935,1
940,4
945,4
950,5
955,3
960,3
965,3
970,2
975,6
980,3
985,5
990,4
995,4
1000,3
1005,4
1010,4
1015,3
1020,4
1025,3
1030,5
1035,3
1040,2
1045,3
1050,5
1055,5
1060,3
1065,1
1070,1
1075,14
1080,13
1085,24
1090,50
1095,18
1100,25
1105,87
1110,97
1115,55
1120,37
1125,32
1130,16
1135,23
1140,33
1145,48
1150,21
1155,11
1160,4
1165,19
1170,15
1175,13
1180,47
1185,38
1190,29
1195,18
1200,18
1205,38
1210,26
1215,6
1220,13
1225,29
1230,22
1235,21
1240,20
1245,9
1250,13
1255,46
1260,75
1265,14
1270,31
1275,12
1280,30
1285,42
1290,12
1295,11
1300,26
1305,36
1310,14
1315,37
1320,11
1325,18
1330,10
1335,24
1340,46
1345,30
1350,60
1355,34
1360,18
1365,15
1370,8
1375,40
1380,20
1385,20
1390,14
1395,49
1400,23
1405,20
1410,44
1415,22
1420,10
1425,31
1430,46
1435,12
1440,15
1445,87
1450,62
1455,43
1460,50
1465,18
1470,13
1475,20
1480,15
1485,10
1490,37
1495,24
1500,11
1505,21
1510,27
1515,19
1520,93
1525,98
1530,43
1535,20
1540,7
