# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0
25,90,1.4392005366721807,3.592308798178156,0.29751383121088515,0.09972273591185887
30,176,2.6673822495241333,5.855530798544343,0.5702759359098347,0.1922448103152746
35,274,4.0372307306954776,7.8150187891123215,0.8881153181007024,0.30087475434890293
40,368,5.217596589314958,9.185462873812439,1.1841727312073371,0.40336271998626216
45,460,6.287594487682821,10.207139533614223,1.4720310364543099,0.5041748563173007
50,548,7.1760933752964755,10.943846316164977,1.7352972069961181,0.5977802956959906
55,644,8.153462984991137,11.692518130539579,2.0272690628376853,0.7019474507031604
60,737,8.956739732974343,12.266939331511496,2.2945807929631283,0.7988893214445691
65,830,9.727772252506167,12.753048586763638,2.5640856672845223,0.8975101802854222
70,923,10.469138649747268,13.169683998662515,2.8357474363167494,0.9978007253764506
75,1007,10.943344140759047,13.411057790063213,3.059944811190831,1.0831312504167343
80,1097,11.523554307818207,13.69725157731425,3.310187912522323,1.177961304969659
85,1188,12.057373431332136,13.961528657547195,3.556294859197636,1.2722659866066564
90,1275,12.452564031898634,14.152003844984941,3.7784997604259463,1.3594000235794108
95,1372,13.008050341553474,14.427654785644819,4.036700448511359,1.4593476895316375
100,1470,13.551104652302733,14.685753623271367,4.297244873071816,1.5609576910209741
105,1568,14.034747620673832,14.919220456673578,4.550177167843728,1.6608967272588167
110,1670,14.543685100694947,15.167758261176864,4.812151696444205,1.76471420764174
115,1785,15.21981470854766,15.507740824640466,5.112770387014942,1.8823609185908614
120,1877,15.474088285112947,15.62784758394814,5.332388975255937,1.973871149702126
125,1966,15.64406680072312,15.714459301362142,5.535154750576854,2.0604422786278445
130,2065,15.976356872432733,15.871197238523274,5.770931904009426,2.158722124730154
135,2159,16.25009626279767,15.979388833305633,5.996200585402325,2.25424142474896
140,2250,16.390010840448017,16.058463101261747,6.194605938342544,2.3414753205340517
145,2349,16.64666740273352,16.187216255365577,6.416177613130064,2.437090170469534
150,2444,16.83482948811986,16.280639386531114,6.6241699025520075,2.528851208406323
155,2536,16.943982495528022,16.348784873867924,6.815501544870787,2.6156717546496306
160,2626,17.02841699325976,16.400161272553444,7.000365044068438,2.7009032714714323
165,2720,17.154073832522286,16.472647584136404,7.1920901460899325,2.78898668393233
170,2818,17.39761264223883,16.56442586525649,7.407091984794522,2.8854463440921116
175,2908,17.41379464190025,16.605242698671287,7.575565935615852,2.966967207885944
180,2999,17.492647268602813,16.649389279245298,7.75447809390388,3.0524685552996687
185,3097,17.66114188982417,16.72894462028642,7.950267349735832,3.1441443946470593
190,3194,17.800173307899826,16.79906728641061,8.139514784575857,3.234204305511166
195,3283,17.81615056803938,16.824594745967392,8.302494269800254,3.3160090579872756
200,3387,18.006752644807346,16.923735661732067,8.49914274266943,3.409548934089973
205,3478,18.054186084361383,16.954735533229982,8.66609522828847,3.4937063418692933
210,3576,18.177782540860402,17.01753139616248,8.84681677821774,3.582937656813105
215,3670,18.21154118495963,17.058839727177915,9.008022717485193,3.666134464714302
220,3759,18.162645051537908,17.075565965715278,9.150035610762853,3.7433301976591156
225,3865,18.437480778568982,17.167027444903145,9.355815422089577,3.842258862490455
230,3960,18.466466215126623,17.206744987216233,9.511914063002738,3.9251270218956664
235,4046,18.381196284618124,17.206495610443735,9.642292655671445,3.9997798663090744
240,4147,18.526619800355846,17.26871321963302,9.816796209050029,4.089531548203855
245,4231,18.388566903505794,17.259061133516393,9.9322184153818,4.15994947535577
250,4322,18.357498809280315,17.27769998865025,10.065567115860267,4.236625458882208
255,4420,18.45684371930807,17.32309737772458,10.22315743007046,4.3217408889977005
260,4521,18.596218800123363,17.378236620161136,10.388060133201991,4.409708857890287
265,4615,18.612512245247036,17.40494414537891,10.52709726974014,4.4894332580713625
270,4717,18.771422992095363,17.46029086869594,10.693587707667596,4.578688246548903
275,4817,18.86965458593533,17.506359074842305,10.847409172996478,4.664124657626894
280,4909,18.76813861029831,17.5222227994561,10.959019682304328,4.73579137321335
285,5001,18.802668340510902,17.53750980572553,11.095231106040501,4.815925287494632
290,5092,18.738490523486842,17.5487952467581,11.20935689755537,4.8889670653167085
295,5185,18.69543519846489,17.56651425220532,11.324902064890717,4.9627122109866795
300,5280,18.71978685545493,17.590315185713884,11.45176027553478,5.0404809189368205
