# time,value
5,0
10,0
15,0
20,0
25,80
30,164
35,263
40,357
45,450
50,537
55,634
60,725
65,818
70,913
75,996
80,1086
85,1177
90,1262
95,1360
100,1458
105,1556
110,1658
115,1773
120,1865
125,1954
130,2052
135,2149
140,2239
145,2337
150,2432
155,2523
160,2613
165,2707
170,2807
175,2896
180,2987
185,3085
190,3183
195,3272
200,3374
205,3466
210,3565
215,3657
220,3745
225,3853
230,3947
235,4034
240,4135
245,4219
250,4309
255,4408
260,4508
265,4602
270,4705
275,4805
280,4893
285,4989
290,5079
295,5171
300,5265
305,5360
310,5449
315,5548
320,5649
325,5742
330,5836
335,5931
340,6030
345,6121
350,6216
355,6309
360,6404
365,6499
370,6593
375,6684
380,6775
385,6860
390,6948
395,7026
400,7111
405,7192
410,7281
415,7366
420,7459
425,7542
430,7636
435,7723
440,7818
445,7915
450,8006
455,8107
460,8200
465,8280
470,8365
475,8453
480,8536
485,8620
490,8712
495,8821
500,8917
505,9000
510,9087
515,9172
520,9258
525,9337
530,9425
535,9511
540,9601
545,9692
550,9771
555,9861
560,9948
565,10036
570,10119
575,10213
580,10301
585,10391
590,10476
595,10571
600,10660
605,10748
610,10850
615,10938
620,11031
625,11128
630,11204
635,11293
640,11387
645,11473
650,11567
655,11670
660,11758
665,11853
670,11950
675,12038
680,12124
685,12204
690,12285
695,12371
700,12468
705,12560
710,12658
715,12747
720,12839
725,12933
730,13024
735,13120
740,13204
745,13306
750,13395
755,13493
760,13585
765,13680
770,13773
775,13871
780,13961
785,14061
790,14147
795,14234
800,14331
805,14432
810,14524
815,14615
820,14705
825,14804
830,14889
835,14970
840,15058
845,15140
850,15237
855,15331
860,15424
865,15507
870,15605
875,15702
880,15793
885,15885
890,15995
895,16099
900,16195
905,16285
910,16384
915,16468
920,16569
925,16666
930,16761
935,16843
940,16938
945,17032
950,17131
955,17213
960,17305
965,17396
970,17485
975,17578
980,17668
985,17762
990,17853
995,17944
1000,18032
1005,18124
1010,18207
1015,18297
1020,18385
1025,18468
1030,18582
1035,18685
1040,18769
1045,18861
1050,18952
1055,19044
1060,19141
1065,19256
1070,19342
1075,19431
1080,19533
1085,19633
1090,19729
1095,19822
1100,19915
1105,20011
1110,20093
1115,20187
1120,20278
1125,20366
1130,20457
1135,20553
1140,20656
1145,20757
1150,20846
1155,20950
1160,21037
1165,21137
1170,21238
1175,21327
1180,21407
1185,21509
1190,21610
1195,21704
1200,21800
1205,21914
1210,21999
1215,22093
1220,22188
1225,22288
1230,22391
1235,22488
1240,22582
1245,22676
1250,22781
1255,22876
1260,22968
1265,23073
1270,23175
1275,23273
1280,23371
1285,23461
1290,23563
1295,23665
