"# time","value"
"5","0.0"
"10","0.0"
"15","0.0"
"20","3.6"
"25","49.4"
"30","49.8"
"35","49.6"
"40","49.8"
"45","49.6"
"50","49.8"
"55","49.6"
"60","49.8"
"65","49.8"
"70","49.6"
"75","49.8"
"80","49.8"
"85","49.6"
"90","49.8"
"95","49.8"
"100","49.8"
"105","49.6"
"110","49.8"
"115","49.6"
"120","49.8"
"125","49.8"
"130","49.8"
"135","49.6"
"140","49.8"
"145","49.8"
"150","49.6"
"155","49.8"
"160","49.8"
"165","49.8"
"170","49.8"
"175","49.8"
"180","49.6"
"185","49.8"
"190","49.8"
"195","49.6"
"200","50.0"
"205","49.8"
"210","49.6"
"215","49.8"
"220","49.8"
"225","49.8"
"230","49.8"
"235","49.6"
"240","49.8"
"245","49.8"
"250","49.8"
"255","49.8"
"260","49.8"
"265","49.6"
"270","49.8"
"275","49.8"
"280","49.8"
"285","49.6"
"290","49.8"
"295","49.8"
"300","49.8"
"305","49.8"
"310","49.8"
"315","49.6"
"320","49.8"
"325","49.8"
"330","49.6"
"335","49.8"
"340","49.8"
"345","49.8"
"350","49.8"
"355","49.6"
"360","49.8"
"365","49.8"
"370","49.8"
"375","49.6"
"380","49.8"
"385","49.8"
"390","49.8"
"395","49.8"
"400","49.8"
"405","49.8"
"410","49.8"
"415","49.8"
"420","49.6"
"425","49.8"
"430","49.8"
"435","49.8"
"440","49.8"
"445","49.6"
"450","49.8"
"455","49.8"
"460","49.8"
"465","49.8"
"470","49.8"
"475","49.8"
"480","49.6"
"485","49.8"
"490","49.8"
"495","49.8"
"500","49.8"
"505","49.8"
"510","49.6"
"515","49.8"
"520","49.8"
"525","49.8"
"530","49.8"
"535","49.6"
"540","49.8"
"545","49.6"
"550","49.8"
"555","49.8"
"560","49.8"
"565","49.8"
"570","49.8"
"575","49.8"
"580","49.8"
"585","49.8"
"590","49.6"
"595","49.8"
"600","49.8"
"605","49.8"
"610","49.8"
"615","49.8"
"620","49.8"
"625","49.8"
"630","49.6"
"635","49.8"
"640","49.8"
"645","49.8"
"650","49.8"
"655","49.8"
"660","49.6"
"665","49.8"
"670","49.8"
"675","49.8"
"680","49.8"
"685","49.8"
"690","49.8"
"695","49.6"
"700","49.8"
"705","49.8"
"710","49.8"
"715","49.8"
"720","49.8"
"725","49.8"
"730","49.8"
"735","49.8"
"740","49.8"
"745","49.6"
"750","49.8"
"755","49.8"
"760","49.8"
"765","49.8"
"770","49.8"
"775","49.6"
"780","49.8"
"785","49.8"
"790","49.8"
"795","49.8"
"800","49.8"
"805","49.6"
"810","49.8"
"815","49.8"
"820","49.8"
"825","49.8"
"830","49.8"
"835","49.6"
"840","49.8"
"845","49.8"
"850","49.8"
"855","49.8"
"860","49.8"
"865","49.8"
"870","49.6"
"875","49.8"
"880","49.8"
"885","49.8"
"890","49.8"
"895","49.6"
"900","49.8"
"905","49.6"
"910","50.0"
"915","49.8"
"920","49.8"
"925","49.6"
"930","49.8"
"935","49.8"
"940","49.8"
"945","49.8"
"950","49.8"
"955","49.6"
"960","49.8"
"965","49.8"
"970","49.8"
"975","49.8"
"980","49.8"
"985","49.8"
"990","49.6"
"995","49.8"
"1000","49.8"
"1005","49.8"
"1010","49.8"
"1015","49.8"
"1020","49.6"
"1025","49.8"
"1030","49.8"
"1035","49.8"
"1040","49.8"
"1045","49.8"
"1050","49.6"
"1055","49.8"
"1060","49.8"
"1065","49.8"
"1070","53.2"
"1075","99.2"
"1080","99.2"
"1085","99.2"
"1090","99.2"
"1095","99.2"
"1100","99.0"
"1105","99.2"
"1110","99.2"
"1115","99.2"
"1120","99.2"
"1125","99.2"
"1130","99.2"
"1135","99.2"
"1140","99.2"
"1145","99.2"
"1150","99.2"
"1155","99.2"
"1160","99.2"
"1165","99.2"
"1170","99.2"
"1175","99.2"
"1180","99.4"
"1185","99.2"
"1190","99.2"
"1195","99.2"
"1200","99.2"
"1205","99.4"
"1210","99.2"
"1215","99.2"
"1220","99.2"
"1225","99.4"
"1230","99.2"
"1235","99.0"
"1240","99.2"
"1245","99.2"
"1250","99.2"
"1255","99.2"
"1260","99.2"
"1265","99.2"
"1270","99.0"
"1275","99.4"
"1280","99.2"
"1285","99.2"
"1290","99.2"
"1295","99.4"
"1300","99.0"
"1305","99.2"
"1310","99.2"
"1315","99.2"
"1320","99.2"
"1325","99.2"
"1330","99.2"
"1335","99.0"
"1340","99.2"
"1345","99.2"
"1350","99.2"
"1355","99.2"
"1360","99.0"
"1365","99.2"
"1370","99.2"
"1375","99.2"
"1380","99.0"
"1385","99.2"
"1390","99.2"
"1395","99.2"
"1400","99.2"
"1405","99.2"
"1410","99.0"
"1415","99.4"
"1420","99.2"
"1425","99.0"
"1430","99.4"
"1435","99.2"
"1440","99.2"
"1445","99.2"
"1450","99.4"
"1455","99.2"
"1460","99.2"
"1465","99.2"
"1470","99.2"
"1475","99.2"
"1480","99.2"
"1485","99.2"
"1490","99.2"
"1495","98.8"
"1500","99.6"
"1505","99.2"
"1510","99.2"
"1515","99.2"
"1520","99.2"
"1525","99.2"
"1530","99.2"
"1535","99.2"
"1540","99.4"
"1545","99.2"
"1550","99.2"
"1555","99.2"
"1560","99.2"
"1565","99.2"
"1570","99.4"
"1575","99.2"
"1580","99.2"
"1585","99.2"
"1590","99.2"
"1595","99.2"
"1600","99.2"
"1605","99.2"
"1610","99.2"
"1615","99.2"
"1620","99.2"
"1625","99.2"
"1630","99.2"
"1635","99.2"
"1640","99.2"
"1645","99.4"
"1650","99.2"
"1655","99.2"
"1660","99.2"
"1665","99.4"
"1670","99.2"
"1675","99.2"
"1680","99.2"
"1685","99.2"
"1690","99.2"
"1695","99.2"
"1700","99.2"
"1705","99.2"
"1710","99.2"
"1715","99.2"
"1720","99.2"
"1725","99.4"
"1730","99.0"
"1735","99.2"
"1740","99.2"
"1745","99.2"
"1750","99.0"
"1755","99.2"
"1760","99.2"
"1765","99.2"
"1770","99.4"
"1775","99.2"
"1780","99.2"
"1785","99.0"
"1790","99.2"
"1795","99.2"
"1800","99.0"
"1805","99.2"
"1810","99.0"
"1815","99.2"
"1820","99.2"
"1825","99.2"
"1830","99.2"
"1835","99.0"
"1840","99.2"
"1845","99.2"
"1850","99.2"
"1855","99.0"
"1860","99.4"
"1865","99.2"
"1870","99.2"
"1875","99.2"
"1880","99.2"
"1885","99.2"
