"# time","value"
"5","0.0"
"10","0.0"
"15","0.0"
"20","0.0"
"25","16.0"
"30","16.8"
"35","19.8"
"40","18.8"
"45","18.6"
"50","17.4"
"55","19.4"
"60","18.2"
"65","18.6"
"70","19.0"
"75","16.6"
"80","18.0"
"85","18.2"
"90","17.0"
"95","19.6"
"100","19.6"
"105","19.6"
"110","20.4"
"115","23.0"
"120","18.4"
"125","17.8"
"130","19.6"
"135","19.4"
"140","18.0"
"145","19.6"
"150","19.0"
"155","18.2"
"160","18.0"
"165","18.8"
"170","20.0"
"175","17.8"
"180","18.2"
"185","19.6"
"190","19.6"
"195","17.8"
"200","20.4"
"205","18.4"
"210","19.8"
"215","18.4"
"220","17.6"
"225","21.6"
"230","18.8"
"235","17.4"
"240","20.2"
"245","16.8"
"250","18.0"
"255","19.8"
"260","20.0"
"265","18.8"
"270","20.6"
"275","20.0"
"280","17.8"
"285","19.0"
"290","18.0"
"295","18.4"
"300","18.8"
"305","19.0"
"310","17.8"
"315","19.8"
"320","20.2"
"325","18.6"
"330","18.8"
"335","19.0"
"340","19.8"
"345","18.2"
"350","19.0"
"355","18.6"
"360","19.2"
"365","18.8"
"370","18.8"
"375","18.2"
"380","18.2"
"385","17.0"
"390","17.6"
"395","15.6"
"400","17.0"
"405","16.2"
"410","17.8"
"415","17.0"
"420","18.6"
"425","16.6"
"430","18.8"
"435","17.4"
"440","19.0"
"445","19.4"
"450","18.2"
"455","20.2"
"460","18.6"
"465","16.0"
"470","17.0"
"475","17.6"
"480","16.6"
"485","16.8"
"490","18.4"
"495","21.8"
"500","19.2"
"505","16.6"
"510","17.4"
"515","17.0"
"520","17.2"
"525","15.8"
"530","17.6"
"535","17.2"
"540","18.0"
"545","18.2"
"550","15.8"
"555","18.0"
"560","17.4"
"565","17.6"
"570","16.6"
"575","18.8"
"580","17.6"
"585","18.0"
"590","17.0"
"595","19.0"
"600","17.8"
"605","17.6"
"610","20.4"
"615","17.6"
"620","18.6"
"625","19.4"
"630","15.2"
"635","17.8"
"640","18.8"
"645","17.2"
"650","18.8"
"655","20.6"
"660","17.6"
"665","19.0"
"670","19.4"
"675","17.6"
"680","17.2"
"685","16.0"
"690","16.2"
"695","17.2"
"700","19.4"
"705","18.4"
"710","19.6"
"715","17.8"
"720","18.4"
"725","18.8"
"730","18.2"
"735","19.2"
"740","16.8"
"745","20.4"
"750","17.8"
"755","19.6"
"760","18.4"
"765","19.0"
"770","18.6"
"775","19.6"
"780","18.0"
"785","20.0"
"790","17.2"
"795","17.4"
"800","19.4"
"805","20.2"
"810","18.4"
"815","18.2"
"820","18.0"
"825","19.8"
"830","17.0"
"835","16.2"
"840","17.6"
"845","16.4"
"850","19.4"
"855","18.8"
"860","18.6"
"865","16.6"
"870","19.6"
"875","19.4"
"880","18.2"
"885","18.4"
"890","22.0"
"895","20.8"
"900","19.2"
"905","18.0"
"910","19.8"
"915","16.8"
"920","20.2"
"925","19.4"
"930","19.0"
"935","16.4"
"940","19.0"
"945","18.8"
"950","19.8"
"955","16.4"
"960","18.4"
"965","18.2"
"970","17.8"
"975","18.6"
"980","18.0"
"985","18.8"
"990","18.2"
"995","18.2"
"1000","17.6"
"1005","18.4"
"1010","16.6"
"1015","18.0"
"1020","17.6"
"1025","16.6"
"1030","22.8"
"1035","20.6"
"1040","16.8"
"1045","18.4"
"1050","18.2"
"1055","18.4"
"1060","19.4"
"1065","23.0"
"1070","17.2"
"1075","17.8"
"1080","20.4"
"1085","20.0"
"1090","19.2"
"1095","18.6"
"1100","18.6"
"1105","19.2"
"1110","16.4"
"1115","18.8"
"1120","18.2"
"1125","17.6"
"1130","18.2"
"1135","19.2"
"1140","20.6"
"1145","20.2"
"1150","17.8"
"1155","20.8"
"1160","17.4"
"1165","20.0"
"1170","20.2"
"1175","17.8"
"1180","16.0"
"1185","20.4"
"1190","20.2"
"1195","18.8"
"1200","19.2"
"1205","22.8"
"1210","17.0"
"1215","18.8"
"1220","19.0"
"1225","20.0"
"1230","20.6"
"1235","19.4"
"1240","18.8"
"1245","18.8"
"1250","21.0"
"1255","19.0"
"1260","18.4"
"1265","21.0"
"1270","20.4"
"1275","19.6"
"1280","19.6"
"1285","18.2"
"1290","20.2"
"1295","20.4"
"1300","18.6"
"1305","17.6"
"1310","17.4"
"1315","17.4"
"1320","22.6"
"1325","21.0"
"1330","18.0"
"1335","19.0"
"1340","19.8"
"1345","16.8"
"1350","16.8"
"1355","21.8"
"1360","22.4"
"1365","23.4"
"1370","18.2"
"1375","20.2"
"1380","22.8"
"1385","22.2"
"1390","18.2"
"1395","19.0"
"1400","20.4"
"1405","20.2"
"1410","23.6"
"1415","20.0"
"1420","22.8"
"1425","22.6"
"1430","17.4"
"1435","18.8"
"1440","18.6"
"1445","20.6"
"1450","20.2"
"1455","21.4"
"1460","16.6"
"1465","19.8"
"1470","22.6"
"1475","22.0"
"1480","19.6"
"1485","18.8"
"1490","17.0"
"1495","18.0"
"1500","20.2"
"1505","23.0"
"1510","20.4"
"1515","22.0"
"1520","21.4"
"1525","19.6"
"1530","18.0"
"1535","16.2"
"1540","19.6"
"1545","18.6"
"1550","19.6"
"1555","19.2"
"1560","20.6"
"1565","20.2"
"1570","18.0"
"1575","18.6"
"1580","19.4"
"1585","19.2"
"1590","20.6"
"1595","20.4"
"1600","20.2"
"1605","17.2"
"1610","21.8"
"1615","20.4"
"1620","21.0"
"1625","19.0"
"1630","17.8"
"1635","16.2"
"1640","19.0"
"1645","19.4"
"1650","19.8"
"1655","17.6"
"1660","18.0"
"1665","16.4"
"1670","17.4"
"1675","19.6"
"1680","17.0"
"1685","17.8"
"1690","20.8"
"1695","20.4"
"1700","20.2"
"1705","18.4"
"1710","18.2"
"1715","17.4"
"1720","18.8"
"1725","20.2"
"1730","21.0"
"1735","16.8"
"1740","19.0"
"1745","20.2"
"1750","19.4"
"1755","22.4"
"1760","18.0"
"1765","18.2"
"1770","17.8"
"1775","16.2"
"1780","20.2"
"1785","20.6"
"1790","21.6"
"1795","22.8"
"1800","22.6"
"1805","22.6"
"1810","20.0"
"1815","22.0"
"1820","20.2"
"1825","17.4"
"1830","17.0"
"1835","18.8"
"1840","17.8"
"1845","17.4"
"1850","16.6"
"1855","21.0"
"1860","19.6"
"1865","20.0"
"1870","18.0"
"1875","19.2"
"1880","17.8"
"1885","18.4"
