# time,value
5,0
10,0
15,0
20,0
25,80
30,84
35,99
40,94
45,93
50,87
55,97
60,91
65,93
70,95
75,83
80,90
85,91
90,85
95,98
100,98
105,98
110,102
115,115
120,92
125,89
130,98
135,97
140,90
145,98
150,95
155,91
160,90
165,94
170,100
175,89
180,91
185,98
190,98
195,89
200,102
205,92
210,99
215,92
220,88
225,108
230,94
235,87
240,101
245,84
250,90
255,99
260,100
265,94
270,103
275,100
280,88
285,96
290,90
295,92
300,94
305,95
310,89
315,99
320,101
325,93
330,94
335,95
340,99
345,91
350,95
355,93
360,95
365,95
370,94
375,91
380,91
385,85
390,88
395,78
400,85
405,81
410,89
415,85
420,93
425,83
430,94
435,87
440,95
445,97
450,91
455,101
460,93
465,80
470,85
475,88
480,83
485,84
490,92
495,109
500,96
505,83
510,87
515,85
520,86
525,79
530,88
535,86
540,90
545,91
550,79
555,90
560,87
565,88
570,83
575,94
580,88
585,90
590,85
595,95
600,89
605,88
610,102
615,88
620,93
625,97
630,76
635,89
640,94
645,86
650,94
655,103
660,88
665,95
670,97
675,88
680,86
685,80
690,81
695,86
700,97
705,92
710,98
715,89
720,92
725,94
730,91
735,96
740,84
745,102
750,89
755,98
760,92
765,95
770,93
775,98
780,90
785,100
790,86
795,87
800,97
805,101
810,92
815,91
820,90
825,99
830,85
835,81
840,88
845,82
850,97
855,94
860,93
865,83
870,98
875,97
880,91
885,92
890,110
895,104
900,96
905,90
910,99
915,84
920,101
925,97
930,95
935,82
940,95
945,94
950,99
955,82
960,92
965,91
970,89
975,93
980,90
985,94
990,91
995,91
1000,88
1005,92
1010,83
1015,90
1020,88
1025,83
1030,114
1035,103
1040,84
1045,92
1050,91
1055,92
1060,97
1065,115
1070,86
1075,89
1080,102
1085,100
1090,96
1095,93
1100,93
1105,96
1110,82
1115,94
1120,91
1125,88
1130,91
1135,96
1140,103
1145,101
1150,89
1155,104
1160,87
1165,100
1170,101
1175,89
1180,80
1185,102
1190,101
1195,94
1200,96
1205,114
1210,85
1215,94
1220,95
1225,100
1230,103
1235,97
1240,94
1245,94
1250,105
1255,95
1260,92
1265,105
1270,102
1275,98
1280,98
1285,90
1290,102
1295,102
1300,93
1305,88
1310,87
1315,87
1320,113
1325,105
1330,90
1335,95
1340,99
1345,84
1350,84
1355,109
1360,112
1365,117
1370,91
1375,100
1380,115
1385,111
1390,91
1395,95
1400,102
1405,101
1410,118
1415,100
1420,114
1425,113
1430,87
1435,94
1440,93
1445,103
1450,101
1455,107
1460,83
1465,99
1470,113
1475,110
1480,98
1485,94
1490,85
1495,90
1500,101
1505,115
1510,102
1515,110
1520,107
1525,98
1530,90
1535,81
1540,98
