# time,value
5,0
10,0
15,0
20,0
25,48
30,253
35,232
40,248
45,268
50,246
55,251
60,249
65,250
70,247
75,251
80,245
85,252
90,249
95,250
100,249
105,248
110,250
115,250
120,248
125,250
130,249
135,248
140,250
145,249
150,246
155,253
160,248
165,250
170,249
175,250
180,248
185,250
190,246
195,253
200,251
205,247
210,248
215,251
220,249
225,246
230,253
235,245
240,253
245,249
250,246
255,254
260,249
265,248
270,246
275,253
280,249
285,250
290,247
295,252
300,248
305,250
310,249
315,248
320,245
325,251
330,253
335,248
340,247
345,253
350,248
355,247
360,251
365,248
370,246
375,252
380,253
385,249
390,249
395,251
400,248
405,245
410,254
415,249
420,249
425,250
430,244
435,254
440,250
445,250
450,247
455,251
460,247
465,246
470,254
475,249
480,244
485,252
490,253
495,246
500,252
505,249
510,247
515,247
520,253
525,250
530,249
535,250
540,246
545,253
550,249
555,245
560,253
565,248
570,248
575,251
580,251
585,245
590,250
595,251
600,250
605,250
610,250
615,245
620,252
625,249
630,249
635,251
640,247
645,251
650,247
655,251
660,249
665,249
670,250
675,250
680,248
685,247
690,253
695,248
700,250
705,248
710,250
715,210
720,290
725,249
730,248
735,248
740,252
745,248
750,249
755,250
760,250
765,248
770,250
775,250
780,246
785,252
790,249
795,249
800,246
805,250
810,252
815,249
820,251
825,248
830,249
835,249
840,250
845,239
850,259
855,250
860,249
865,249
870,250
875,249
880,250
885,249
890,244
895,255
900,246
905,252
910,248
915,249
920,252
925,249
930,246
935,253
940,249
945,248
950,247
955,252
960,250
965,249
970,247
975,251
980,251
985,245
990,252
995,251
1000,249
1005,249
1010,249
1015,250
1020,249
1025,248
1030,251
1035,248
1040,251
1045,249
1050,248
1055,249
1060,252
1065,250
1070,245
1075,252
1080,248
1085,251
1090,249
1095,249
1100,250
1105,249
1110,247
1115,252
1120,250
1125,249
1130,250
1135,248
1140,250
1145,249
1150,249
1155,248
1160,250
1165,243
1170,257
1175,250
1180,249
1185,245
1190,251
1195,248
1200,253
1205,251
1210,247
1215,247
1220,251
1225,252
1230,249
1235,250
1240,245
1245,248
1250,253
1255,249
1260,251
1265,249
1270,249
1275,247
1280,249
1285,252
1290,247
1295,251
1300,250
1305,250
1310,249
1315,249
1320,248
1325,252
1330,246
1335,251
1340,251
1345,244
1350,252
1355,252
1360,249
1365,249
1370,251
1375,247
1380,249
1385,247
1390,251
1395,251
1400,249
1405,251
1410,249
1415,249
1420,250
1425,249
1430,249
1435,247
1440,253
1445,246
1450,252
1455,246
1460,253
1465,249
1470,250
1475,248
1480,276
1485,309
1490,317
1495,360
1500,305
1505,327
1510,388
1515,390
1520,409
1525,393
1530,361
1535,346
1540,336
