# time,value
5,0
10,0
15,0
20,0
25,154
30,342
35,499
40,628
45,807
50,970
55,1118
60,1277
65,1428
70,1588
75,1749
80,1908
85,2061
90,2230
95,2373
100,2535
105,2684
110,2833
115,2966
120,3120
125,3282
130,3433
135,3584
140,3742
145,3893
150,4044
155,4206
160,4364
165,4514
170,4669
175,4828
180,4983
185,5131
190,5288
195,5445
200,5590
205,5746
210,5896
215,6055
220,6214
225,6360
230,6514
235,6671
240,6823
245,6984
250,7144
255,7296
260,7446
265,7580
270,7743
275,7896
280,8056
285,8209
290,8367
295,8518
300,8679
305,8833
310,8990
315,9144
320,9283
325,9445
330,9598
335,9755
340,9905
345,10053
350,10215
355,10372
360,10522
365,10678
370,10834
375,10992
380,11146
385,11303
390,11457
395,11625
400,11810
405,11970
410,12129
415,12298
420,12453
425,12621
430,12777
435,12940
440,13092
445,13243
450,13397
455,13549
460,13702
465,13876
470,14040
475,14199
480,14367
485,14530
490,14683
495,14826
500,14970
505,15146
510,15305
515,15470
520,15633
525,15791
530,15964
535,16123
540,16284
545,16442
550,16601
555,16754
560,16927
565,17083
570,17255
575,17418
580,17578
585,17735
590,17895
595,18051
600,18206
605,18374
610,18521
615,18681
620,18838
625,18986
630,19142
635,19320
640,19479
645,19633
650,19796
655,19942
660,20100
665,20252
670,20404
675,20563
680,20732
685,20898
690,21062
695,21232
700,21384
705,21537
710,21690
715,21845
720,21998
725,22144
730,22314
735,22465
740,22621
745,22783
750,22940
755,23096
760,23249
765,23406
770,23563
775,23713
780,23872
785,24021
790,24179
795,24338
800,24498
805,24646
810,24799
815,24960
820,25118
825,25269
830,25432
835,25594
840,25761
845,25927
850,26080
855,26232
860,26391
865,26551
870,26708
875,26859
880,27011
885,27174
890,27311
895,27454
900,27611
905,27764
910,27918
915,28084
920,28230
925,28383
930,28537
935,28702
940,28859
945,29011
950,29161
955,29323
960,29482
965,29640
970,29799
975,29954
980,30114
985,30273
990,30429
995,30589
1000,30749
1005,30907
1010,31049
1015,31217
1020,31392
1025,31546
1030,31693
1035,31834
1040,32004
1045,32161
1050,32315
1055,32474
1060,32619
1065,32761
1070,32928
1075,33132
1080,33353
1085,33549
1090,33798
1095,34007
1100,34206
1105,34410
1110,34632
1115,34844
1120,35095
1125,35324
1130,35612
1135,35841
1140,36048
1145,36241
1150,36523
1155,36717
1160,36924
1165,37113
1170,37300
1175,37473
1180,37668
1185,37845
1190,38070
1195,38300
1200,38482
1205,38688
1210,38947
1215,39201
1220,39457
1225,39708
1230,39939
1235,40158
1240,40351
1245,40537
1250,40797
1255,41025
1260,41188
1265,41395
1270,41610
1275,41822
1280,42068
1285,42285
1290,42546
