# time,value
5,0
10,0
15,0
20,0
25,6
30,1
35,7
40,19
45,1
50,3
55,2
60,1
65,1
70,2
75,1
80,4
85,2
90,3
95,1
100,2
105,2
110,2
115,0
120,2
125,2
130,1
135,3
140,1
145,2
150,6
155,1
160,3
165,1
170,2
175,2
180,2
185,2
190,6
195,1
200,0
205,1
210,3
215,2
220,1
225,5
230,2
235,5
240,2
245,3
250,5
255,1
260,2
265,2
270,6
275,1
280,2
285,2
290,3
295,1
300,3
305,1
310,2
315,2
320,7
325,6
330,1
335,3
340,6
345,1
350,3
355,6
360,3
365,5
370,9
375,5
380,2
385,1
390,2
395,1
400,1
405,6
410,2
415,1
420,2
425,2
430,6
435,2
440,0
445,0
450,3
455,0
460,3
465,7
470,1
475,2
480,8
485,4
490,1
495,5
500,1
505,2
510,3
515,6
520,3
525,1
530,2
535,2
540,4
545,1
550,2
555,5
560,2
565,2
570,4
575,3
580,0
585,5
590,5
595,2
600,2
605,0
610,0
615,5
620,1
625,2
630,3
635,0
640,3
645,2
650,3
655,2
660,1
665,2
670,2
675,0
680,2
685,5
690,0
695,2
700,2
705,2
710,2
715,42
720,0
725,1
730,3
735,3
740,1
745,3
750,2
755,2
760,0
765,2
770,2
775,0
780,4
785,2
790,1
795,2
800,6
805,4
810,2
815,1
820,0
825,2
830,1
835,2
840,2
845,11
850,2
855,2
860,1
865,2
870,0
875,1
880,1
885,2
890,6
895,1
900,5
905,1
910,3
915,4
920,0
925,1
930,5
935,0
940,1
945,3
950,6
955,2
960,2
965,3
970,4
975,3
980,2
985,5
990,3
995,2
1000,1
1005,2
1010,3
1015,1
1020,2
1025,4
1030,1
1035,3
1040,2
1045,1
1050,3
1055,4
1060,0
1065,0
1070,5
1075,1
1080,3
1085,2
1090,1
1095,2
1100,2
1105,1
1110,4
1115,2
1120,0
1125,1
1130,1
1135,3
1140,1
1145,2
1150,3
1155,3
1160,3
1165,10
1170,1
1175,1
1180,2
1185,5
1190,4
1195,6
1200,1
1205,0
1210,3
1215,4
1220,3
1225,1
1230,0
1235,0
1240,5
1245,7
1250,2
1255,3
1260,2
1265,1
1270,2
1275,5
1280,4
1285,2
1290,5
1295,2
1300,2
1305,2
1310,3
1315,2
1320,4
1325,2
1330,4
1335,3
1340,2
1345,6
1350,4
1355,2
1360,1
1365,2
1370,1
1375,2
1380,3
1385,6
1390,5
1395,2
1400,3
1405,2
1410,1
1415,2
1420,2
1425,1
1430,2
1435,5
1440,0
1445,4
1450,2
1455,6
1460,1
1465,2
1470,0
1475,2
1480,26
1485,92
1490,147
1495,162
1500,232
1505,277
1510,264
1515,249
1520,215
1525,194
1530,208
1535,237
1540,273
