# time,value
5,0
10,0
15,0
20,0
25,0
30,2139
35,4306
40,7264
45,9196
50,11771
55,13726
60,15661
65,17316
70,18876
75,20005
80,20880
85,21799
90,22420
95,22905
100,23409
105,23699
110,23750
115,23779
120,23802
125,23820
130,23836
135,23857
140,23878
145,23896
150,23927
155,23959
160,23983
165,24004
170,24022
175,24040
180,24059
185,24079
190,24091
195,24101
200,24117
205,24135
210,24147
215,24164
220,24191
225,24214
230,24228
235,24231
240,24248
245,24260
250,24270
255,24291
260,24298
265,24310
270,24321
275,24339
280,24350
285,24362
290,24372
295,24389
300,24401
305,24409
310,24425
315,24431
320,24443
325,24457
330,24464
335,24478
340,24489
345,24500
350,24514
355,24525
360,24535
365,24545
370,24556
375,24568
380,24580
385,24594
390,24605
395,24614
400,24636
405,24653
410,24673
415,24693
420,24719
425,24741
430,24751
435,24758
440,24778
445,24789
450,24803
455,24819
460,24829
465,24844
470,24849
475,24855
480,24857
485,24858
490,24858
495,24862
500,24863
505,24863
510,24865
515,24865
520,24865
525,24865
530,24866
535,24866
540,24867
545,24869
550,24869
555,24869
560,24870
565,24871
570,24871
575,24871
580,24872
585,24872
590,24873
595,24873
600,24878
605,24879
610,24882
615,24884
620,24885
625,24886
630,24886
635,24886
640,24887
645,24887
650,24888
655,24888
660,24888
665,24889
670,24890
675,24892
680,24892
685,24893
690,24897
695,24899
700,24899
705,24902
710,24902
715,24902
720,24902
725,24902
730,24902
735,24905
740,24906
745,24909
750,24913
755,24913
760,24913
765,24913
770,24914
775,24916
780,24916
785,24916
790,24918
795,24918
800,24918
805,24918
810,24918
815,24918
820,24918
825,24919
830,24919
835,24921
840,24923
845,24923
850,24924
855,24925
860,24925
865,24925
870,24926
875,24927
880,24927
885,24928
890,24928
895,24930
900,24930
905,24930
910,24930
915,24930
920,24930
925,24930
930,24930
935,24930
940,24930
945,24930
950,24930
955,24930
960,24930
965,24930
970,24930
975,24930
980,24930
985,24930
990,24930
995,24930
1000,24930
1005,24930
1010,24930
1015,24930
1020,24930
1025,24930
1030,24930
1035,24930
1040,24930
1045,24930
1050,24930
1055,24930
1060,24930
1065,24930
1070,24930
1075,24930
1080,24930
1085,24930
1090,24930
1095,24930
1100,24930
1105,24930
1110,24930
1115,24930
1120,24930
1125,24930
1130,24930
1135,24930
1140,24930
1145,24930
1150,24930
1155,24930
1160,24930
1165,24930
1170,24930
1175,24930
1180,24930
1185,24930
1190,24930
1195,24930
1200,24930
1205,24930
1210,24930
1215,24930
1220,24930
1225,24930
1230,24930
1235,24930
1240,24930
1245,24930
1250,24930
1255,24930
1260,24930
1265,24930
1270,24930
1275,24930
1280,24930
1285,24930
1290,24930
