# time,value
25,0
30,64
35,138
40,387
45,582
50,1042
55,1497
60,2247
65,2999
70,4276
75,5386
80,6867
85,8419
90,10117
95,11756
100,13452
105,15259
110,16915
115,18607
120,20326
125,21920
130,23456
135,25080
140,26634
145,28078
150,29633
155,31179
160,32864
165,34488
170,36127
175,37621
180,39193
185,40835
190,42467
195,44097
200,45632
205,47151
210,48718
215,50160
220,51618
225,53319
230,55176
235,56819
240,58430
245,59998
250,61594
255,63254
260,64803
265,66338
270,67907
275,69389
280,70881
285,72421
290,73790
295,75420
300,77159
305,78980
310,80559
315,82228
320,83778
325,85344
330,86820
335,88317
340,89961
345,91441
350,92887
355,94461
360,96061
365,97570
370,99113
375,100761
380,102331
385,103868
390,105372
395,106879
400,108357
405,109941
410,111470
415,113026
420,114654
425,116245
430,117837
435,119469
440,121066
445,122715
450,124296
455,125879
460,127390
465,129168
470,130946
475,132727
480,134410
485,135958
490,137525
495,139225
500,140854
505,142652
510,144333
515,146095
520,147583
525,149114
530,150687
535,152277
540,153904
545,155564
550,157251
555,158807
560,160352
565,162043
570,163620
575,165159
580,166689
585,168210
590,169650
595,171142
600,172592
605,174079
610,175669
615,177129
620,178649
625,180294
630,181911
635,183535
640,185236
645,186828
650,188244
655,190017
660,191652
665,193416
670,195180
675,196849
680,198531
685,200232
690,201758
695,203364
700,204868
705,206432
710,208091
715,209576
720,211104
725,212546
730,213985
735,215523
740,216995
745,218634
750,220199
755,221782
760,223399
765,225012
770,226404
775,228026
780,229679
785,231180
790,232792
795,234431
800,235925
805,237526
810,239215
815,240690
820,242427
825,244008
830,245621
835,247152
840,248788
845,250434
850,251973
855,253661
860,255291
865,256928
870,258512
875,260016
880,261770
885,263472
890,265185
895,266769
900,268581
905,270144
910,271893
915,273635
920,275225
925,277036
930,278894
935,280778
940,282390
945,284055
950,285603
955,287319
960,288977
965,290721
970,292480
975,294252
980,295892
985,297494
990,299342
995,300996
1000,302722
1005,304413
1010,306029
1015,307632
1020,309163
1025,310607
1030,312055
1035,313557
1040,315183
1045,316573
1050,318239
1055,319762
1060,321188
1065,322850
1070,324449
1075,326102
1080,327582
1085,329042
1090,330674
1095,332456
1100,334123
1105,335754
1110,337443
1115,339193
1120,341100
1125,342725
1130,344563
1135,346373
1140,348125
1145,349899
1150,351633
1155,353412
1160,355149
1165,356888
1170,358494
1175,360272
1180,361938
1185,363440
1190,364922
1195,366547
1200,368246
1205,369874
1210,371471
1215,373182
1220,374734
1225,376331
1230,378003
1235,379681
1240,381314
1245,382917
1250,384469
1255,386019
1260,387763
1265,389455
1270,391092
1275,392655
1280,394268
1285,395913
1290,397563
1295,399185
1300,400989
1305,402725
1310,404394
1315,405962
1320,407619
1325,409084
1330,410805
1335,412404
1340,414130
1345,415779
1350,417609
1355,419120
1360,420727
1365,422304
1370,424038
1375,425852
1380,427629
1385,429246
1390,431014
1395,432607
1400,434222
1405,435769
1410,437655
1415,439297
1420,440953
1425,442717
1430,444335
1435,445898
1440,447468
1445,448983
1450,450609
1455,452192
1460,453732
1465,455283
1470,456928
1475,458628
1480,460246
1485,461729
1490,463224
1495,464816
1500,466519
1505,468087
1510,469576
1515,471088
1520,472556
1525,474081
1530,475534
1535,477119
1540,478672
1545,480185
1550,481835
1555,483797
1560,485552
1565,487310
1570,489055
1575,490705
1580,492430
1585,493977
1590,495462
1595,497244
1600,499025
1605,500753
1610,502611
1615,504286
1620,505938
1625,507583
1630,509156
1635,510792
1640,512510
1645,514254
1650,515894
1655,517617
1660,519266
1665,520902
1670,522366
1675,523952
1680,525360
1685,526905
1690,528316
1695,529900
1700,531591
1705,533105
1710,534789
1715,536386
1720,538033
1725,539526
1730,541203
1735,542860
1740,544552
1745,546363
1750,547995
1755,549793
1760,551546
1765,553159
1770,554809
1775,556530
1780,558162
1785,559779
1790,561418
1795,563144
1800,564881
1805,566618
1810,568374
1815,569959
1820,571514
1825,572986
1830,574630
1835,576327
1840,577959
1845,579498
1850,581194
1855,582583
1860,584107
1865,585573
1870,587023
1875,588621
1880,590143
1885,591664
1890,593275
1895,594896
1900,596476
1905,598192
1910,599931
1915,601493
1920,603208
1925,605002
1930,606738
1935,608373
1940,610145
1945,611852
1950,613491
1955,615178
1960,616951
1965,618622
1970,620243
1975,621985
1980,623812
1985,625580
1990,627372
1995,629220
2000,631053
2005,632678
2010,634325
2015,635998
2020,637648
2025,639329
2030,641001
2035,642675
2040,644267
2045,646026
2050,647670
2055,649183
2060,650820
2065,652565
2070,654352
2075,655859
2080,657585
2085,659159
2090,660802
2095,662297
2100,663887
2105,665438
2110,666918
2115,668579
2120,670352
2125,672011
2130,673686
2135,675191
2140,676834
2145,678588
2150,680177
2155,681796
2160,683268
2165,684970
2170,686604
2175,688287
2180,690057
2185,691766
2190,693434
2195,695092
2200,696809
2205,698548
2210,700107
2215,701765
2220,703309
2225,705021
2230,706684
2235,708331
2240,710022
2245,711471
2250,713164
2255,714627
2260,716397
2265,718187
