# time,value
25,0
30,460
35,495
40,495
45,494
50,495
55,495
60,495
65,494
70,495
75,495
80,493
85,494
90,494
95,495
100,494
105,495
110,495
115,495
120,494
125,495
130,494
135,494
140,495
145,495
150,496
155,494
160,495
165,495
170,494
175,495
180,495
185,494
190,494
195,494
200,494
205,494
210,496
215,495
220,495
225,494
230,495
235,494
240,495
245,494
250,495
255,494
260,495
265,495
270,495
275,493
280,497
285,494
290,495
295,495
300,495
305,492
310,497
315,496
320,495
325,495
330,495
335,495
340,495
345,496
350,494
355,495
360,494
365,495
370,494
375,495
380,494
385,494
390,494
395,495
400,495
405,494
410,495
415,494
420,495
425,494
430,495
435,494
440,494
445,495
450,494
455,495
460,494
465,494
470,495
475,494
480,495
485,494
490,495
495,493
500,495
505,494
510,494
515,495
520,494
525,495
530,495
535,495
540,494
545,493
550,494
555,495
560,494
565,494
570,495
575,494
580,494
585,494
590,495
595,495
600,494
605,495
610,495
615,495
620,494
625,495
630,494
635,495
640,495
645,494
650,495
655,496
660,496
665,495
670,494
675,495
680,494
685,495
690,495
695,494
700,496
705,495
710,495
715,495
720,495
725,495
730,495
735,495
740,495
745,496
750,494
755,495
760,494
765,495
770,496
775,495
780,496
785,494
790,495
795,495
800,494
805,495
810,494
815,495
820,495
825,495
830,495
835,495
840,495
845,494
850,496
855,494
860,496
865,494
870,495
875,495
880,495
885,494
890,495
895,495
900,495
905,495
910,495
915,495
920,494
925,495
930,495
935,495
940,495
945,495
950,495
955,495
960,494
965,495
970,495
975,495
980,496
985,494
990,496
995,495
1000,495
1005,495
1010,494
1015,495
1020,495
1025,496
1030,495
1035,494
1040,495
1045,495
1050,495
1055,495
1060,495
1065,495
1070,495
1075,494
1080,495
1085,495
1090,495
1095,495
1100,494
1105,495
1110,495
1115,495
1120,495
1125,495
1130,495
1135,494
1140,495
1145,495
1150,495
1155,495
1160,496
1165,495
1170,495
1175,495
1180,495
1185,495
1190,496
1195,494
1200,496
1205,495
1210,495
1215,494
1220,495
1225,495
1230,495
1235,494
1240,496
1245,495
1250,495
1255,495
1260,495
1265,495
1270,495
1275,495
1280,496
1285,495
1290,495
1295,495
1300,495
1305,495
1310,495
1315,495
1320,496
1325,495
1330,495
1335,496
1340,495
1345,496
1350,497
1355,493
1360,496
1365,495
1370,496
1375,495
1380,496
1385,495
1390,495
1395,495
1400,495
1405,496
1410,495
1415,496
1420,495
1425,495
1430,496
1435,495
1440,495
1445,495
1450,495
1455,495
1460,495
1465,495
1470,495
1475,495
1480,495
1485,495
1490,494
1495,495
1500,495
1505,495
1510,495
1515,495
1520,495
1525,494
1530,495
1535,495
1540,495
1545,494
1550,495
1555,494
1560,495
1565,495
1570,494
1575,495
1580,495
1585,496
1590,495
1595,495
1600,495
1605,495
1610,495
1615,495
1620,494
1625,496
1630,495
1635,495
1640,494
1645,496
1650,495
1655,495
1660,494
1665,496
1670,495
1675,495
1680,495
1685,495
1690,495
1695,496
1700,494
1705,495
1710,496
1715,495
1720,495
1725,496
1730,496
1735,495
1740,495
1745,495
1750,495
1755,495
1760,495
1765,495
1770,495
1775,495
1780,495
1785,496
1790,495
1795,496
1800,495
1805,495
1810,495
1815,495
1820,495
1825,495
1830,496
1835,495
1840,495
1845,496
1850,493
1855,496
1860,495
1865,495
1870,495
1875,495
1880,495
1885,496
1890,494
1895,495
1900,495
1905,495
1910,495
1915,495
1920,496
1925,494
1930,495
1935,495
1940,495
1945,495
1950,495
1955,495
1960,496
1965,495
1970,495
1975,496
1980,495
1985,495
1990,495
1995,495
2000,495
2005,495
2010,495
2015,495
2020,495
2025,495
2030,495
2035,496
2040,495
2045,494
2050,495
2055,495
2060,496
2065,495
2070,495
2075,495
2080,495
2085,496
2090,495
2095,495
2100,495
2105,495
2110,495
2115,495
2120,496
2125,495
2130,496
2135,495
2140,496
2145,495
2150,496
2155,495
2160,495
2165,495
2170,496
2175,495
2180,495
2185,495
2190,495
2195,495
2200,495
2205,495
2210,495
2215,496
2220,495
2225,496
2230,495
2235,495
2240,494
2245,495
2250,495
2255,495
2260,496
2265,494
2270,496
2275,495
2280,495
2285,495
2290,496
2295,495
2300,495
2305,495
2310,496
2315,494
2320,496
2325,494
2330,495
2335,496
2340,495
2345,495
2350,495
2355,495
2360,495
2365,495
2370,495
2375,495
2380,495
2385,496
2390,495
2395,495
2400,495
2405,495
2410,495
2415,495
2420,496
2425,495
2430,496
2435,495
2440,495
2445,495
2450,495
2455,495
2460,496
2465,495
2470,495
2475,494
2480,495
2485,495
2490,496
2495,495
2500,495
2505,495
2510,496
2515,495
2520,494
2525,496
2530,494
2535,496
2540,494
2545,495
2550,495
2555,495
2560,495
2565,496
2570,495
2575,495
2580,495
2585,496
2590,494
2595,496
2600,495
2605,495
2610,496
2615,495
2620,496
2625,495
2630,495
2635,495
2640,495
2645,495
2650,494
2655,495
2660,495
2665,496
2670,495
2675,495
2680,495
2685,496
2690,495
2695,495
2700,495
2705,495
2710,496
2715,495
2720,495
2725,496
2730,495
2735,496
2740,495
2745,496
2750,495
2755,495
2760,495
2765,495
2770,496
2775,495
2780,495
2785,495
2790,496
2795,495
2800,495
2805,495
2810,496
2815,496
2820,495
2825,496
2830,495
2835,495
2840,495
2845,495
2850,495
2855,495
2860,496
2865,496
2870,495
2875,496
2880,495
2885,495
2890,496
2895,495
2900,496
2905,495
2910,496
2915,496
2920,495
2925,494
2930,496
2935,496
2940,496
2945,495
2950,496
2955,496
2960,495
2965,495
2970,496
2975,495
2980,495
2985,495
2990,496
2995,495
3000,495
3005,495
3010,495
3015,495
3020,495
3025,495
3030,496
3035,494
3040,496
3045,494
3050,495
3055,496
3060,495
3065,495
3070,495
3075,495
3080,494
3085,496
3090,495
3095,495
3100,496
3106,494
3111,496
3116,495
3121,495
3126,496
3131,495
3136,495
3141,495
3146,496
3151,496
3156,495
3161,495
3166,495
3171,496
3176,494
3181,495
3186,495
3191,496
3196,495
3201,495
3206,495
3211,496
3216,495
3221,495
3226,494
3231,495
3236,496
3241,495
3246,495
3251,496
3256,495
3261,494
3266,495
3271,495
3276,495
3281,495
3286,495
3291,496
3296,495
3301,495
3306,495
3311,496
3316,495
3321,496
3326,495
3331,495
3336,496
3341,495
3346,495
3351,495
3356,496
3361,495
3366,495
3371,495
3376,495
3381,496
3386,495
3391,496
3396,494
3401,495
3406,496
3411,495
3416,495
3421,495
3426,495
3431,495
3436,496
3441,495
3446,495
3451,495
3456,495
3461,495
3466,496
3471,494
3476,496
3481,495
3486,496
3491,495
3496,496
3501,495
3506,495
3511,495
3516,495
3521,496
3526,495
3531,495
3536,495
3541,494
3546,496
3551,495
3556,495
3561,496
3566,495
3571,495
3576,495
3581,496
3586,495
3591,496
3596,495
3601,495
3606,496
3611,495
3616,495
3621,495
3626,496
3631,495
3636,495
3641,496
3646,495
3651,496
3656,495
3661,495
3666,495
3671,495
3676,496
3681,495
3686,495
3691,496
3696,495
3701,495
3706,495
3711,495
3716,496
3721,495
3726,495
3731,495
3736,495
3741,496
3746,495
3751,495
3756,495
3761,496
3766,495
3771,495
3776,496
3781,496
3786,496
3791,495
3796,496
3801,496
3806,495
3811,495
3816,496
3821,495
3826,494
3831,496
3836,495
3841,496
3846,496
3851,494
3856,495
3861,495
3866,495
3871,496
3876,495
3881,495
3886,496
3891,495
3896,495
3901,496
3906,495
3911,495
3916,495
3921,495
3926,495
3931,495
3936,495
3941,496
3946,496
3951,495
3956,495
3961,495
3966,495
3971,495
3976,495
3981,495
3986,494
3991,495
3996,494
4001,495
4006,495
4011,495
4016,496
4021,495
4026,495
4031,496
4036,495
4041,496
4046,495
4051,496
4056,495
4061,495
4066,496
4071,495
4076,495
4081,495
4086,496
4091,496
4096,495
4101,496
4106,495
4111,494
4116,495
4121,496
4126,495
4131,495
4136,495
4141,496
4146,495
4151,495
4156,496
4161,495
4166,496
4171,495
4176,496
4181,496
4186,495
4191,495
4196,495
4201,495
4206,496
4211,495
4216,495
4221,495
